land,gebeurtenissen,vroegste,mediaan,laatste,voor_2026,in_venster,doet_mee_in_venster,datum_betekenis
IS,635,2000-01-01,2025-01-29,2026-09-23,540,341,ja,verwachte_start
SK,765,2004-03-31,2022-03-10,2026-12-31,681,148,ja,feitelijke_start
HU,572,2007-03-08,2024-01-03,2026-09-16,440,223,ja,feitelijke_start
AU,460,2008-10-01,2026-04-07,2027-10-01,167,345,ja,verwachte_start
SI,243,2009-08-30,2024-10-18,2026-09-21,165,111,ja,feitelijke_start
FR,161,2011-11-17,2026-03-17,2027-07-01,74,116,ja,feitelijke_start
US,226,2012-01-01,2025-11-07,2026-09-18,137,156,ja,publicatiedatum
BE,438,2012-03-06,2026-06-01,2026-10-06,141,357,ja,feitelijke_start
IT,683,2016-02-24,2025-11-03,2029-05-01,369,388,ja,verwachte_start
ES,466,2016-05-06,2026-03-24,2026-09-21,168,390,ja,meldingsdatum
LV,476,2016-05-31,2021-10-01,2026-09-15,407,142,ja,feitelijke_start
RO,407,2016-09-07,2025-04-01,2026-09-17,274,219,ja,meldingsdatum
HR,185,2016-12-20,2025-07-25,2026-09-24,104,109,ja,feitelijke_start
SA,124,2017-01-01,2024-01-05,2026-10-02,102,45,ja,onbekend
AT,273,2017-10-12,2026-04-10,2026-09-21,99,230,ja,feitelijke_start
DE,239,2018-07-01,2026-01-05,2027-05-01,117,180,ja,feitelijke_start
GB,70,2019-10-03,2025-04-15,2026-09-07,56,46,ja,publicatiedatum
SE,466,2020-05-28,2026-05-11,2027-01-08,159,351,ja,verwachte_start
NO,596,2020-07-10,2025-12-30,2026-10-19,301,527,ja,feitelijke_start
DK,156,2020-09-24,2026-02-09,2026-09-23,64,136,ja,publicatiedatum
JP,474,2021-08-01,2025-04-30,2026-09-15,340,305,ja,registratiedatum
EE,85,2022-09-26,2026-01-26,2026-10-12,38,63,ja,feitelijke_start
IE,233,2022-10-01,2026-04-29,2026-10-05,76,194,ja,verwachte_start
FI,407,2023-08-04,2026-06-08,2026-10-07,88,377,ja,feitelijke_start
CA,20,2023-11-14,2026-05-15,2026-09-14,9,17,ja,publicatiedatum
GR,171,2024-05-13,2026-07-03,2026-12-01,28,156,ja,feitelijke_start
CZ,126,2024-08-02,2026-05-28,2026-09-23,30,120,ja,publicatiedatum
MY,74,2024-12-31,2026-05-01,2027-08-01,14,58,ja,verwachte_start
