land_a,land_b,gedeelde_moleculen,a_eerst,b_eerst,gelijke_dag,aandeel_a_eerst,mediaan_dagen,spreiding_dagen,kwartiel_25,kwartiel_75
AT,SA,16,0,16,0,0.0,-1250.0,816.1,-1776.0,-409.0
SA,SE,39,37,2,0,0.949,1034,740.0,565.0,1691.0
HR,MY,18,17,1,0,0.944,612.5,737.2,229.0,1521.8
GR,SK,104,6,97,1,0.058,-1695.5,910.1,-2314.5,-824.8
GR,IS,97,7,90,0,0.072,-490,364.2,-649.5,-212.0
DK,SK,93,7,86,0,0.075,-1614,855.4,-2125.5,-532.0
CA,IT,13,1,12,0,0.077,-583,786.2,-1508.5,-103.0
GR,LV,78,6,72,0,0.077,-1896.0,1249.1,-2916.5,-399.8
GR,SA,13,1,12,0,0.077,-1033,777.9,-1828.5,-176.5
GB,GR,12,11,1,0,0.917,619.0,760.5,288.8,1586.8
IE,SA,24,2,22,0,0.083,-797.0,876.3,-1767.5,-192.8
FI,SA,35,3,32,0,0.086,-1317,809.9,-1734.0,-520.0
BE,LV,160,14,146,0,0.087,-1890.5,1350.4,-2852.8,-327.8
IE,LV,113,10,103,0,0.088,-1569,1218.4,-2587.5,-478.0
FI,SK,250,22,228,0,0.088,-1689.0,858.9,-2174.8,-876.8
BE,SK,237,22,215,0,0.093,-1667,934.2,-2214.5,-745.0
CZ,LV,53,5,48,0,0.094,-1526,1195.5,-2550.0,-260.5
ES,SK,271,26,245,0,0.096,-1431,919.7,-2014.0,-615.0
IE,SK,153,15,138,0,0.098,-1659,876.0,-2236.5,-1008.0
DE,SK,141,14,125,2,0.099,-1187,921.2,-1836.0,-344.5
DK,LV,50,5,45,0,0.1,-1088.5,1118.4,-2347.2,-322.2
GR,US,30,3,27,0,0.1,-256.5,1260.3,-605.8,-73.2
FI,LV,164,17,147,0,0.104,-1819.0,1277.9,-2889.5,-395.5
SE,SK,269,28,241,0,0.104,-1462,1002.3,-2036.5,-541.5
AT,SK,172,18,153,1,0.105,-1782.5,977.6,-2222.2,-520.0
LV,SE,187,167,20,0,0.893,1736,1270.9,392.0,2633.0
ES,SA,37,4,33,0,0.108,-845,812.9,-1478.0,-177.5
MY,SK,51,6,45,0,0.118,-1765,904.2,-2279.0,-876.0
LV,MY,34,30,3,1,0.882,2025.0,1178.0,280.5,2649.2
GR,HU,93,11,82,0,0.118,-819,1649.5,-3068.5,-112.0
JP,SK,227,27,200,0,0.119,-1309,849.7,-1774.0,-533.0
NO,SK,305,37,267,1,0.121,-1460,888.0,-2018.5,-548.0
FI,IS,246,30,216,0,0.122,-482.5,673.7,-677.2,-207.8
ES,LV,210,27,183,0,0.129,-1807.5,1275.5,-2642.8,-443.0
DE,LV,85,11,74,0,0.129,-1612,1195.4,-2456.5,-244.5
AU,LV,191,27,163,1,0.141,-1610,1365.5,-2518.0,-303.0
AU,SK,245,35,210,0,0.143,-1511,1076.4,-2179.5,-622.0
FR,SK,82,12,70,0,0.146,-1291.5,976.2,-1935.0,-169.8
MY,SI,20,3,17,0,0.15,-758.0,1210.8,-1633.0,-122.2
GB,SK,40,6,34,0,0.15,-1262.5,1040.8,-1813.5,-142.8
BE,IS,225,34,191,0,0.151,-458,550.9,-652.5,-166.0
