land_a,land_b,gedeelde_moleculen,a_eerst,b_eerst,gelijke_dag,aandeel_a_eerst,mediaan_dagen,spreiding_dagen
AT,NO,119,22,96,1,0.185,-141,192.3
GR,NO,69,13,55,1,0.188,-163,157.5
BE,NO,155,30,124,1,0.194,-157,170.8
BE,LV,34,7,27,0,0.206,-132.5,200.4
FR,LV,13,3,10,0,0.231,-112,242.6
BE,SI,42,10,31,1,0.238,-108.5,199.8
FR,NO,54,13,41,0,0.241,-89.0,158.2
EE,NO,29,8,21,0,0.276,-121,159.8
FI,NO,180,50,125,5,0.278,-100.5,172.9
GR,HU,35,10,25,0,0.286,-49,221.0
GR,LV,21,6,15,0,0.286,-197,195.9
BE,SK,38,11,27,0,0.289,-88.5,260.1
GR,SK,17,5,11,1,0.294,-100,179.9
FR,GR,23,16,6,1,0.696,113,193.2
HR,HU,26,8,18,0,0.308,-112.0,200.6
EE,GR,13,9,4,0,0.692,36,228.2
DE,SK,25,8,15,2,0.32,-15,195.5
DE,GR,34,23,10,1,0.676,112.0,247.0
FR,SI,15,10,5,0,0.667,21,144.0
AT,GR,45,30,15,0,0.667,40,175.0
BE,EE,27,9,18,0,0.333,-58,192.6
AT,SK,30,10,19,1,0.333,-74.0,226.6
SI,SK,12,4,8,0,0.333,-11.5,131.0
GR,SI,24,8,16,0,0.333,-50.5,181.7
FI,LV,41,14,27,0,0.341,-78,223.7
BE,DE,61,21,39,1,0.344,-114,221.4
DE,LV,23,8,15,0,0.348,-61,236.4
FR,HR,17,6,11,0,0.353,-104,266.2
FR,SK,14,5,9,0,0.357,-31.5,166.9
DE,NO,86,31,53,2,0.36,-76.5,191.9
NO,SI,58,37,20,1,0.638,66.0,179.1
BE,HU,63,23,39,1,0.365,-45,228.0
DE,FI,71,45,23,3,0.634,31,195.9
AT,FR,32,12,20,0,0.375,-31.5,178.4
FI,FR,37,14,23,0,0.378,-12,213.4
AT,HU,58,22,35,1,0.379,-29.5,228.8
BE,HR,42,16,26,0,0.381,-28.0,212.3
FI,HR,49,19,30,0,0.388,-29,234.4
HR,NO,51,20,31,0,0.392,-87,232.5
AT,SI,33,13,19,1,0.394,-41,200.7
BE,GR,62,37,25,0,0.597,23.5,208.3
BE,FR,39,16,23,0,0.41,-4,217.5
HU,LV,34,14,20,0,0.412,-23.5,203.5
EE,HU,17,7,10,0,0.412,-26,128.7
AT,DE,48,20,26,2,0.417,-7.0,212.2
HR,SI,19,8,11,0,0.421,-58,269.6
FI,SK,40,17,23,0,0.425,-39.5,210.8
FI,SI,47,20,26,1,0.426,-28,186.8
GR,HR,28,12,16,0,0.429,-23.0,207.5
HR,SK,14,6,8,0,0.429,-40.5,229.6
DE,SI,21,12,6,3,0.571,73,157.3
AT,HR,39,17,22,0,0.436,-31,241.0
EE,LV,16,9,7,0,0.562,8.0,217.9
FI,HU,73,32,38,3,0.438,-13,252.4
DE,EE,16,7,8,1,0.438,-24.5,175.0
HU,SK,29,13,16,0,0.448,-15,222.9
HR,LV,20,11,9,0,0.55,5.5,232.1
FR,HU,22,10,12,0,0.455,-43.0,183.1
FI,GR,61,33,28,0,0.541,9,158.6
LV,SI,13,6,7,0,0.462,-12,228.3
LV,NO,52,24,28,0,0.462,-27.5,177.3
HU,NO,78,36,40,2,0.462,-8.0,239.3
AT,LV,26,12,14,0,0.462,-9.5,232.1
AT,EE,26,12,14,0,0.462,-21.0,248.3
DE,HU,41,19,21,1,0.463,-5,250.0
NO,SK,51,27,23,1,0.529,8,209.3
BE,FI,152,72,74,6,0.474,0.0,193.5
AT,BE,109,52,53,4,0.477,0,185.8
LV,SK,23,12,11,0,0.522,2,175.5
HU,SI,25,13,10,2,0.52,14,277.8
DE,FR,25,13,12,0,0.52,2,193.4
EE,FI,35,17,18,0,0.486,-13,243.2
AT,FI,104,51,52,1,0.49,-1.0,219.8
EE,HR,12,6,6,0,0.5,4.5,229.6
DE,HR,24,12,12,0,0.5,1.5,242.9
EE,FR,14,7,7,0,0.5,-2.0,150.8
