country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,package_description,atc_code,marketing_auth_holder,reporter,status,reason,parallel_export_ban,legal_basis,healthcare_notice,basg_note,shortage_start,estimated_end,scraped_at,prk
AT,Austria,BASG,Privigen 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,"Glas 25ml(2,5g)",J06BA02,"CSL Behring GmbH, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany","BASG, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.300752,80047
AT,Austria,BASG,Privigen 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,Glas 400ml(40g),J06BA02,"CSL Behring GmbH, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany","BASG, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.300768,80047
AT,Austria,BASG,Privigen 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,Glas 200ml(20g),J06BA02,"CSL Behring GmbH, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany","BASG, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.300773,80047
AT,Austria,BASG,Privigen 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,Glas 100ml(10g),J06BA02,"CSL Behring GmbH, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany","BASG, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.300777,80047
AT,Austria,BASG,Privigen 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,Glas 50ml(5g),J06BA02,"CSL Behring GmbH, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany","BASG, Emil-Von-Behring-Straße 76, 35041 Marburg, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.300780,80047
AT,Austria,BASG,Doxybene 100 mg - lösbare Tabletten,DOXYCYCLIN,100 mg,Tablette zur Herstellung einer Lösung zum Einnehmen,10 Stück,10 Stück in Alu/PVC-Folie-Blister,J01AA02,"Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande","Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande",eingeschränkt verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.300784,68438
AT,Austria,BASG,Doxybene 100 mg - lösbare Tabletten,DOXYCYCLIN,100 mg,Tablette zur Herstellung einer Lösung zum Einnehmen,5 Stück,5 Stück in Alu/PVC-Folie-Blister,J01AA02,"Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande","Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande",verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.300789,68438
AT,Austria,BASG,"Lutrelef 3,2 mg - Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",GONADORELIN ACETAT,,Pulver und Lösungsmittel zur Herstellung einer Injektionslösung,1 Stück,"1 Durchstechflasche (Braunglas Typ I Ph. Eur. mit Chlorobutyl-Gummistopfen und Aluminium-Kappe) mit 13,2 g Pulver + 1 Durchstechflasche (Braunglas Typ I Ph. Eur. mit Chlorobutyl-Gummistopfen und Alumi",H01CA01,"Ferring Arzneimittel Ges.m.b.H., The Icon Wiedner Gürtel 13, Turm 24, 10.OG -, 1100 Wien, Österreich","Ferring Arzneimittel Ges.m.b.H., The Icon Wiedner Gürtel 13, Turm 24, 10.OG -, 1100 Wien, Österreich",Nicht verfügbar,Sonstiger,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Ja,,,,2026-09-21T13:13:14.300793,105155
AT,Austria,BASG,Bupropion 1A Pharma 300 mg - Tabletten mit veränderter Wirkstofffreisetzung,BUPROPION HYDROCHLORID,300 mg,Tablette mit veränderter Wirkstofffreisetzung,10 Stück,"OPA/Alu/PVC-Alu-Blister,  Packungen zu 10 Tabletten mit veränderter Wirkstofffreisetzung",N06AX12,"1 A Pharma GmbH, Jakov-Lind-Straße 5/3.05, 1020 Wien, Österreich","1 A Pharma GmbH, Jakov-Lind-Straße 5/3.05, 1020 Wien, Österreich",Nicht verfügbar,Kapazitätsengpässe bei der Herstellung,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.300797,82899
AT,Austria,BASG,Bupropion 1A Pharma 300 mg - Tabletten mit veränderter Wirkstofffreisetzung,BUPROPION HYDROCHLORID,300 mg,Tablette mit veränderter Wirkstofffreisetzung,30 Stück,"OPA/Alu/PVC-Alu-Blister,  Packungen zu 30 Tabletten mit veränderter Wirkstofffreisetzung",N06AX12,"1 A Pharma GmbH, Jakov-Lind-Straße 5/3.05, 1020 Wien, Österreich","1 A Pharma GmbH, Jakov-Lind-Straße 5/3.05, 1020 Wien, Österreich",verfügbar,Kapazitätsengpässe bei der Herstellung,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.300800,82899
