country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,package_description,atc_code,marketing_auth_holder,reporter,status,reason,parallel_export_ban,legal_basis,healthcare_notice,basg_note,shortage_start,estimated_end,last_updated,scraped_at,prk
AT,Austria,BASG,"Dobutamin  ""Pharmaselect"" 500 mg - Infusionslösung",DOBUTAMIN HYDROCHLORID,,Infusionslösung,5 Stück,5 x 1 Ampulle zu 50ml (Bündelpackung) (Glasampulle Typ I mit Brechring),C01CA07,"Pharmaselect International Beteiligungs GmbH, Ernst-Melchior-Gasse 20, 1020 Wien, Österreich","Pharmaselect International Beteiligungs GmbH, Ernst-Melchior-Gasse 20, 1020 Wien, Österreich",Nicht verfügbar,Verzögerung in der Packmittelbeschaffung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,2020-11-30,,2026-04-07,2026-09-23T20:51:08.328856,
AT,Austria,BASG,Rabeprazol Sandoz 20 mg - magensaftresistente Tabletten,RABEPRAZOL NATRIUM,20 mg,magensaftresistente Tablette,30 Stück,30 Stück (Blister),A02BC04,"Sandoz GmbH, Biochemiestraße 10, 6250 Kundl, Österreich","Sandoz GmbH, Biochemiestraße 10, 6250 Kundl, Österreich",resolved,Kapazitätsengpässe bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,2026-06-22,,2026-09-04,2026-09-23T20:51:08.328877,54879
AT,Austria,BASG,Rabeprazol Sandoz 20 mg - magensaftresistente Tabletten,RABEPRAZOL NATRIUM,20 mg,magensaftresistente Tablette,14 Stück,14 Stück (Blister),A02BC04,"Sandoz GmbH, Biochemiestraße 10, 6250 Kundl, Österreich","Sandoz GmbH, Biochemiestraße 10, 6250 Kundl, Österreich",Nicht verfügbar,Kapazitätsengpässe bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,2026-07-20,,2026-09-04,2026-09-23T20:51:08.328889,54879
AT,Austria,BASG,Diltiazem ratiopharm 60 mg - Tabletten,DILTIAZEM HYDROCHLORID,60 mg,Tablette,50 Stück,50 Stück in PVDC/Alu-Folie-Blister,C08DB01,"Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande","Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,2026-03-02,,2026-03-20,2026-09-23T20:51:08.328899,
AT,Austria,BASG,Diltiazem ratiopharm 60 mg - Tabletten,DILTIAZEM HYDROCHLORID,60 mg,Tablette,20 Stück,20 Stück in PVDC/Alu-Folie-Blister,C08DB01,"Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande","Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,2026-03-09,,2026-03-20,2026-09-23T20:51:08.328909,
AT,Austria,BASG,Paliperidon ratiopharm 3 mg Retardtabletten,PALIPERIDON,3 mg,Retardtablette,30 Stück,30 x 1 Tabletten in perforierten Einzeldosis-Blister (OPA/Alu/PVC/Alu),N05AX13,"Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande","Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,2026-08-24,,2026-08-27,2026-09-23T20:51:08.328919,84638
AT,Austria,BASG,Diclofenac Sandoz 50 mg - Filmtabletten,DICLOFENAC NATRIUM,50 mg,Filmtablette,30 Stück,30 Stück,M01AB05,"Sandoz GmbH, Biochemiestraße 10, 6250 Kundl, Österreich","Sandoz GmbH, Biochemiestraße 10, 6250 Kundl, Österreich",Nicht verfügbar,Kapazitätsengpässe bei der Herstellung,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,2026-09-14,,2026-09-14,2026-09-23T20:51:08.328929,
AT,Austria,BASG,Instillagel - Einmalspritze,"LIDOCAIN HYDROCHLORID, CHLORHEXIDINDIGLUCONAT",,"Gel, Gel zur Anwendung in der Harnröhre",1 Stück,"1 x 6 ml in einer Einmalspritze bestehend aus Polyproyplen, steril verpackt und gebrauchsfertig",N01BB52,"Farco-Pharma GmbH, Gereonsmühlengasse 1-11, 50670 Köln, Federal Republic of Germany","Farco-Pharma GmbH, Gereonsmühlengasse 1-11, 50670 Köln, Federal Republic of Germany",Nicht verfügbar,Verzögerung in der Auslieferung aufgrund der Umsetzung der Fälschungsrichtlinie,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Geplant,,2020-04-06,2025-01-01,2024-10-04,2026-09-23T20:51:08.328941,81957
AT,Austria,BASG,Instillagel - Einmalspritze,"LIDOCAIN HYDROCHLORID, CHLORHEXIDINDIGLUCONAT",,"Gel, Gel zur Anwendung in der Harnröhre",1 Stück,"1 x 11 ml in einer Einmalspritze bestehend aus Polyproyplen, steril verpackt und gebrauchsfertig",N01BB52,"Farco-Pharma GmbH, Gereonsmühlengasse 1-11, 50670 Köln, Federal Republic of Germany","Farco-Pharma GmbH, Gereonsmühlengasse 1-11, 50670 Köln, Federal Republic of Germany",Nicht verfügbar,Verzögerung in der Auslieferung aufgrund der Umsetzung der Fälschungsrichtlinie,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Geplant,,2020-04-06,2025-01-01,2024-10-04,2026-09-23T20:51:08.328953,81957
AT,Austria,BASG,Instillagel - Einmalspritze,"LIDOCAIN HYDROCHLORID, CHLORHEXIDINDIGLUCONAT",,"Gel, Gel zur Anwendung in der Harnröhre",10 Stück,"10 x 6 ml in einer Einmalspritze bestehend aus Polyproyplen, steril verpackt und gebrauchsfertig",N01BB52,"Farco-Pharma GmbH, Gereonsmühlengasse 1-11, 50670 Köln, Federal Republic of Germany","Farco-Pharma GmbH, Gereonsmühlengasse 1-11, 50670 Köln, Federal Republic of Germany",resolved,Verzögerung in der Auslieferung aufgrund der Umsetzung der Fälschungsrichtlinie,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Geplant,,2020-04-06,2022-07-07,2024-10-04,2026-09-23T20:51:08.328965,81957
