country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,authorisation_number,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,impact,scraped_at
BE,Belgium,FAMHP,Opdivo 10 mg/ml inf. opl. (conc.) i.v. flac. 24 ml,Nivolumab,,,3780210,L01FF01 Nivolumab,EU/1/15/1014/003,Bristol-Myers Squibb Pharma E.E.I.G.,2026-04-27,2026-05-25,,unavailable,Vertraging in de productie,Invoer door de firma mogelijk (geneesmiddel binnenkort beschikbaar),2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Diflucan 2 mg/ml inf. opl. i.v. flac. 200 ml,Fluconazole,,,2409787,J02AC01 Fluconazole,BE192945,Pfizer SA-NV,2026-03-25,2026-05-08,,unavailable,Vertraging in de productie,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Bisoprolol Sandoz 5 mg filmomh. tabl. 100,Bisoprolol Fumarate,,,3272366,C07AB07 Bisoprolol,BE407495,Sandoz SA-NV,2026-03-23,2026-04-24,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Cytotec 200 µg tabl. 112,Misoprostol,,,0094946,A02BB01 Misoprostol,BE134093,Pfizer SA-NV,2026-03-20,2026-04-10,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Olmetec Plus 40 mg - 12.5 mg filmomh. tabl. 98,"Hydrochlorothiazide, Olmesartan Medoxomil",,,2717494,C09DA08 Olmesartan Medoxomil and Diuretics,BE368645,Daiichi Sankyo Belgium SA-NV,2026-03-17,2026-04-17,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,"Tepadina 15 mg inf. opl. (pdr., conc.) i.v. flac. 15 mg",Thiotepa,,,3595618,L01AC01 Thiotepa,EU/1/10/622/001,Adienne S.r.l.,2026-03-16,2026-04-29,,unavailable,Toegenomen vraag,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Sevikar-HCT 40 mg - 5 mg - 25 mg filmomh. tabl. 98,"Olmesartan Medoxomil, Amlodipine, Hydrochlorothiazide",,,2816593,"C09DX03 Olmesartan Medoxomil, Amlodipine and Hydrochlorothiazide",BE387493,Daiichi Sankyo Belgium SA-NV,2026-03-16,2026-04-13,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,"NaCl 0,9 % Clear-Flex 500/1000/2000/3000 extracorp. opl. 2000 ml",Sodium Chloride,,,4199121,"V07AB Solvents and Diluting Agents, Incl. Irrigating Solutions",0395IS0269F012,Vantive Belgium BV-SRL,2026-03-16,2026-05-06,,unavailable,Vertraging in de productie,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Finadyne Paarden  50 mg/g or. pasta voorgev. spuit 6 x 10 g,Flunixin,,,1086891,QM01AG90 Flunixin,BE-V158471,Intervet International B.V.,2026-03-13,2026-04-17,,unavailable,Vertraging in de vrijgave van het eindproduct,-,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Sevikar 40 mg - 5 mg filmomh. tabl. 98,"Olmesartan Medoxomil, Amlodipine",,,2582195,C09DB02 Olmesartan Medoxomil and Amlodipine,BE325491,Daiichi Sankyo Belgium SA-NV,2026-03-13,2026-04-13,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Pollival 1 mg/ml neusspray opl. multidos. cont. 10 ml,Azelastine Hydrochloride,,,4197539,R01AC03 Azelastine,BE472195,URSAPHARM Benelux B.V.,2026-03-12,2026-05-04,,unavailable,Vertraging in de productie,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Dermestril 50 µg transderm. pleister 26 (4 mg),Estradiol,,,1461037,G03CA04 Estriol,BE171123,Besins Healthcare SA-NV,2026-03-12,2026-06-30,,unavailable,Toegenomen vraag,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Fruzaqla 1 mg harde caps. 21,Fruquintinib ,,,4944567,L01EK04 Fruquintinib,EU/1/24/1827/001,Takeda Pharmaceuticals International Ireland Branch AG,2026-03-12,2026-05-15,,unavailable,Toegenomen vraag,Invoer door de firma mogelijk,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Lokelma 10 g (PI Pharma) or. susp. (pdr.) sachet 30,Sodium Zirconium Cyclosilicate,,,4872958,V03AE10 Sodium Zirconium Cyclosilicate,EU/1/17/1173/004,PI Pharma SA-NV,2026-03-11,2026-05-31,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Yuflyma 40 mg (PI Pharma) inj. opl. s.c. voorgev. pen 6 x 0.4 ml,Adalimumab ,,,4954822,L04AB04 Adalimumab,EU/1/20/1513/012,PI Pharma SA-NV,2026-03-11,2026-05-31,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Galvus 50 mg (PI Pharma) tabl. 180,Vildagliptin,,,4947933,A10BH02 Vildagliptin,EU/1/07/414/009,PI Pharma SA-NV,2026-03-11,2026-05-31,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Veltassa 8.4 g (PI Pharma) or. susp. (pdr.) sachet 30,Patiromer ,,,4887212,V03AE09 Patiromer Calcium,EU/1/17/1179/001,PI Pharma SA-NV,2026-03-11,2026-05-31,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Legalon (Impexeco) harde caps. 60,Silymarin (DNPH),,,3174141,A05BA Liver Therapy,1549PI0216F004,Impexeco SA-NV,2026-03-11,2026-05-31,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Olmetec 20 mg filmomh. tabl. 98,Olmesartan Medoxomil,,,2091080,C09CA08 Olmesartan Medoxomil,BE254861,Sankyo Pharma Belgium SA-NV,2026-03-11,2026-04-11,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Forzaten-HCT 40 mg - 5 mg - 12.5 mg filmomh. tabl. 98,"Olmesartan Medoxomil, Amlodipine, Hydrochlorothiazide",,,2837326,"C09DX03 Olmesartan Medoxomil, Amlodipine and Hydrochlorothiazide",BE390564,Menarini International Operations Luxembourg S.A.,2026-03-11,2026-03-30,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Yasmin 0.03 mg - 3 mg (PI Pharma) filmomh. tabl. 13 x 21,"Drospirenone, Ethinylestradiol",,,3117546,G03AA12 Drospirenone and Ethinylestradiol,1637PI0297F003,PI Pharma SA-NV,2026-03-11,2026-05-31,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.499581
BE,Belgium,FAMHP,Venlafaxine Retard AB 37.5 mg harde caps. verl. afgifte 56,Venlafaxine,,,2615680,N06AX16 Venlafaxine,BE319383,Aurobindo SA-NV,2026-03-10,2026-03-31,,unavailable,Andere reden,In principe voldoende voorraad in omloop (korte duur),2026-03-12T15:52:43.500580
BE,Belgium,FAMHP,Carboplatin Accord Healthcare 10 mg/ml inf. opl. (conc.) i.v. flac. 15 ml,Carboplatin,,,2903805,L01XA02 Carboplatin,BE340401,Accord Healthcare B.V.,2026-03-10,2026-05-29,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.500580
BE,Belgium,FAMHP,Duloxetin AB 60 mg harde maagsapresist. caps. 98,Duloxetine,,,3444635,N06AX21 Duloxetine,BE478391,Aurobindo SA-NV,2026-03-10,2026-04-30,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.500580
BE,Belgium,FAMHP,Etoricoxib AB 30 mg filmomh. tabl. 98,Etoricoxib,,,4117792,M01AH05 Etoricoxib,BE506773,Aurobindo SA-NV,2026-03-10,2026-04-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.500580
BE,Belgium,FAMHP,Domperidon AB 10 mg orodisp. tabl. 60,Domperidone,,,4564324,A03FA03 Domperidone,BE502071,Aurobindo SA-NV,2026-03-10,2026-03-31,,unavailable,Andere reden,In principe voldoende voorraad in omloop (korte duur),2026-03-12T15:52:43.500580
BE,Belgium,FAMHP,Olanzapine AB 5 mg tabl. 98,Olanzapine,,,4409082,N05AH03 Olanzapine,BE536142,Aurobindo SA-NV,2026-03-10,2026-05-31,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.500580
BE,Belgium,FAMHP,Atorvastatin AB 80 mg filmomh. tabl. 98,Atorvastatin,,,4183505,C10AA05 Atorvastatin,BE526382,Aurobindo SA-NV,2026-03-10,2026-04-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.500580
BE,Belgium,FAMHP,Fluconazol AB 200 mg harde caps. 30,Fluconazole,,,4232674,J02AC01 Fluconazole,BE556960,Aurobindo SA-NV,2026-03-10,2026-03-31,,unavailable,Andere reden,In principe voldoende voorraad in omloop (korte duur),2026-03-12T15:52:43.500580
BE,Belgium,FAMHP,Diclofenac Patch AB 140 mg pleister sachet 10,Diclofenac Sodium,,,4239844,M02AA15 Diclofenac,BE541715,Aurobindo SA-NV,2026-03-10,2026-04-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.500580
