country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,authorisation_number,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,impact,scraped_at,prk
BE,Belgium,FAMHP,Colistineb 2 10*6 IE verneveloploss. (pdr.)/inj./inf. opl. (pdr.) i.v. flac. 10 x 2 10*6 IE,Colistimethate Sodium,,,2316438,J01XB01,BE272273,Teva GmbH,2026-10-12,2026-12-04,,unavailable,Toegenomen vraag,Invoer door de apotheker mogelijk,2026-09-23T11:15:11.435612,
BE,Belgium,FAMHP,CoAprovel 300 mg - 12.5 mg filmomh. tabl. 98,"Hydrochlorothiazide, Irbesartan",,,1569367,C09DA04,EU/1/98/086/020,Sanofi Winthrop Industrie S.A.,2026-10-07,2026-11-30,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.435635,52574
BE,Belgium,FAMHP,Binocrit 10 000 IE/1 ml inj. opl. i.v./s.c. voorgev. spuit 6 x 1 ml,Epoetin Alfa,,,4751186,B03XA01,EU/1/07/410/046,Sandoz GmbH,2026-10-04,2026-11-18,,unavailable,Vertraging in de productie,Onder evaluatie,2026-09-23T11:15:11.435648,43036
BE,Belgium,FAMHP,Negaban 2 g inj./inf. opl. (pdr.) i.m./i.v. flac. 2 g,Temocillin,,,0076513,J01CA17,BE467733,Eumedica Pharmaceuticals GmbH,2026-10-04,2026-11-11,,unavailable,Vertraging in de productie,Onder evaluatie,2026-09-23T11:15:11.435657,
BE,Belgium,FAMHP,Lysanxia 15 mg/ml druppels opl. 20 ml,Prazepam,,,1271824,N05BA11,BE145844,Pfizer SA-NV,2026-09-30,2026-10-30,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.435665,
BE,Belgium,FAMHP,Inderal 40 mg tabl. 100,Propranolol Hydrochloride,,,0048942,C07AA05,BE078881,Atnahs Pharma Netherlands B.V.,2026-09-30,2026-11-02,,unavailable,"Logistieke problemen (transport, douane, ...)",Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.435674,5711
BE,Belgium,FAMHP,Levophed 8 mg/4 ml inf. opl. (conc.) i.v. amp. 10 x 4 ml,Norepinephrine,,,0053744,C01CA03,BE043635,Hospira Benelux BV-SRL,2026-09-25,2027-06-01,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.435682,
BE,Belgium,FAMHP,Nustendi 180 mg - 10 mg filmomh. tabl. 98,"Bempedoic Acid, Ezetimibe",,,4265138,C10BA10,EU/1/20/1424/005,Daiichi Sankyo Europe GmbH,2026-09-23,2026-10-09,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-23T11:15:11.435707,225932
BE,Belgium,FAMHP,Halcion 0.125 mg tabl. 10,Triazolam,,,0291955,N05CD05,BE281294,Pfizer SA-NV,2026-09-23,2026-10-09,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-23T11:15:11.435715,
BE,Belgium,FAMHP,Multihance 529 mg/ml inj. opl. i.v. voorgev. spuit 15 ml,Gadobenic Acid,,,2634632,V08CA08,BE324886,Bracco Imaging Deutschland GmbH,2026-09-22,2026-10-12,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-23T11:15:11.435724,55514
BE,Belgium,FAMHP,Multihance 529 mg/ml inj. opl. i.v. voorgev. spuit 10 ml,Gadobenic Acid,,,2634616,V08CA08,BE324877,Bracco Imaging Deutschland GmbH,2026-09-22,2026-10-12,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-23T11:15:11.435732,55506
BE,Belgium,FAMHP,Pemetrexed Accord 25 mg/ml inf. opl. (conc.) i.v. flac. 20 ml,Pemetrexed ,,,4323499,L01BA04,EU/1/15/1071/005,Accord Healthcare S.L.U.,2026-09-22,2026-11-16,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.435740,142611
BE,Belgium,FAMHP,Paliperidon Krka 6 mg tabl. verl. afgifte 56 (56 x 1) UD,Paliperidone,,,3779568,N05AX13,BE528817,KRKA d.d. Novo mesto d.d.,2026-09-21,2027-01-08,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.435753,84646
BE,Belgium,FAMHP,Adempas 2 mg filmomh. tabl. 84,Riociguat,,,3144128,C02KX05,EU/1/13/907/011,Bayer AG,2026-09-21,2026-10-26,,unavailable,Vertraging in de productie,Onder evaluatie,2026-09-23T11:15:11.435761,124680
BE,Belgium,FAMHP,Tenofovir Disoproxil Viatris 245 mg filmomh. tabl. 30,Tenofovir Disoproxil ,,,3561743,J05AF07,EU/1/16/1129/001,Viatris Ltd.,2026-09-21,2027-01-11,,unavailable,Vertraging in de productie,Onder evaluatie,2026-09-23T11:15:11.435768,146633
