country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,product_no,shortage_start,estimated_end,status,scraped_at,atc_code,prk
BG,Bulgaria,SESPA,Jardiance,Empagliflozin,10 mg,Film-coated tablet,30,4043,,,shortage,2026-09-21T13:13:22.581923,A10BK03,119407
BG,Bulgaria,SESPA,Forxiga,Dapagliflozin,10 mg,Film-coated tablet,30,3444,,,shortage,2026-09-21T13:13:22.581961,A10BK01,104779
BG,Bulgaria,SESPA,Alprolix,Coagulation factor IX,500 IU,Powder and solvent for solution for injection,1,15905,,,shortage,2026-09-21T13:13:22.581979,B02BD01,
BG,Bulgaria,SESPA,BeneFIX,Coagulation factor IX (nonacog alfa),500 IU (100 mg/ml - 5 ml),Powder and solvent for solution for injection,1,1849,,,shortage,2026-09-21T13:13:22.581995,B02BD01,
BG,Bulgaria,SESPA,Olicard,Isosorbide mononitrate,40 mg,"Prolonged-release capsule, hard",20,2137,,,shortage,2026-09-21T13:13:22.582009,C01DA14,
BG,Bulgaria,SESPA,Neotri MR,Trimetazidine,35 mg,Modified-release tablet,60,2086,,,shortage,2026-09-21T13:13:22.582024,C01EB15,
BG,Bulgaria,SESPA,Atorvistat K,Atorvastatin,10 mg,Film-coated tablet,30,1768,,,shortage,2026-09-21T13:13:22.582039,C10AA05,98604
BG,Bulgaria,SESPA,Cimzia,Certolizumab pegol,200 mg,Solution for injection,2,3583,,,shortage,2026-09-21T13:13:22.582055,L04AB05,92584
BG,Bulgaria,SESPA,Depakine Chrono,Valproic acid,500 mg,Prolonged-release tablet,30,2477,,,shortage,2026-09-21T13:13:22.582069,N03AG01,26905
BG,Bulgaria,SESPA,Staloral,Allergen extract,300-300-300 IR/ml  or  IC/ml,"Sublingual spray, solution",3,2281,,,shortage,2026-09-21T13:13:22.582083,,
BG,Bulgaria,SESPA,Albiomin 20%,Albumin,200g/l - 100 ml,Solution for infusion,1,1569,,,shortage,2026-09-21T13:13:22.582100,B05AA01,24082
BG,Bulgaria,SESPA,Human Albumin 50 g/l Baxalta,Albumin,50 g/l - 250 ml,Solution for infusion,1,1664,,,shortage,2026-09-21T13:13:22.582115,B05AA01,69663
BG,Bulgaria,SESPA,Meriofert,Human menopausal gonadotrophin,75 IU,Powder and solvent for solution for injection,10,15329,,,shortage,2026-09-21T13:13:22.582131,G03GA02,
BG,Bulgaria,SESPA,Dexketoprofen-Tchaikapharma,Dexketoprofen,50 mg/2 ml,Solution for injection/infusion,100,4134,,,shortage,2026-09-21T13:13:22.582146,M01AE17,
BG,Bulgaria,SESPA,Keytruda,Pembrolizumab,25 mg/ml - 4 ml,Concentrate for solution for infusion,1,15839,,,shortage,2026-09-21T13:13:22.582159,L01FF02,136328
BG,Bulgaria,SESPA,Bortezomib Actavis,Bortezomib,3.5 mg,Powder for solution for injection,1,4075,,,shortage,2026-09-21T13:13:22.582172,L01XG01,75299
BG,Bulgaria,SESPA,Zytiga,Abiraterone,500 mg,Film-coated tablet,60,16148,,,shortage,2026-09-21T13:13:22.582186,L02BX03,136913
BG,Bulgaria,SESPA,Profol,Propofol,10 mg/ml - 50 ml,Emulsion for infusion,1,385,,,shortage,2026-09-21T13:13:22.582199,N01AX10,80322
