country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,company_name,gtin,pharmacode,atc_code,gengrp,status,status_code,delivery_date,estimated_end,days_since_first_report,last_updated,detail_url,scraped_at
CH,Switzerland,drugshortage,ACETALGIN Supp 125 mg 10 Stk,,,,,Streuli Pharma AG,7680494930101,1379591,N02BE01,N02BE01SRSN000000125SUPP,1 aktuell keine Lieferungen,1,unbestimmt,,260,2025-12-11,https://drugshortage.ch/detail_lieferengpass.aspx?ID=25975,2026-03-13T15:42:44.476388
CH,Switzerland,drugshortage,ACIDE ACETYLSALICYL PANPHARMA 0.5 G C SOLV 6 STK,,,,,Leman SKL SA,7680472560030,1111245,N02BA01,N02BA01SPPN000000500TRSU,1 aktuell keine Lieferungen,1,12.04.2026,2026-04-12,7,2026-03-06,https://drugshortage.ch/detail_lieferengpass.aspx?ID=28029,2026-03-13T15:42:44.476388
CH,Switzerland,drugshortage,ACIDUM FOLICUM STREULI TABL 5 MG 100 STK,,,,,Streuli Pharma AG,7680367520170,1849298,B03BB01,B03BB01SETN000005000TABL,3 Lieferungen kontingentiert/eingeschränkt,3,kontigentiert,,16,2026-03-05,https://drugshortage.ch/detail_lieferengpass.aspx?ID=27939,2026-03-13T15:42:44.477769
CH,Switzerland,drugshortage,ACIMETHIN FILMTABL 500 MG 50 STK,,,,,Mepha Pharma AG,7680487990198,1339628,V03AB26,V03AB26SETN000000500FILT,1 aktuell keine Lieferungen,1,in Abklärung/en clarif.,,60,2026-01-12,https://drugshortage.ch/detail_lieferengpass.aspx?ID=27620,2026-03-13T15:42:44.477769
CH,Switzerland,drugshortage,ACTIQ Buccaltabl 600 mcg mit Applikator 3 Stk,,,,,Curatis AG,7680570020177,2986318,N02AB03,N02AB03SLBN200000600LUTT,1 aktuell keine Lieferungen,1,offen,,139,2025-10-25,https://drugshortage.ch/detail_lieferengpass.aspx?ID=26985,2026-03-13T15:42:44.477769
CH,Switzerland,drugshortage,ACTIQ Buccaltabl 800 mcg mit Applikator 3 Stk,,,,,Curatis AG,7680570020252,2986330,N02AB03,N02AB03SLBN200000800LUTT,1 aktuell keine Lieferungen,1,offen,,127,2025-11-06,https://drugshortage.ch/detail_lieferengpass.aspx?ID=27055,2026-03-13T15:42:44.477769
CH,Switzerland,drugshortage,ACTIQ BUCCALTABL 800 MCG MIT APPLIKATOR 30 STK,,,,,Curatis AG,7680570020313,2986347,N02AB03,N02AB03SLBN200000800LUTT,1 aktuell keine Lieferungen,1,15.03.2026,2026-03-15,15,2026-02-26,https://drugshortage.ch/detail_lieferengpass.aspx?ID=27943,2026-03-13T15:42:44.478771
CH,Switzerland,drugshortage,ACTOS Tabl 15 mg 28 Stk,,,,,CPS Cito Pharma Services GmbH,7680553780012,2293928,A10BG03,A10BG03SETN000000015TABL,1 aktuell keine Lieferungen,1,09.02.2025,2025-02-09,407,2025-01-30,https://drugshortage.ch/detail_lieferengpass.aspx?ID=24769,2026-03-13T15:42:44.478771
CH,Switzerland,drugshortage,ACTOS Tabl 30 mg 28 Stk,,,,,CPS Cito Pharma Services GmbH,7680553780074,2293940,A10BG03,A10BG03SETN000000030TABL,1 aktuell keine Lieferungen,1,09.02.2025,2025-02-09,407,2025-01-30,https://drugshortage.ch/detail_lieferengpass.aspx?ID=24770,2026-03-13T15:42:44.478771
CH,Switzerland,drugshortage,ACTOS Tabl 45 mg 28 Stk,,,,,CPS Cito Pharma Services GmbH,7680553780135,2293963,A10BG03,A10BG03SETN000000045TABL,1 aktuell keine Lieferungen,1,09.02.2025,2025-02-09,407,2025-01-30,https://drugshortage.ch/detail_lieferengpass.aspx?ID=24771,2026-03-13T15:42:44.478771
