country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,dosage_form,pharma_code,act_reference,ium_code,status,scraped_at
CO,Colombia,INVIMA,ABACAVIR,,20mg/mL,,J05AF06,Solución oral,4.1.3.0.N10,Acta No. 04 de 2022 SEM,,vital_unavailable,2026-03-13T16:31:24.856723
CO,Colombia,INVIMA,ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),,300mg + 150mg + 300mg,,J05AF06,Tableta,4.1.3.0.N30,Acta No. 04 de 2023 SEM Tercera parte,,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),,60mg + 30mg + 60mg,,J05AF06,Tableta,4.1.3.0.N30,Acta No. 04 de 2023 SEM Tercera parte,,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ÁCIDO 5-AMINOLEVULÍNICO HCl,,30mg/1mL,,,Solución oral,19.18.0.0.N120,Acta No. 02 de 2010,1A102496,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ÁCIDO CÓLICO,,50mg/1U,,,Cápsula,8.2.7.0.N180,Acta No. 11 de 2019 SEM,1C100447,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ÁCIDO CÓLICO,,250mg/1U,,,Cápsula,8.2.7.0.N180,Acta No. 11 de 2019 SEM,1C100452,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ÁCIDO ETILENDIAMINOTETRAACÉTICO EDTA,,"0,01/1mL",,,Solución inyectable,20.0.0.0.N10,Acta No. 03 de 2006,1E102497,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ÁCIDO QUENODESOXICÓLICO,,250mg/1U,,,Cápsula,8.2.7.0.N210,Acta No. 13 de 2019 SEMNNIMB,1Q101465,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ACIDO TRANSRETINOICO,,10mg/1U,,,Cápsula,6.0.0.0.N10,Acta No. 12 de 2019 SEM,1T101438,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ACITRETINA,,10mg,,D05BB02,Cápsula dura,13.1.14.0.N10,Acta No. 01 de 2024 SEM Cuarta parte,,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ACTH (ADRENOCORTICOTROPINA),,25UI/1mL,,,Solución inyectable,9.1.5.0.N10,Acta No. 27 de 2005,1C101202,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,ALCOHOL ETILICO,,0.99,,,Solución inyectable,20.0.0.0.N10,Acta No. 02 de 2021,,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,AMILO NITRITO,,5mg/1ml,,,Solución para inhalar,7.1.0.0.N10,Acta No. 10 de 2004,1A102337,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,,200mg/1 U,,C01BD01,Tableta,7.2.0.0.N10,Acta No. 04 de 2019 SEM,1A102798,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,,150mg / Ampolla (3mL),,C01BD01,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2021 SEM,1A102798,vital_unavailable,2026-03-13T16:31:24.857702
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,,50mg/ mL,,C01BD01,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2021 SEM,1A102798,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,ANTICUERPOS ANTIDIGOXINA,,80mg/1U,,C01AA05,Polvo para reconstituir,20.0.0.0.N10,Acta No. 37 de 2004,1A102338,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,ANTITOXINA BOTULÍNICA,,,,,,18.1.2.0.N10,Acta No. 37 de 2004,,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,ASFOTASA ALFA,,40mg/1mL,,,Solución inyectable,8.2.7.0.N180,"Acta No. 09 de 2018 SEM
Acta No. 03 de 2018 SEMNNIMB",1A100010,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,ASFOTASA ALFA,,100mg/1mL,,,Solución inyectable,8.2.7.0.N180,"Acta No. 09 de 2018 SEM
Acta No. 03 de 2018 SEMNNIMB",1A100011,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,ASPARAGINASA ERWINIANA (asparginasa de Erwinia chrysanthemi),,10000U/1U,,,Liofilizado para solución inyectable,6.0.0.0.N10,Acta No. 04 de 2016,1A100555,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,ATOMOXETINA,,25mg,,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,ATOMOXETINA,,40mg,,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,ATOMOXETINA,,60mg,,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,AZUL DE METILENO,,1% (10 mg / mL),,,Solución inyectable,20.0.0.0.N10,Acta No. 01 de 2024 SEM Décima parte,,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,BACLOFENO,,60µg/1mL,,M03BX01,Solución inyectable,15.2.0.0.N10,Acta No. 13 de 2010,1B102399,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,BEDAQUILINA,,100mg/1U,,,Tableta,4.1.1.4.N10.,Acta No. 03 de 2017 Segunda Parte,1B101391,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,BENZNIDAZOL,,100mg/1U,,,Tableta,4.2.6.0.N10,Acta No. 25 de 2012,1B101272,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,BETANECOL,,5mg/1U,,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B102341,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,BETANECOL,,10mg/1U,,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B101406,vital_unavailable,2026-03-13T16:31:24.858703
CO,Colombia,INVIMA,BETANECOL,,25mg/1U,,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B100110,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,BETANECOL,,50mg/1U,,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B102340,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,BICARBONATO DE SODIO,,1Meq/mL,,,Solución,10.3.0.0.N10,Acta No. 22 de 2019 SEM,1S101587,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,Bothrops SP - VENENO DESHIDRATADO 780 DL50 + Crotalus SP VENENO DESHIDRATADO 220 DL50 + Lachessis SP VENENO DESHIDRATADO 200 DL50 (FAB (F(AB)2 FAB) AL 85% COMPONENTES DE BAJO PESO MOLECULAR AL 15%),,30 mg + 15 mg + 7 mg / Vial (20 mL),,,Polvo Liofilizado para reconstituir a solución inyectable,18.1.2.0.N10,Acta No. 04 de 2025 SEM Segunda parte,,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,Bothrops atrox + Lachesis muta + Bothrops asper + Crotalus durissus - INMUNOGLOBULINAS DE ORIGEN EQUINO (IGG) CAPACES DE NEUTRALIZAR COMO MÍNIMO,,25 mg + 10 mg + 25 mg + 5 mg / Vial,,,Polvo Liofilizado para reconstituir a solución inyectable,18.1.2.0.N10,Acta No. 04 de 2025 SEM Segunda parte,,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,BRETILIO TOSILATO,,2mg/1ml,,,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2004,1T102342,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,BRETILIO TOSILATO,,4mg/1ml,,,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2004,1T102343,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,BROMOCRIPTINA,,"2,5mg/1U",,,Tableta,"9.2.3.0.N10
19.13.0.0.N10",Acta No. 14 de 2019 SEM,1B103024,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,BROMOCRIPTINA,,"5,0mg/1U",,,Tableta,"9.2.3.0.N10
19.13.0.0.N10",Acta No. 14 de 2019 SEM,1B103025,vital_unavailable,2026-03-13T16:31:24.859702
CO,Colombia,INVIMA,BUPIVACAINA (L) CLORHIDRATO ANHIDRA + GLUCOSA ANHIDRA,,"7,5mg + 72,7mg/1mL",,,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102505,vital_unavailable,2026-03-13T16:31:24.859702
