country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,pharma_code,act_reference,ium_code,status,scraped_at,atc_code,prk
CO,Colombia,INVIMA,ABACAVIR,ABACAVIR,20mg/mL,,Solución oral,4.1.3.0.N10,Acta No. 04 de 2022 SEM,,vital_unavailable,2026-09-22T21:10:34.054145,J05AF06,136018
CO,Colombia,INVIMA,ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),300mg + 150mg + 300mg,,Tableta,4.1.3.0.N30,Acta No. 04 de 2023 SEM Tercera parte,,vital_unavailable,2026-09-22T21:10:34.054177,,
CO,Colombia,INVIMA,ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),60mg + 30mg + 60mg,,Tableta,4.1.3.0.N30,Acta No. 04 de 2023 SEM Tercera parte,,vital_unavailable,2026-09-22T21:10:34.054201,,
CO,Colombia,INVIMA,ÁCIDO 5-AMINOLEVULÍNICO HCl,ÁCIDO 5-AMINOLEVULÍNICO HCl,30mg/1mL,,Solución oral,19.18.0.0.N120,Acta No. 02 de 2010,1A102496,vital_unavailable,2026-09-22T21:10:34.054223,,
CO,Colombia,INVIMA,ÁCIDO CÓLICO,ÁCIDO CÓLICO,50mg/1U,,Cápsula,8.2.7.0.N180,Acta No. 11 de 2019 SEM,1C100447,vital_unavailable,2026-09-22T21:10:34.054252,A05AA03,
CO,Colombia,INVIMA,ÁCIDO CÓLICO,ÁCIDO CÓLICO,250mg/1U,,Cápsula,8.2.7.0.N180,Acta No. 11 de 2019 SEM,1C100452,vital_unavailable,2026-09-22T21:10:34.054273,A05AA03,
CO,Colombia,INVIMA,ÁCIDO ETILENDIAMINOTETRAACÉTICO EDTA,ÁCIDO ETILENDIAMINOTETRAACÉTICO EDTA,"0,01/1mL",,Solución inyectable,20.0.0.0.N10,Acta No. 03 de 2006,1E102497,vital_unavailable,2026-09-22T21:10:34.054292,V03AB01,
CO,Colombia,INVIMA,ÁCIDO QUENODESOXICÓLICO,ÁCIDO QUENODESOXICÓLICO,250mg/1U,,Cápsula,8.2.7.0.N210,Acta No. 13 de 2019 SEMNNIMB,1Q101465,vital_unavailable,2026-09-22T21:10:34.054311,,
CO,Colombia,INVIMA,ACIDO TRANSRETINOICO,ACIDO TRANSRETINOICO,10mg/1U,,Cápsula,6.0.0.0.N10,Acta No. 12 de 2019 SEM,1T101438,vital_unavailable,2026-09-22T21:10:34.054330,D10AD01,
CO,Colombia,INVIMA,ACITRETINA,ACITRETINA,10mg,,Cápsula dura,13.1.14.0.N10,Acta No. 01 de 2024 SEM Cuarta parte,,vital_unavailable,2026-09-22T21:10:34.054349,D05BB02,29866
CO,Colombia,INVIMA,ACTH (ADRENOCORTICOTROPINA),ACTH (ADRENOCORTICOTROPINA),25UI/1mL,,Solución inyectable,9.1.5.0.N10,Acta No. 27 de 2005,1C101202,vital_unavailable,2026-09-22T21:10:34.054368,,
CO,Colombia,INVIMA,ALCOHOL ETILICO,ALCOHOL ETILICO,0.99,,Solución inyectable,20.0.0.0.N10,Acta No. 02 de 2021,,vital_unavailable,2026-09-22T21:10:34.054387,,
CO,Colombia,INVIMA,AMILO NITRITO,AMILO NITRITO,5mg/1ml,,Solución para inhalar,7.1.0.0.N10,Acta No. 10 de 2004,1A102337,vital_unavailable,2026-09-22T21:10:34.054409,,
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,AMIODARONA CLORHIDRATO,200mg/1 U,,Tableta,7.2.0.0.N10,Acta No. 04 de 2019 SEM,1A102798,vital_unavailable,2026-09-22T21:10:34.054427,C01BD01,1554
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,AMIODARONA CLORHIDRATO,150mg / Ampolla (3mL),,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2021 SEM,1A102798,vital_unavailable,2026-09-22T21:10:34.054446,C01BD01,25119
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,AMIODARONA CLORHIDRATO,50mg/ mL,,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2021 SEM,1A102798,vital_unavailable,2026-09-22T21:10:34.054464,C01BD01,25119
CO,Colombia,INVIMA,ANTICUERPOS ANTIDIGOXINA,ANTICUERPOS ANTIDIGOXINA,80mg/1U,,Polvo para reconstituir,20.0.0.0.N10,Acta No. 37 de 2004,1A102338,vital_unavailable,2026-09-22T21:10:34.054482,,
CO,Colombia,INVIMA,ANTITOXINA BOTULÍNICA,ANTITOXINA BOTULÍNICA,,,,18.1.2.0.N10,Acta No. 37 de 2004,,vital_unavailable,2026-09-22T21:10:34.054498,,
CO,Colombia,INVIMA,ASFOTASA ALFA,ASFOTASA ALFA,40mg/1mL,,Solución inyectable,8.2.7.0.N180,"Acta No. 09 de 2018 SEM
Acta No. 03 de 2018 SEMNNIMB",1A100010,vital_unavailable,2026-09-22T21:10:34.054517,,
CO,Colombia,INVIMA,ASFOTASA ALFA,ASFOTASA ALFA,100mg/1mL,,Solución inyectable,8.2.7.0.N180,"Acta No. 09 de 2018 SEM
Acta No. 03 de 2018 SEMNNIMB",1A100011,vital_unavailable,2026-09-22T21:10:34.054535,,
CO,Colombia,INVIMA,ASPARAGINASA ERWINIANA (asparginasa de Erwinia chrysanthemi),ASPARAGINASA ERWINIANA (asparginasa de Erwinia chrysanthemi),10000U/1U,,Liofilizado para solución inyectable,6.0.0.0.N10,Acta No. 04 de 2016,1A100555,vital_unavailable,2026-09-22T21:10:34.054553,L01XX02,51519
CO,Colombia,INVIMA,ATOMOXETINA,ATOMOXETINA,25mg,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-09-22T21:10:34.054570,N06BA09,76724
CO,Colombia,INVIMA,ATOMOXETINA,ATOMOXETINA,40mg,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-09-22T21:10:34.054588,N06BA09,76732
CO,Colombia,INVIMA,ATOMOXETINA,ATOMOXETINA,60mg,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-09-22T21:10:34.054605,N06BA09,76740
CO,Colombia,INVIMA,AZUL DE METILENO,AZUL DE METILENO,1% (10 mg / mL),,Solución inyectable,20.0.0.0.N10,Acta No. 01 de 2024 SEM Décima parte,,vital_unavailable,2026-09-22T21:10:34.054623,,
CO,Colombia,INVIMA,BACLOFENO,BACLOFENO,60µg/1mL,,Solución inyectable,15.2.0.0.N10,Acta No. 13 de 2010,1B102399,vital_unavailable,2026-09-22T21:10:34.054641,M03BX01,
CO,Colombia,INVIMA,BEDAQUILINA,BEDAQUILINA,100mg/1U,,Tableta,4.1.1.4.N10.,Acta No. 03 de 2017 Segunda Parte,1B101391,vital_unavailable,2026-09-22T21:10:34.054659,J04AK05,115371
CO,Colombia,INVIMA,BENZNIDAZOL,BENZNIDAZOL,100mg/1U,,Tableta,4.2.6.0.N10,Acta No. 25 de 2012,1B101272,vital_unavailable,2026-09-22T21:10:34.054677,P01CA02,
CO,Colombia,INVIMA,BETANECOL,BETANECOL,5mg/1U,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B102341,vital_unavailable,2026-09-22T21:10:34.054695,N07AB02,
CO,Colombia,INVIMA,BETANECOL,BETANECOL,10mg/1U,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B101406,vital_unavailable,2026-09-22T21:10:34.054713,N07AB02,
CO,Colombia,INVIMA,BETANECOL,BETANECOL,25mg/1U,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B100110,vital_unavailable,2026-09-22T21:10:34.054732,N07AB02,
CO,Colombia,INVIMA,BETANECOL,BETANECOL,50mg/1U,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B102340,vital_unavailable,2026-09-22T21:10:34.054750,N07AB02,
CO,Colombia,INVIMA,BICARBONATO DE SODIO,BICARBONATO DE SODIO,1Meq/mL,,Solución,10.3.0.0.N10,Acta No. 22 de 2019 SEM,1S101587,vital_unavailable,2026-09-22T21:10:34.054769,,
CO,Colombia,INVIMA,Bothrops SP - VENENO DESHIDRATADO 780 DL50 + Crotalus SP VENENO DESHIDRATADO 220 DL50 + Lachessis SP VENENO DESHIDRATADO 200 DL50 (FAB (F(AB)2 FAB) AL 85% COMPONENTES DE BAJO PESO MOLECULAR AL 15%),Bothrops SP - VENENO DESHIDRATADO 780 DL50 + Crotalus SP VENENO DESHIDRATADO 220 DL50 + Lachessis SP VENENO DESHIDRATADO 200 DL50 (FAB (F(AB)2 FAB) AL 85% COMPONENTES DE BAJO PESO MOLECULAR AL 15%),30 mg + 15 mg + 7 mg / Vial (20 mL),,Polvo Liofilizado para reconstituir a solución inyectable,18.1.2.0.N10,Acta No. 04 de 2025 SEM Segunda parte,,vital_unavailable,2026-09-22T21:10:34.054786,,
CO,Colombia,INVIMA,Bothrops atrox + Lachesis muta + Bothrops asper + Crotalus durissus - INMUNOGLOBULINAS DE ORIGEN EQUINO (IGG) CAPACES DE NEUTRALIZAR COMO MÍNIMO,Bothrops atrox + Lachesis muta + Bothrops asper + Crotalus durissus - INMUNOGLOBULINAS DE ORIGEN EQUINO (IGG) CAPACES DE NEUTRALIZAR COMO MÍNIMO,25 mg + 10 mg + 25 mg + 5 mg / Vial,,Polvo Liofilizado para reconstituir a solución inyectable,18.1.2.0.N10,Acta No. 04 de 2025 SEM Segunda parte,,vital_unavailable,2026-09-22T21:10:34.054804,,
CO,Colombia,INVIMA,BRETILIO TOSILATO,BRETILIO TOSILATO,2mg/1ml,,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2004,1T102342,vital_unavailable,2026-09-22T21:10:34.054822,C01BD02,
CO,Colombia,INVIMA,BRETILIO TOSILATO,BRETILIO TOSILATO,4mg/1ml,,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2004,1T102343,vital_unavailable,2026-09-22T21:10:34.054840,C01BD02,
CO,Colombia,INVIMA,BROMOCRIPTINA,BROMOCRIPTINA,"2,5mg/1U",,Tableta,"9.2.3.0.N10
19.13.0.0.N10",Acta No. 14 de 2019 SEM,1B103024,vital_unavailable,2026-09-22T21:10:34.054858,N04BC01,
CO,Colombia,INVIMA,BROMOCRIPTINA,BROMOCRIPTINA,"5,0mg/1U",,Tableta,"9.2.3.0.N10
19.13.0.0.N10",Acta No. 14 de 2019 SEM,1B103025,vital_unavailable,2026-09-22T21:10:34.054876,N04BC01,
CO,Colombia,INVIMA,BUPIVACAINA (L) CLORHIDRATO ANHIDRA + GLUCOSA ANHIDRA,BUPIVACAINA (L) CLORHIDRATO ANHIDRA + GLUCOSA ANHIDRA,"7,5mg + 72,7mg/1mL",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102505,vital_unavailable,2026-09-22T21:10:34.054894,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO + EPINEFRINA,BUPIVACAINA CLORHIDRATO + EPINEFRINA,5mg + 5μg/1mL,,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102506,vital_unavailable,2026-09-22T21:10:34.054912,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO + EPINEFRINA,BUPIVACAINA CLORHIDRATO + EPINEFRINA,"7,5mg + 5μg/1mL",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102507,vital_unavailable,2026-09-22T21:10:34.054930,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO + EPINEFRINA BITARTRATO,BUPIVACAINA CLORHIDRATO + EPINEFRINA BITARTRATO,"500mg + 0,5 mg/100 mL",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102506,vital_unavailable,2026-09-22T21:10:34.054948,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO + GLUCOSA,BUPIVACAINA CLORHIDRATO + GLUCOSA,5mg + 80mg/1mL,,Solución inyectable,19.6.0.0.N20,Acta No. 22  de 2018 SEM,2B102444,vital_unavailable,2026-09-22T21:10:34.054966,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO ANHIDRA + DEXTROSA MONOHIDRATO,BUPIVACAINA CLORHIDRATO ANHIDRA + DEXTROSA MONOHIDRATO,5mg + 80mg/1mL,,Solución inyectable,19.6.0.0.N20,Acta No. 22  de 2018 SEM,2B102428,vital_unavailable,2026-09-22T21:10:34.054985,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO MONOHIDRATO,BUPIVACAINA CLORHIDRATO MONOHIDRATO,"2,5mg /1mL (0,25%)",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Tercera Parte,1B102508,vital_unavailable,2026-09-22T21:10:34.055003,N01BB01,1775
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO MONOHIDRATO,BUPIVACAINA CLORHIDRATO MONOHIDRATO,"5mg/mL (0,5%)",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Tercera Parte,1B102450,vital_unavailable,2026-09-22T21:10:34.055021,N01BB01,6122
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO MONOHIDRATO,BUPIVACAINA CLORHIDRATO MONOHIDRATO,"7,5mg/mL 0,75%",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Tercera Parte,1B102474,vital_unavailable,2026-09-22T21:10:34.055039,N01BB01,
CO,Colombia,INVIMA,BUPIVACAÍNA LEVÓGIRA CLORHIDRATO ANHIDRA + EPINEFRINA BITARTRATO,BUPIVACAÍNA LEVÓGIRA CLORHIDRATO ANHIDRA + EPINEFRINA BITARTRATO,"0,75% + 5μg / 1mL",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102507,vital_unavailable,2026-09-22T21:10:34.055057,,
CO,Colombia,INVIMA,BUSULFAN,BUSULFAN,2mg/1U,,Tableta,6.0.0.0.N10,Acta No. 52 de 2012,1B102344,vital_unavailable,2026-09-22T21:10:34.055075,L01AB01,1872
CO,Colombia,INVIMA,CALCIO CLORURO,CALCIO CLORURO,100mg/1ml,,Solución inyectable,10.3.0.0.N10,Acta No. 03 de 2011,1C102345,vital_unavailable,2026-09-22T21:10:34.055093,B05BB01,
CO,Colombia,INVIMA,CAPREOMICINA,CAPREOMICINA,1g/1U,,Polvo para reconstituir a solución inyectable,4.1.1.4.N10,"Acta No. 03 de 2008
Acta No. 11 de 2013",1C101210,vital_unavailable,2026-09-22T21:10:34.055111,J04AB30,
CO,Colombia,INVIMA,CARBAMAZEPINA,CARBAMAZEPINA,200mg,,Tableta de liberación prolongada,19.9.0.0.N10,Acta No. 08 de 2026 SEMPB Segunda parte,,vital_unavailable,2026-09-22T21:10:34.055130,N03AF01,25976
CO,Colombia,INVIMA,CARBAMAZEPINA,CARBAMAZEPINA,400mg,,Tableta de liberación prolongada,19.9.0.0.N10,Acta No. 08 de 2026 SEMPB Segunda parte,,vital_unavailable,2026-09-22T21:10:34.055147,N03AF01,25984
CO,Colombia,INVIMA,CARBON ACTIVADO,CARBON ACTIVADO,20g/100 mL,,Suspensión oral,20.0.0.0.N10,Acta No. 01 de 2024 SEM Décima parte,,vital_unavailable,2026-09-22T21:10:34.055165,,
CO,Colombia,INVIMA,CERLIPONASA,CERLIPONASA,30mg/1mL,,Solución para infusión,8.2.7.0.N210,Acta No. 14 de 2019 SEM,1C101987,vital_unavailable,2026-09-22T21:10:34.055183,,
CO,Colombia,INVIMA,CICLOFOSFAMIDA,CICLOFOSFAMIDA,200 mg/vial,,Polvo para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 07 de 2026 SEMPB Primera parte,,vital_unavailable,2026-09-22T21:10:34.055209,L01AA01,
CO,Colombia,INVIMA,CICLOFOSFAMIDA,CICLOFOSFAMIDA,500 mg/vial,,Polvo para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 07 de 2026 SEMPB Primera parte,,vital_unavailable,2026-09-22T21:10:34.055226,L01AA01,5045
CO,Colombia,INVIMA,CICLOFOSFAMIDA,CICLOFOSFAMIDA,1g/vial,,Polvo para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 07 de 2026 SEMPB Primera parte,,vital_unavailable,2026-09-22T21:10:34.055244,L01AA01,5053
CO,Colombia,INVIMA,CICLOSERINA,CICLOSERINA,250mg,,Cápsula,4.1.1.4.N10.,Acta No. 01 de 2024 SEM Séptima parte,,vital_unavailable,2026-09-22T21:10:34.055261,J04AB01,
CO,Colombia,INVIMA,CITARABINA,CITARABINA,500mg/ vial (10mL),,Polvo Liofilizado para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 10 de 2021 SEM,1C1004121000,vital_unavailable,2026-09-22T21:10:34.055279,L01BC01,
