country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,expected_period,status,reason,detail_url,published_date,scraped_at
DK,Denmark,LMST,"Sotalol ""Viatris"" 40 mg tabletter",,,,C07AA07,,,,Midt august 2024 - start juli 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2024/sotalol-viatris-40-mg-forsyningsvanskelighed/,2026-03-13T13:54:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,"Ketaminol Vet. 100 mg/ml injektionsvæske, opløsning",,,,,,,,Fra midt februar 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/ketaminol-vet-100-mgml-forsyningsvanskelighed/,2026-03-13T13:13:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,"Ketaminol Vet. 50 mg/ml injektionsvæske, opløsning",,,,,,,,Fra midt februar 2026,shortage,Kommercielle årsager,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/ketaminol-vet-50-mgml-forsyningsvanskelighed/,2026-03-13T13:11:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,"Aquavac Relera Vet. koncentrat til badevand, suspension og injektionsvæske, suspension",,,,,,,,Slut september 2025 - slut april 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2025/aquavac-relera-vet-forsyningsvanskelighed/,2026-03-13T12:43:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,"Rimactan 300 mg kapsler, hårde (2care4 ApS)",,,,,,,,Midt februar 2026 - ukendt,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/rimactan-300-mg-2care4-aps-forsyningsvanskelighed/,2026-03-12T14:06:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,"Rimactan 300 mg kapsler, hårde (Sandoz A/S)",,,,,,,,Midt februar - slut oktober 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/rimactan-300-mg-sandoz-as-forsyningsvanskelighed/,2026-03-12T14:04:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,"Diazedor Vet. 5 mg/ml injektionsvæske, opløsning",,,,,,,,Start april - slut juni 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/diazedor-vet-forsyningsvanskelighed/,2026-03-12T11:53:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,"Pentasa Sachet 2 g depotgranulat, enkeltdosisbeholder",,,,,,,,Start marts - midt maj 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/pentasa-sachet-2-g-depotgranulat-forsyningsvanskelighed/,2026-03-12T10:36:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,Contalgin Uno 30 mg depotkapsler,,,,,,,,Slut marts - midt april 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/contalgin-uno-30-mg-forsyningsvanskelighed/,2026-03-11T10:14:00Z,2026-03-13T22:21:24.713556
DK,Denmark,LMST,"Ozalin 2 mg/ml oral opløsning, enkeltdosisbeholder",,,,,,,,Start september 2025 - slut juli 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2025/ozalin-forsyningsvanskelighed/,2026-03-11T09:09:00Z,2026-03-13T22:21:24.713556
