country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,expected_period,status,reason,detail_url,published_date,scraped_at,atc_code,prk
DK,Denmark,LMST,"Combiflure 1,25+3 mg/ml øjendråber, opløsning","Fluorescein, oxybuprocain (fluoresceinnatrium, oxybuprocainhydrochlorid) ATC-kode: S01JA51 Forventet periode: Midt september - midt oktober 2026 Årsag: Produktionsproblemer Virksomhed: Santen Oy Spørgsmål om aktuel status skal stilles til virksomheden",,,,2026-09-23,2026-10-15,Midt september - midt oktober 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/combiflure-forsyningsvanskelighed/,2026-09-23T08:53:00Z,2026-09-23T20:54:00.191982,S01JA51,221139
DK,Denmark,LMST,"Fixaprost 50 mikrogram/ml+5 mg/ml øjendråber, opløsning, enkeltdosisbeholder","Latanoprost, timolol ATC-kode: S01ED51 Forventet periode: Midt september 2026 - ukendt Årsag: Leveringsvanskeligheder Virksomhed: 2care4 ApS Yderligere informationer: Mindre leveringer kan løbende forekomme Spørgsmål om aktuel status skal stilles til virksomheden",,,,2026-09-22,,Midt september 2026 - ukendt,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/fixaprost-forsyningsvanskelighed/,2026-09-22T11:57:00Z,2026-09-23T20:54:00.191994,S01ED51,212156
DK,Denmark,LMST,"Sylvant 100 mg pulver til koncentrat til infusionsvæske, opløsning",Siltuximab ATC-kode: L04AC11 Forventet periode: Slut oktober - midt november 2026 Årsag: Leveringsvanskeligheder Virksomhed: Recordati AB Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-09-22,2026-11-15,Slut oktober - midt november 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/sylvant-forsyningsvanskelighed/,2026-09-22T11:44:00Z,2026-09-23T20:54:00.192000,L04AC11,117099
DK,Denmark,LMST,"Fixopost 50 mikrogram/ml+5 mg/ml øjendråber, opløsning, enkeltdosisbeholder (Epione Medicine ApS)","Latanoprost, timolol ATC-kode: S01ED51 Forventet periode: Midt september 2026 - ukendt Årsag: Leveringsvanskeligheder Virksomhed: Epione Medicine ApS Yderligere informationer: Del-levering i slut september",,,,2026-09-22,,Midt september 2026 - ukendt,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/fixopost-epione-medicine-aps-forsyningsvanskelighed/,2026-09-22T11:36:00Z,2026-09-23T20:54:00.192002,S01ED51,212156
DK,Denmark,LMST,"Fixopost 50 mikrogram/ml+5 mg/ml øjendråber, opløsning, enkeltdosisbeholder (Thea Nordic AB)","Latanoprost, timolol ATC-kode: S01ED51 Forventet periode: Slut september - start november 2026 Årsag: Produktionsproblemer Virksomhed: Thea Nordic AB Spørgsmål om aktuel status skal stilles til virksomheden",,,,2026-09-22,2026-11-05,Slut september - start november 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/fixopost-thea-nordic-ab-forsyningsvanskelighed/,2026-09-22T11:28:00Z,2026-09-23T20:54:00.192006,S01ED51,212156
DK,Denmark,LMST,"Voltaren 1 mg/ml øjendråber, opløsning ",Diclofenac (diclofenacnatrium) ATC-kode: S01BC03 Forventet periode: Start marts 2026 - ukendt Årsag: Leveringsvanskeligheder Virksomhed: 2care4 ApS Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-09-22,,Start marts 2026 - ukendt,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/voltaren-1-mgml-oejendraaber-forsyningsvanskelighed/,2026-09-22T08:01:00Z,2026-09-23T20:54:00.192008,S01BC03,
DK,Denmark,LMST,OxyNorm Dispersa 5 mg smeltetabletter,Oxycodon (oxycodonhydrochlorid) ATC-kode: N02AA05 Forventet periode: Slut september - start oktober 2026 Årsag: Øget salg/efterspørgsel Virksomhed: Mundipharma A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-09-21,2026-10-05,Slut september - start oktober 2026,shortage,Øget salg/efterspørgsel ,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/oxynorm-dispersa-5-mg-smeltetabletter-forsyningsvanskelighed/,2026-09-21T14:37:00Z,2026-09-23T20:54:00.192011,N02AA05,94374
DK,Denmark,LMST,Avipro IBD V217 lyofilisat til anvendelse i drikkevand,"Infektiøs bursal disease virus, stamme V217 (levende) ATC-kode: QI01AD09 Forventet periode: Midt september - slut oktober 2026 Årsag: Øget salg/efterspørgsel Virksomhed: Elanco Denmark ApS Spørgsmål om aktuel status skal stilles til virksomheden",,,,2026-09-21,2026-10-25,Midt september - slut oktober 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/avipro-ibd-v217-forsyningsvanskelighed/,2026-09-21T08:53:00Z,2026-09-23T20:54:00.192014,QI01AD09,
DK,Denmark,LMST,NexoBrid 5 g pulver og gel til gel,"Bromelainer (proteolytiske enzymer, fra Ananas comosus, oprenset i bromelain) ATC-kode: D03BA03 Forventet periode: Start september 2026 - slut juni 2027 Årsag: Øget salg/efterspørgsel Virksomhed: MediWound Germany GmbH Spørgsmål om aktuel status skal stilles til virksomheden",,,,2026-09-21,2027-06-25,Start september 2026 - slut juni 2027,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/nexobrid-forsyningsvanskelighed/,2026-09-21T08:39:00Z,2026-09-23T20:54:00.192016,D03BA03,218758
DK,Denmark,LMST,"Loratadin ""Teva"" 10 mg tabletter",Loratadin ATC-kode: R06AX13 Forventet periode: Start september - start november 2026 Årsag: Øget salg/efterspørgsel Virksomhed: Teva Denmark A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-09-18,2026-11-05,Start september - start november 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/loratadin-teva-forsyningsvanskelighed/,2026-09-18T13:00:00Z,2026-09-23T20:54:00.192019,R06AX13,27367
