country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,status,detail_url,scraped_at
EE,Estonia,RAVIMIAMET,"5-FLUOROURACIL ""EBEWE""",L01BC02,fluorouratsiil,süste-/infusioonilahus,50mg 1ml,Sandoz Pharmaceuticals d.d.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=51eb12fa-ef66-473f-801e-71b35735f3ed,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,ABACAVIR/LAMIVUDINE MYLAN,J05AR02,lamivudiin +abakaviir,õhukese polümeerikattega tablett,300mg +600mg,Mylan Pharmaceuticals Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=e6da3132-4005-40c1-b9fa-bce35607a3db,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,ABEVMY,L01FG01,bevatsizumab,infusioonilahuse kontsentraat,25mg 1ml,Biosimilar Collaborations Ireland Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ecb77687-ca43-400e-a77a-4c923b28a2a6,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,ABIRATERONE TEVA,L02BX03,abirateroon,õhukese polümeerikattega tablett,500mg,Teva B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=e68d3637-ce15-48d0-b6b2-67a4c4f6b8fe,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,ACTIFED,R01BA81,pseudoefedriin +triprolidiin,siirup,"6mg +0,25mg 1ml",McNeil Healthcare (Ireland) Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=e32cd7eb-cada-4236-be21-46991c689a91,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,ADENOCOR,C01EB10,adenosiin,süstelahus,3mg 1ml,Sanofi-Aventis Groupe,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2c902e8c-4d39-401e-a3bb-bbfe60de188b,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,ADIXEMIN,N06BA12,lisdeksamfetamiindimesülaat,kõvakapsel,40mg,Stada Arzneimittel AG,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=16f16c62-f276-4256-aeee-e77305f51cb0,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,AFORBE,R03AK08,formoterool +beklometasoon,"inhalatsiooniaerosool, lahus",6mcg +100mcg 1annus,Viatris Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=1d8680d9-a14e-4102-87ca-0c10a0f6a05a,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,AFRIN,R01AA05,oksümetasoliin,"ninasprei, lahus","0,5mg 1ml",Bayer UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=4fd2418f-89d8-48a9-8fe9-eb6480b896b8,2026-03-14T16:10:43.480930
EE,Estonia,RAVIMIAMET,AFRIN MENTHOL,R01AA05,oksümetasoliin,"ninasprei, lahus","0,5mg 1ml",Bayer UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=4d719aa6-d4a3-4eb9-9277-0d5bec2f1fed,2026-03-14T16:10:43.480930
