country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,status,detail_url,scraped_at,prk
EE,Estonia,RAVIMIAMET,ABIRATERONE TEVA,L02BX03,abirateroon,õhukese polümeerikattega tablett,500mg,Teva B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=9dd7d8a5-d49f-4cd2-a918-f3240fb9def2,2026-09-21T16:19:38.877894,136913
EE,Estonia,RAVIMIAMET,ABIX,H02AB09,hüdrokortisoon,tablett,50mg,Vitabalans Oy,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=5e97f582-9ef3-4f8c-bc9e-be7355c5e2b1,2026-09-21T16:19:38.877954,
EE,Estonia,RAVIMIAMET,AFFENID,N06BA04,metüülfenidaat,toimeainet modifitseeritult vabastav kõvakapsel,30mg,Zentiva k.s.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=9d618b8f-861d-4489-b4b4-f5af3cf675c7,2026-09-21T16:19:38.877983,
EE,Estonia,RAVIMIAMET,AFFENID,N06BA04,metüülfenidaat,toimeainet modifitseeritult vabastav kõvakapsel,40mg,Zentiva k.s.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=fba03712-4b75-4465-aafe-ff121bacf3f2,2026-09-21T16:19:38.878005,83062
EE,Estonia,RAVIMIAMET,AFFENID,N06BA04,metüülfenidaat,toimeainet modifitseeritult vabastav kõvakapsel,60mg,Zentiva k.s.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=233e9793-818e-40c3-9a9d-c67d8a6b67e1,2026-09-21T16:19:38.878027,118397
EE,Estonia,RAVIMIAMET,Alamycin LA,J01AA06,oksütetratsükliin,süstelahus,200mg 1ml,Norbrook Laboratories (Ireland) Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=VetRavimid.Ravim&vid=ca0f6012-9d6f-4386-a1a8-d86c2e6bd7eb,2026-09-21T16:19:38.878046,
EE,Estonia,RAVIMIAMET,ALCAINE,S01HA04,proksümetakaiin,"silmatilgad, lahus",5mg 1ml,Alcon Farmaceutika d.o.o.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=4de18d97-695a-4a7d-ae77-09fce31714d6,2026-09-21T16:19:38.878067,
EE,Estonia,RAVIMIAMET,ALENDRONIC ACID/COLECALCIFEROL ZENTIVA,M05BB03,alendroonhape +kolekaltsiferool,tablett,70mg +5600RÜ,Zentiva k.s.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=87327cbb-fe85-416d-b1eb-f2e1b309cd87,2026-09-21T16:19:38.878087,122432
EE,Estonia,RAVIMIAMET,ALLOPURINOL SANDOZ,M04AA01,allopurinool,tablett,100mg,Sandoz Pharmaceuticals d.d.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=05950a75-20c1-4d97-a98b-01fa30d3453f,2026-09-21T16:19:38.878109,671
EE,Estonia,RAVIMIAMET,ALLOPURINOL SANDOZ,M04AA01,allopurinool,tablett,300mg,Sandoz Pharmaceuticals d.d.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=463d4054-f536-4495-9d94-af6e158e1076,2026-09-21T16:19:38.878129,3913
EE,Estonia,RAVIMIAMET,ALPRAZOLAM-GRINDEKS,N05BA12,alprasolaam,tablett,"0,25mg",Grindeks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=079c17ef-7229-4ab8-851c-53237e48a45d,2026-09-21T16:19:38.878153,31917
EE,Estonia,RAVIMIAMET,AMARYL,A10BB12,glimepiriid,tablett,2mg,Ideal Trade Links UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=5ba91664-878e-4418-989b-b4927cefa85f,2026-09-21T16:19:38.878172,
EE,Estonia,RAVIMIAMET,AZITHROMYCIN GRINDEKS,J01FA10,asitromütsiin,õhukese polümeerikattega tablett,500mg,Grindeks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=cd44ce91-d206-446e-80e3-756b32b31daf,2026-09-21T16:19:38.878191,115002
EE,Estonia,RAVIMIAMET,AZITHROMYCIN KRKA,J01FA10,asitromütsiin,õhukese polümeerikattega tablett,250mg,KRKA tovarna zdravil d.d. Novo mesto,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2c062c36-0818-4aff-b285-775b63cdcb84,2026-09-21T16:19:38.878210,114995
EE,Estonia,RAVIMIAMET,AZITHROMYCIN KRKA,J01FA10,asitromütsiin,õhukese polümeerikattega tablett,500mg,KRKA tovarna zdravil d.d. Novo mesto,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2605120d-f7ad-4bc6-999e-b9711e485a9b,2026-09-21T16:19:38.878229,115002
EE,Estonia,RAVIMIAMET,ATENOLOL-RATIOPHARM 25MG,C07AB03,atenolool,õhukese polümeerikattega tablett,25mg,Ratiopharm GmbH,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ce79517e-6d82-43c2-b3f2-9ba83b240cc4,2026-09-21T16:19:38.878247,33103
EE,Estonia,RAVIMIAMET,ATORVASTATIN ACTAVIS,C10AA05,atorvastatiin,õhukese polümeerikattega tablett,40mg,Actavis Group Ptc ehf.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=b7bb4c20-ad62-405c-a00e-1829ff5f74c8,2026-09-21T16:19:38.878266,98620
EE,Estonia,RAVIMIAMET,AUGMENTIN,J01CR02,amoksitsilliin +klavulaanhape,suukaudse suspensiooni pulber,"80mg +11,4mg 1ml",First Pharma OÜ,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=6480c16c-fd20-4b1f-93ab-17c8fcd34ad9,2026-09-21T16:19:38.878284,
EE,Estonia,RAVIMIAMET,BELKYRA,D11AX24,deoksükoolhape,süstelahus,10mg 1ml,AbbVie SIA,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=8c98a146-d50d-4bf2-be88-46a78d86dacb,2026-09-21T16:19:38.878301,218863
EE,Estonia,RAVIMIAMET,BETALOC,C07AB02,metoprolool,süstelahus,1mg 1ml,First Pharma OÜ,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=6a931883-a75a-497e-b409-fad310892a59,2026-09-21T16:19:38.878319,204749
EE,Estonia,RAVIMIAMET,BETASERC,N07CA01,beetahistiin,tablett,24mg,Lex Ano UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=f5849a33-1cbb-4e9c-bbd7-5932b75352b2,2026-09-21T16:19:38.878362,93378
EE,Estonia,RAVIMIAMET,BETMIGA,G04BD12,mirabegroon,toimeainet prolongeeritult vabastav tablett,50mg,Astellas Pharma Europe B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=c3eae778-00a1-4f73-9f3e-e9650c58d93d,2026-09-21T16:19:38.878382,112305
EE,Estonia,RAVIMIAMET,BLOXAZOC 25,C07AB02,metoprolool,toimeainet prolongeeritult vabastav tablett,25mg,KRKA tovarna zdravil d.d. Novo mesto,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=df616a07-d218-4921-9410-ce6198284047,2026-09-21T16:19:38.878404,81043
EE,Estonia,RAVIMIAMET,CASPOFUNGIN TEVA GENERICS,J02AX04,kaspofungiin,infusioonilahuse kontsentraadi pulber,50mg,Teva B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2854f1a2-fef3-4861-8abd-e0868cd89d58,2026-09-21T16:19:38.878427,70300
EE,Estonia,RAVIMIAMET,CATHEJELL LIDOCAIN,N01BB86,lidokaiin +kloorheksidiin,geel,"20mg +0,5mg 1g",First Pharma OÜ,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=6007cef3-0526-4174-9917-27a4ba75f4ae,2026-09-21T16:19:38.878447,
EE,Estonia,RAVIMIAMET,Catobevit,A12CX92,butafosfaan +tsüanokobalamiin,süstelahus,"100mg +0,05mg 1ml",KRKA tovarna zdravil d.d. Novo mesto,shortage,https://www.ravimiregister.ee/Default.aspx?pv=VetRavimid.Ravim&vid=0e9ccd96-29bb-4d39-8576-733fbbd77aae,2026-09-21T16:19:38.878467,
EE,Estonia,RAVIMIAMET,Catophos,A12CX92,butafosfaan +tsüanokobalamiin,süstelahus,"100mg +0,05mg 1ml",CP-Pharma Handelsgesellschaft mbH,shortage,https://www.ravimiregister.ee/Default.aspx?pv=VetRavimid.Ravim&vid=244c05e3-974d-45f4-beec-f6669af74ae8,2026-09-21T16:19:38.878492,
