country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,detail_url,shortage_start,estimated_end,status,package_size,product_no,reason,medicine_type,scraped_at,prk
EE,Estonia,RAVIMIAMET,ABIX,H02AB09,Hydrocortisone,tablet,50mg,Vitabalans Oy,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=5e97f582-9ef3-4f8c-bc9e-be7355c5e2b1,2026-06-01,,shortage,3TK,1233122,eeldatavasti septembris 2026,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,AFFENID,N06BA04,Methylphenidate,"modified-release capsule, hard",30mg,Zentiva k.s.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=9d618b8f-861d-4489-b4b4-f5af3cf675c7,2026-08-10,,shortage,28TK,1838167,eeldatavasti detsembri alguses 2026,Human medicine,2026-09-23T20:54:00.195496,82244
EE,Estonia,RAVIMIAMET,AFFENID,N06BA04,Methylphenidate,"modified-release capsule, hard",60mg,Zentiva k.s.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=233e9793-818e-40c3-9a9d-c67d8a6b67e1,2026-06-15,,shortage,60TK,1838325,eeldatavasti oktoobris 2026,Human medicine,2026-09-23T20:54:00.195496,118397
EE,Estonia,RAVIMIAMET,AFFENID,N06BA04,Methylphenidate,"modified-release capsule, hard",40mg,Zentiva k.s.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=fba03712-4b75-4465-aafe-ff121bacf3f2,2026-05-04,,shortage,60TK,1838268,eeldatavasti oktoobris 2026,Human medicine,2026-09-23T20:54:00.195496,83062
EE,Estonia,RAVIMIAMET,ALENDRONIC ACID/COLECALCIFEROL ZENTIVA,M05BB03,Alendronic acid+Colecalciferol,tablet,70mg +5600RÜ,Zentiva k.s.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=87327cbb-fe85-416d-b1eb-f2e1b309cd87,2023-01-02,,shortage,4TK,1695067,eeldatavasti märtsis 2027,Human medicine,2026-09-23T20:54:00.195496,122432
EE,Estonia,RAVIMIAMET,ALLOPURINOL SANDOZ,M04AA01,Allopurinol,tablet,100mg,Sandoz Pharmaceuticals d.d.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=05950a75-20c1-4d97-a98b-01fa30d3453f,2026-01-12,,shortage,500TK,1685561,eeldatavasti septembris 2026,Human medicine,2026-09-23T20:54:00.195496,671
EE,Estonia,RAVIMIAMET,ALLOPURINOL SANDOZ,M04AA01,Allopurinol,tablet,300mg,Sandoz Pharmaceuticals d.d.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=463d4054-f536-4495-9d94-af6e158e1076,2026-04-22,,shortage,125TK,1685640,eeldatavasti septembris 2026,Human medicine,2026-09-23T20:54:00.195496,3913
EE,Estonia,RAVIMIAMET,ALPRAZOLAM-GRINDEKS,N05BA12,Alprazolam,tablet,"0,25mg",Grindeks AS,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=079c17ef-7229-4ab8-851c-53237e48a45d,2024-10-08,,shortage,30TK,1010439,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,31917
EE,Estonia,RAVIMIAMET,AMARYL,A10BB12,Glimepiride,tablet,2mg,Ideal Trade Links UAB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=5ba91664-878e-4418-989b-b4927cefa85f,2024-03-25,,shortage,"30TK, Tšehhi pakend",1846942,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,44431
EE,Estonia,RAVIMIAMET,AZITHROMYCIN KRKA,J01FA10,Azithromycin,film-coated tablet,250mg,KRKA tovarna zdravil d.d. Novo mesto,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2c062c36-0818-4aff-b285-775b63cdcb84,2024-01-02,,shortage,6TK,1614439,eeldatavasti IV kvartalis 2026,Human medicine,2026-09-23T20:54:00.195496,114995
EE,Estonia,RAVIMIAMET,AZITHROMYCIN KRKA,J01FA10,Azithromycin,film-coated tablet,500mg,KRKA tovarna zdravil d.d. Novo mesto,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2605120d-f7ad-4bc6-999e-b9711e485a9b,2025-03-17,,shortage,2TK,1614440,eeldatavasti novembris 2026,Human medicine,2026-09-23T20:54:00.195496,115002
EE,Estonia,RAVIMIAMET,ATENOLOL-RATIOPHARM 25MG,C07AB03,Atenolol,film-coated tablet,25mg,Ratiopharm GmbH,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ce79517e-6d82-43c2-b3f2-9ba83b240cc4,2026-08-31,,shortage,50TK,1072369,eeldatavasti oktoobris 2026,Human medicine,2026-09-23T20:54:00.195496,33103
