country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at
ES,Spain,AEMPS,"KABIPAC GLUCOSA 5% SOLUCION PARA PERFUSION , 10 frascos de 1.000 ml",,,,,639963,2026-03-12,2026-04-21,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"ACTIQ 800 microgramos, COMPRIMIDOS PARA CHUPAR CON APLICADOR BUCAL INTEGRADO, 15 comprimidos",,,,,711531,2026-03-11,2026-04-01,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"BREVIBLOC  10 mg/ml SOLUCION INYECTABLE , 5 viales de 10 ml",,,,,670502,2026-03-11,2026-09-02,shortage,"Problemas de suministro (sin alternativa, medicamento extranjero)",Se puede solicitar como medicamento extranjero.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"DARIANTE 1 MG/24 HORAS PARCHES TRANSDÉRMICOS EFG, 28 parches",,,,,763597,2026-03-11,2026-05-20,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"ETORICOXIB PENSA 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",,,,M01AH05,714906,2026-03-11,2026-05-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"GABAPENTINA NORMON 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 90 comprimidos",,,,N02BF01,662559,2026-03-11,2026-07-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"VALSARTAN/HIDROCLOROTIAZIDA CINFA 160 mg/12,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",,,,C09CA03,672809,2026-03-11,2026-04-24,shortage,Cese de comercialización temporal,Existe/n otro/s medicamento/s con los mismos principios activos y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"VANDRAL RETARD 75 mg CAPSULAS DURAS DE LIBERACION PROLONGADA, 30 cápsulas",,,,,734988,2026-03-11,2026-03-18,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"ZIPRASIDONA VIATRIS 40 mg CAPSULAS DURAS EFG, 56 cápsulas",,,,,687597,2026-03-11,2026-05-07,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,ZONISAMIDA CINFAMED 50 MG CAPSULAS DURAS EFG 28 cápsulas,,,,,710918,2026-03-11,2026-07-17,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"ANSATIPIN 150 MG CÁPSULAS DURAS, 30 cápsulas",,,,,694216,2026-03-10,2026-10-31,shortage,"Problemas de suministro (sin alternativa, medicamento extranjero)",Se puede solicitar como medicamento extranjero.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"CITICOLINA PENSA PHARMA 1000 MG SOLUCION ORAL EFG , 10 sobres de 10 ml",,,,,709199,2026-03-10,2026-03-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
ES,Spain,AEMPS,"DETRUSITOL NEO 4 mg, CAPSULAS DURAS DE LIBERACION PROLONGADA, 28 cápsulas",,,,,999881,2026-03-10,2026-06-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-03-12T15:53:51.512012
