country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
ES,Spain,AEMPS,"ELTROMBOPAG TEVA 50 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG, 28 comprimidos",ELTROMBOPAG OLAMINA,,,767114,2026-09-22,2026-10-19,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.025908,B02BX03,
ES,Spain,AEMPS,"GELIDINA 0,25 MG/G GEL , 1 tubo de 60 g",FLUOCINOLONA ACETONIDO,,,762641,2026-09-22,2026-10-26,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.025948,D07AC01,
ES,Spain,AEMPS,"PALONOSETRON ACCORD 250 MICROGRAMOS SOLUCION INYECTABLE EFG, 1 vial de 5 ml",PALONOSETRON HIDROCLORURO,,,712905,2026-09-22,2026-10-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.025971,A04AA05,
ES,Spain,AEMPS,"PALONOSETRON SALA 250 MICROGRAMOS SOLUCION PARA INYECCION EFG, 1 vial de 5 ml",PALONOSETRON HIDROCLORURO,,,710956,2026-09-22,2026-10-06,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.025992,A04AA05,
ES,Spain,AEMPS,"PITAVASTATINA KERN PHARMA 1 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",PITAVASTATINA CALCIO,,,728173,2026-09-22,2026-11-19,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026013,C10AA08,
ES,Spain,AEMPS,"PRIMENE 10% SOLUCIÓN PARA PERFUSIÓN , 1 frasco de 250 ml","SERINA, FENILALANINA, TRIPTOFANO, GLUTAMICO ACIDO, GLICINA, HISTIDINA, ISOLEUCINA, LEUCINA, TREONINA, METIONINA, ORNITINA HIDROCLORURO, PROLINA, LISINA, VALINA, ALANINA, TIROSINA, ARGININA, ASPARTICO ACIDO, CISTEINA, TAURINA",,,653154,2026-09-22,2027-09-10,shortage,10,La AEMPS ha autorizado unidades por comercialización excepcional. acondicionadas en un idioma distinto al castellano y con caducidad inferior a 3 meses.,2026-09-23T20:59:43.026033,,
ES,Spain,AEMPS,"ZARATOR 40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA , 28 comprimidos",ATORVASTATINA,,,669051,2026-09-22,2026-11-13,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026054,C10AA05,98620
ES,Spain,AEMPS,"APREMILAST GLENMARK 10 MG + 20 MG + 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 27 comprimidos (4x10 mg + 4x20 mg + 19x30 mg)","APREMILAST, APREMILAST, APREMILAST",,,768972,2026-09-21,2027-02-28,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026074,,
ES,Spain,AEMPS,"COSENTYX 300 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA, 1 pluma precargada de 2 ml",SECUKINUMAB,,,729914,2026-09-21,2026-09-29,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026095,L04AC10,208043
ES,Spain,AEMPS,"DEVIK 10.000 UI/ML GOTAS ORALES EN SOLUCION, 1 frasco de 10 ml",COLECALCIFEROL,,,731880,2026-09-21,2026-10-28,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026115,A11CC05,211249
ES,Spain,AEMPS,"DOXAZOSINA VIATRIS PHARMACEUTICALS 4 MG COMPRIMIDOS EFG, 28 comprimidos",DOXAZOSINA MESILATO,,,892166,2026-09-21,2026-10-22,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026135,C02CA04,53589
ES,Spain,AEMPS,"FAMPRIDINA AUROVITAS 10 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",FAMPRIDINA,,,758044,2026-09-21,2027-02-26,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026154,N07XX07,101826
ES,Spain,AEMPS,"FLUARIX SUSPENSION INYECTABLE EN JERINGA PRECARGADA, 10 jeringas precargadas de 0,5 ml","VIRUS INFLUENZA GRIPE A/VICTORIA/4897/2022 IVR-238 (H1N1), INACTIVADO, VIRUS INFLUENZA GRIPE A/THAILAND/8/2022 (H3N2) IVR-237 CEPA SIMILAR A (A/THAILAND/8/2022), VIRUS INFLUENZA GRIPE CEPA SIMILAR A B/AUSTRIA/1359417/2021-(B/AUSTRIA/1359417/2021, BVR-26)",,,607861,2026-09-21,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026166,,
ES,Spain,AEMPS,"LEVOTIROXINA SODICA TEVA 150 microgramos COMPRIMIDOS EFG , 84 comprimidos",LEVOTIROXINA SODICA,,,696356,2026-09-21,,shortage,Otros problemas de suministro,El médico prescriptor deberá determinar la posibilidad de utilizar otros tratamientos comercializados.,2026-09-23T20:59:43.026175,H03AA01,23469
ES,Spain,AEMPS,"METOCLOPRAMIDA ACCORD 10 MG COMPRIMIDOS EFG , 60 comprimidos",METOCLOPRAMIDA HIDROCLORURO,,,697902,2026-09-21,2026-10-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026195,A03FA01,6947
ES,Spain,AEMPS,"PALONOSETRON QILU 250 MICROGRAMOS SOLUCION INYECTABLE EFG, 1 vial de 5 ml",PALONOSETRON HIDROCLORURO,,,714085,2026-09-21,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026204,A04AA05,
ES,Spain,AEMPS,"PAZOPANIB DR. REDDYS 200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 30 comprimidos",PAZOPANIB HIDROCLORURO,,,767291,2026-09-21,2026-10-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026223,L01EX03,95265
ES,Spain,AEMPS,"LIXIANA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA, 28 comprimidos",EDOXABAN TOSILATO,,,707044,2026-09-18,,shortage,9,El titular de autorización de comercialización está realizando una distribución controlada al existir unidades limitadas.,2026-09-23T20:59:43.026233,B01AF03,128201
ES,Spain,AEMPS,"NINTEDANIB EUGIA 150 MG CÁPSULAS BLANDAS EFG, 60 cápsulas",NINTEDANIB ESILATO,,,766525,2026-09-18,2026-10-15,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026252,,
ES,Spain,AEMPS,"SOLINITRINA FUERTE 5 MG/ML CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN, 12 ampollas de 10 ml",NITROGLICERINA,,,971044,2026-09-18,2026-12-11,shortage,12,El Titular de Autorización de Comercialización está realizando una distribución controlada a hospitales,2026-09-23T20:59:43.026269,C01DA02,
ES,Spain,AEMPS,"UROMITEXAN 100 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION, 10 ampollas de 10 ml",MESNA,,,724985,2026-09-18,2026-09-28,shortage,10,La AEMPS ha autorizado unidades por comercialización excepcional. en un idioma distinto al castellano,2026-09-23T20:59:43.026289,R05CB05,41866
ES,Spain,AEMPS,"DYNASTAT 40 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE, 5 viales + 5 ampollas de disolvente",PARECOXIB,,,721415,2026-09-17,2026-11-20,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026311,M01AH04,65676
ES,Spain,AEMPS,"FENZIL 5 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA, 30 comprimidos","ROSUVASTATINA  CALCICA, FENOFIBRATO MICRONIZADO",,,768679,2026-09-17,2026-11-01,shortage,Cese de comercialización temporal,Existe/n otro/s medicamento/s con los mismos principios activos y para la misma vía de administración.,2026-09-23T20:59:43.026328,,
ES,Spain,AEMPS,"LENALIDOMIDA TEVA 20 MG CAPSULAS DURAS EFG, 21 cápsulas",LENALIDOMIDA HIDROCLORURO HIDRATO,,,725478,2026-09-17,2026-09-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026346,L04AX03,
ES,Spain,AEMPS,"PACLITAXEL AUROVITAS 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG , 1 vial de 50 ml",PACLITAXEL,,,663744,2026-09-17,2026-11-03,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026365,L01CD01,56596
ES,Spain,AEMPS,"BENDAMUSTINA GLENMARK 2,5 MG/ML POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG, 5 viales de 100 mg",BENDAMUSTINA HIDROCLORURO,,,722068,2026-09-16,2026-11-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026383,L01AA09,
ES,Spain,AEMPS,"BENLYSTA 200 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA, 4 plumas precargadas de 1 ml",BELIMUMAB,,,719886,2026-09-16,2026-10-05,shortage,9,El titular de autorización de comercialización está realizando una distribución controlada al existir unidades limitadas.,2026-09-23T20:59:43.026400,L04AG04,149462
ES,Spain,AEMPS,"ETORICOXIB VIATRIS 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos (monododis) (Blister PVDC/PVC/Aluminio)",ETORICOXIB,,,708492,2026-09-16,2026-10-27,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026418,M01AH05,85766
ES,Spain,AEMPS,FOLINATO CALCICO ALTAN 50 mg POLVO  PARA SOLUCION INYECTABLE EFG  25 viales,FOLINICO ACIDO,,,602392,2026-09-16,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026428,V03AF06,
ES,Spain,AEMPS,"HURRICAINE SPRAY 200 mg/ml SOLUCION PARA PULVERIZACION BUCAL, 1 frasco de 60 ml",BENZOCAINA,,,913400,2026-09-16,2027-02-26,shortage,11,Existen tratamientos alternativos no sujetos a prescripción.,2026-09-23T20:59:43.026446,C05AD03,
ES,Spain,AEMPS,"KETOBRILL 0,25 mg/ml COLIRIO EN SOLUCIÓN EN ENVASE UNIDOSIS , 20 envases unidosis con 0,4 ml de colirio",KETOTIFENO FUMARATO,,,697080,2026-09-16,,shortage,Otros problemas de suministro,El médico prescriptor deberá determinar la posibilidad de utilizar otros tratamientos comercializados.,2026-09-23T20:59:43.026458,R06AX13,
ES,Spain,AEMPS,"NEURONTIN 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA , 90 comprimidos",GABAPENTINA,,,884718,2026-09-16,2026-11-27,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026477,N02BF01,57541
ES,Spain,AEMPS,"QUETIAPINA KERN PHARMA 150 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 60 comprimidos",QUETIAPINA FUMARATO,,,711203,2026-09-16,2026-10-02,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026496,N05AH04,94757
ES,Spain,AEMPS,TEMOZOLOMIDA ACCORD 180 mg CAPSULAS DURAS  EFG 5 capsulas,TEMOZOLOMIDA,,,707162,2026-09-16,2026-12-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026515,L01AX03,84328
ES,Spain,AEMPS,"MAYESTA  20 mg CAPSULAS BLANDAS , 50 cápsulas",ISOTRETINOINA,,,660467,2026-09-15,2027-01-15,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026533,D10BA01,69507
ES,Spain,AEMPS,"MAYESTA 10 mg CAPSULAS BLANDAS, 50 cápsulas",ISOTRETINOINA,,,660466,2026-09-15,2027-01-15,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026552,D10BA01,69493
ES,Spain,AEMPS,"Accofil 30 MU/0,5 ml solucion inyectable y para perfusion en jeringa precargada 5 jeringas   precargadas",FILGRASTIM,,,705605,2026-09-14,2026-09-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026572,L03AA02,41831
ES,Spain,AEMPS,"AMOXICILINA/ACIDO CLAVULANICO SANDOZ 2000mg/200mg POLVO PARA SOLUCION PARA PERFUSION EFG, 10 viales","AMOXICILINA SODICA, CLAVULANATO POTASIO",,,606021,2026-09-14,2026-10-26,shortage,10,La AEMPS ha autorizado unidades por comercialización excepcional. acondicionadas en un idioma distinto al castellano para concursos adjudicados.,2026-09-23T20:59:43.026590,,
ES,Spain,AEMPS,"DILUTOL HTA 2,5 mg COMPRIMIDOS, 30 comprimidos",TORASEMIDA,,,690289,2026-09-14,2026-10-09,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026608,C03CA04,
ES,Spain,AEMPS,"HYRIMOZ 40 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA, 2 plumas precargadas de 0,4 ml",ADALIMUMAB,,,762476,2026-09-14,2026-09-25,shortage,10,La AEMPS ha autorizado unidades por comercialización excepcional. acondicionadas en un idioma distinto al castellano.,2026-09-23T20:59:43.026626,L04AB04,
ES,Spain,AEMPS,"MOVICOL PEDIATRICO SABOR CHOCOLATE 6,9 g POLVO PARA SOLUCION ORAL EN SOBRE , 30 sobres","SODIO BICARBONATO, CLORURO DE POTASIO, SODIO CLORURO, MACROGOL 3350",,,677290,2026-09-14,2027-02-28,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026645,,
ES,Spain,AEMPS,"BINOCRIT, 10.000 UI/1 ml, SOLUCION INYECTABLE EN UNA JERINGA PRECARGADA, 6 jeringas precargadas de 1 ml con protector de seguridad para la aguja",EPOETINA ALFA,,,714133,2026-09-11,2026-10-27,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026666,B03XA01,
ES,Spain,AEMPS,"BINOCRIT, 6000 UI/0,6 ml, SOLUCION INYECTABLE EN UNA JERINGA PRECARGADA, 6 jeringas precargadas de 0,6 ml con protector de seguridad para la aguja",EPOETINA ALFA,,,714131,2026-09-11,2026-10-12,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026684,B03XA01,
ES,Spain,AEMPS,"BISOPROLOL NORMON 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 30 comprimidos",BISOPROLOL HEMIFUMARATO,,,865048,2026-09-11,2026-10-01,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026702,C07AB07,25534
ES,Spain,AEMPS,"BLOKIUM 100 mg COMPRIMIDOS, 60 comprimidos",ATENOLOL,,,700542,2026-09-11,2026-10-16,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026720,C07AB03,3352
ES,Spain,AEMPS,"CABLIVI 10 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE, vial con polvo + jeringa precargada con disolvente + pack administración",CAPLACIZUMAB,,,723568,2026-09-11,2026-10-07,shortage,10,La AEMPS ha autorizado unidades por comercialización excepcional. en un idioma distinto al castellano.,2026-09-23T20:59:43.026738,B01AX07,197416
ES,Spain,AEMPS,"DEPAKINE CRONO 500 mg COMPRIMIDOS DE LIBERACION PROLONGADA , 100 comprimidos","VALPROICO ACIDO, VALPROATO SODIO",,,671149,2026-09-11,2026-12-24,shortage,9,El titular de autorización de comercialización está realizando una distribución controlada al existir unidades limitadas.,2026-09-23T20:59:43.026755,,
ES,Spain,AEMPS,"EFFENTORA 200 microgramos COMPRIMIDOS BUCALES, 4 comprimidos",FENTANILO CITRATO,,,662853,2026-09-11,2026-10-14,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.026773,N02AB03,96199
