country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,dosage_form,shortage_start,first_published,estimated_end,estimated_end_text,last_updated,status,alternatives_available,reason,member_states,source_url,scraped_at
EU,EU (EMA),EMA,Dynastat,parecoxib,40 mg,,,M01AH04,Pfizer Europe MA EEIG,Powder and solvent for solution for injection;Powder for solution for injection,,2025-04-14,,,2026-09-18,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/dynastat,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,NexoBrid,concentrate of proteolytic enzymes enriched in bromelain,,,,D03BA03,MediWound Germany GmbH,,,2026-05-06,,,2026-09-18,resolved,No,,,https://www.ema.europa.eu/en/medicines/human/shortages/nexobrid,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Eskazole / Zentel,albendazole,,,,,,Tablet;Suspension,,2026-09-09,,2028,,shortage,Yes,"The company marketing these medicines, GlaxoSmithKline, must switch to a new supplier of the active substance albendazole. This has resulted in supply disruptions. The shortage is not related to a quality defect or a safety issue. The shortage is expected to last until at least 2028.","The shortage affects all of the Member States where the product is marketed or imported, including: Austria, Bulgaria, France, Germany, Greece, Italy, Lithuania, Netherlands, Poland, Romania, Slovakia, Slovenia and Spain. This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority using the below links.",https://www.ema.europa.eu/en/medicines/human/shortages/eskazole-zentel,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Visudyne,verteporfin,15 mg,,,S01LA01,CHEPLAPHARM Arzneimittel GmbH,Powder for solution for infusion,2020-05-01,2021-11-08,,2027,2026-09-04,shortage,Yes,"There has been a shortage of Visudyne since May 2020 due to reduced manufacturing capacity. Although some supply capacity has been partially restored in the first quarter of 2022, it remains insufficient to fully meet demand. A new supply chain was established in July 2026 and the shortage is expected to resolve in 2027. Constrained supply will continue up to then.","The shortage affects all EU/EEA Member States where the product is marketed, including Austria, Belgium, Cyprus, Czechia, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Norway, Portugal, Spain and Sweden. For up-to-date information about the status of a medicine shortage in a particular EU/EEA Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/visudyne,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Saxenda,liraglutide,6 mg/ml,,,A10BJ02,Novo Nordisk A/S,Solution for injection in pre-filled pen,,2023-08-24,,,2026-09-02,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/saxenda,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Brevibloc,esmolol,10 mg/ml,,,,,Solution for intravenous injection,,2026-09-02,,End of 2027,,shortage,Yes,The company for Brevibloc is experiencing manufacturing issues due to the discontinuation of manufacturing activities by the supplier of the active substance esmolol. This has led to a shortage of Brevibloc. The shortage is not related to a quality defect of the product or a safety issue. The shortage is expected to last until the end of 2027.,"The shortage affects some of the countries where the product is marketed: Austria, Belgium, Denmark, Finland, France, Germany, Ireland, Italy, Malta, Norway, Portugal, Spain, Sweden (Brevibloc vials) Denmark, Finland, France, Germany, Greece, Ireland, Italy, Malta, Norway, Portugal, Spain, Sweden (Brevibloc bags) This information may change. For up-to-date information about the status of a medicine shortage in a particular country, consult the national shortage register or contact the national competent authority using the below links.",https://www.ema.europa.eu/en/medicines/human/shortages/brevibloc,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Paliperidone palmitate,,,,,,,,,2026-08-27,,,,shortage,Yes,"A manufacturing company, Pharmathen International, is experiencing manufacturing problems. This has led to a shortage of long-acting injectable paliperidone palmitate-containing medicines. The shortage is not related to a quality defect of the product or a safety issue. The end date of the shortage is not yet known.","The shortage affects some of the Member States where the product from the impacted companies is marketed or where alternative products are in short supply. This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/paliperidone-palmitate,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Azactam,aztreonam,1 g;2 g,,,,,Powder for solution for injection;Powder for solution for infusion,,2026-07-10,,,,shortage,Yes,"The company for Azactam, Delbert, is having manufacturing issues at a new production site. This means that new batches of Azactam 1g and 2g powder for injection or infusion cannot be released, which has resulted in supply shortages since the second quarter of 2026. The shortage is not due to any safety, efficacy or quality concern with currently available supplies of Azactam. The shortage is expected to last until the end of June 2027.","The shortage affects all Member States where the product is currently marketed: France, Belgium, Luxembourg, Portugal, Austria, Finland, Norway, Sweden and Spain. This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority using the below links.",https://www.ema.europa.eu/en/medicines/human/shortages/azactam,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Tegsedi,inotersen,,,,N07,Akcea Therapeutics Ireland Limited,Solution for injection in pre-filled syringe,,2026-07-03,,,,shortage,Yes,"The company marketing Tegsedi, Akcea Therapeutics Ireland Ltd., is permanently discontinuing the medicine for commercial reasons, in particular low use of the medicine due to the availability of other suitable treatments. The medicine will therefore be unavailable in the EU as of the end of 2026. The discontinuation is not related to a quality defect of the product or a safety issue.","The discontinuation affects all Member States where the product is marketed: Austria, Bulgaria, France, Germany, Greece, Ireland, Italy, Luxembourg, Poland, Portugal, Spain and Sweden. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register, where available, or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/tegsedi,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Mycobutin (rifabutin),,150 mg,,,,,Capsule,,2026-06-30,,Expected to resolve by November 2026,,shortage,"Yes, in some Member States","The company that supplies Mycobutin is experiencing manufacturing issues, as a supplier has stopped production of the starting material rifamycin S, used to produce the active substance rifabutin. This has led to a shortage of Mycobutin. The shortage is not related to a quality defect of the product or a safety issue. The shortage is expected to last until at least November 2026.","The shortage affects all Member States where the product is marketed: Austria, Belgium, Czechia, Finland, Germany, Ireland, Italy, Luxembourg, the Netherlands, Portugal, Spain and Sweden. This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority using the below links.",https://www.ema.europa.eu/en/medicines/human/shortages/mycobutin-rifabutin,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Topamax,topiramate,"25 mg, 50 mg, 100 mg and 200 mg",,,,,Tablet,,2026-06-29,,End of 2026,,shortage,Yes,"The company for Topamax is experiencing manufacturing problems. A routine assessment at a manufacturing site identified the need to modify engineering controls and internal environmental technologies, resulting in a temporary interruption of production. This has led to a shortage of Topamax tablets. The shortage is not related to a quality defect of the product or a safety issue. The shortage is expected to last until the end of 2026.","The shortage affects all Member States where the product is marketed (Austria, Belgium, Croatia, Cyprus, Germany, Hungary, Italy, Netherlands, Portugal, Spain). This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority using the below links.",https://www.ema.europa.eu/en/medicines/human/shortages/topamax,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Salbutamol inhalation products,salbutamol,,,,,,Inhaler;Nebuliser solution,,2024-06-05,,,2026-06-12,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/salbutamol-inhalation-products,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Champix,varenicline,0.5 mg;1 mg,,,N07BA03,Pfizer Europe MA EEIG,Film-coated tablet,,2021-07-08,,June 2025,2026-05-28,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/champix,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,"NovoNordisk insulin (human insulin) (various short-, rapid-, intermediate-, mixed- and long-acting forms)",,100 units/ml,,,,,Solution for injection;Suspension for injection,,2025-10-31,,,2026-05-27,resolved,Yes,The company Novo Nordisk has decided to stop marketing some of its insulins for commercial reasons. This decision is not related to a quality defect or safety issue. The timeline for the discontinuation varies between Member States and discontinuation will take effect before the end of 2026. After this date the listed insulins will no longer be available.,"All Member States where the listed presentations were marketed are affected by the discontinuations and the presentations will no longer be available. In addition, there may be intermittent shortages in some Member States before the discontinuation. For more details, consult your country’s shortage register or contact your national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/novonordisk-insulin-human-insulin-various-short-rapid-intermediate-mixed-long-acting-forms,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Quetiapine,,50 mg;150 mg;200 mg;300 mg;400 mg,,,,,Extended-release tablet,2025-03-11,2025-03-11,,Within the second quarter of 2027,2026-05-04,shortage,Yes,"Several Member States are experiencing an increase in demand for medicines containing extended-release quetiapine. In addition, the manufacturer that supplies this formulation to several companies in the EU has faced a production issue. These events combined have led to a shortage of this medicine in the EU/EEA. The shortage is expected to continue through the second quarter of 2027.","The shortage affects the following countries where the product is marketed:Austria, Belgium, Bulgaria, Croatia, Czechia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Luxembourg, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain and Sweden. This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/quetiapine,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Methotrexate,methotrexate,Various,,,,,Solution for injection,,2023-08-09,,,2026-04-24,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/methotrexate,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Hycamtin,topotecan,0.5 mg;1 mg,,,L01CE01,Sandoz Pharmaceuticals d.d.,"Capsule, hard",,2023-11-07,,,2026-04-24,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/hycamtin,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Menopur,menotropin,1200 IU,,,,,Powder and solvent for solution for injection,,2023-04-05,,End of 2025,2026-04-24,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/menopur,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Perfusion solutions,,,,,,,Intravenous use;Solution for infusion;Irrigation solution,,2025-06-12,,End of 2025,2026-04-24,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/perfusion-solutions,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Moventig,,12.5 mg;25 mg,,,A06AH03,Grunenthal GmbH,,,2025-08-18,,,2026-04-21,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/moventig,2026-09-22T14:49:34.035662
