country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,shortage_start,estimated_end,status,marketing_auth_holder,notes,scraped_at,prk
FI,Finland,FIMEA,Sycrest 10 mg,,,20,444041,N05AH05,2026-09-17,2026-09-30,shortage,N.V. Organon,"Lisätietoja antaa: Organon Finland Oy, Organon Finland Oy, Lääkeinformaatiopalvelu, +358291703520, dpoc.finland@organon.com",2026-09-21T13:18:24.531486,
FI,Finland,FIMEA,Sycrest 10 mg,,,60,144035,N05AH05,2026-08-17,2026-09-30,shortage,N.V. Organon,"Lisätietoja antaa: Organon Finland Oy, Organon Finland Oy, Lääkeinformaatiopalvelu, +358291703520, dpoc.finland@organon.com",2026-09-21T13:18:24.531560,
FI,Finland,FIMEA,Desogestrel Sandoz 75 mikrog,,,3 x 28,595947,G03AC09,2026-06-10,2026-10-01,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-21T13:18:24.531607,56111
FI,Finland,FIMEA,Desogestrel Sandoz 75 mikrog,,,6 x 28,178892,G03AC09,2026-06-16,2026-10-01,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-21T13:18:24.531650,56111
FI,Finland,FIMEA,Enalapril Orion 10 mg,,,100,498529,C09AA02,2026-08-10,2026-11-09,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.531692,21083
FI,Finland,FIMEA,Dicloabak 1 mg/ml,,,10 ml,579309,S01BC03,2026-04-13,2026-10-01,shortage,Laboratoires Thea,"Lisätietoja antaa: Théa Nordic AB, Malin Forssell, +46 70 389 45 00, malin.forssell@theapharma.com",2026-09-21T13:18:24.531737,219789
FI,Finland,FIMEA,Gabapentin Sandoz 600 mg,,,100,522499,N02BF01,2025-09-08,2026-12-31,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-21T13:18:24.531778,57541
FI,Finland,FIMEA,Gabapentin Sandoz 800 mg,,,100,452850,N02BF01,2026-05-04,2026-12-14,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-21T13:18:24.531819,57568
FI,Finland,FIMEA,Zonegran 100 mg,,,98,037709,N03AX15,2026-05-11,2026-10-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.531859,95311
FI,Finland,FIMEA,Quetiapin Ratiopharm 400 mg,,,100,137635,N05AH04,2025-07-07,2027-02-26,shortage,Teva Pharma B.V.,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-21T13:18:24.531899,84212
FI,Finland,FIMEA,Quetiapin Ratiopharm 200 mg,,,100,517693,N05AH04,2026-06-18,2026-11-17,shortage,Teva Pharma B.V.,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-21T13:18:24.531939,50776
FI,Finland,FIMEA,Quetiapin Ratiopharm 300 mg,,,100,477295,N05AH04,2026-08-11,2026-11-17,shortage,Teva Pharma B.V.,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-21T13:18:24.531979,60283
FI,Finland,FIMEA,Apogo Pen 10 mg/ml,,,5 x 3 ml,534964,N04BC07,2026-09-01,2026-12-31,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532020,106380
FI,Finland,FIMEA,Rismyl 0.5 mg,,,20,077385,N05AX08,2026-10-01,2027-05-15,shortage,Viatris Limited,"Lisätietoja antaa: Viatris Oy, Viatris Oy:n asiakasinformaatio, +358207209555, infofi@viatris.com",2026-09-21T13:18:24.532060,56197
FI,Finland,FIMEA,Tolterodine Sandoz 4 mg,,,98,091739,G04BD07,2026-09-10,2026-09-30,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-21T13:18:24.532102,60534
