country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,shortage_start,estimated_end,last_updated,status,marketing_auth_holder,notes,scraped_at,prk
FI,Finland,FIMEA,Dutasteride Krka 0.5 mg,Dutasteride,0.5 mg,"kapseli, pehmeä",90,134078,G04CB02,2026-08-02,2026-10-15,2026-08-27,shortage,KRKA d.d. Novo mesto,"Lisätietoja antaa: KRKA Finland Oy, KRKA Finland Oy, +358207545330, info.fi@krka.biz",2026-09-23T20:59:47.630054,212377
FI,Finland,FIMEA,Moviprep,Ascorbic acid Potassium chloride Macrogol 3350 Sodium ascorbate Sodium chloride Sodium sulphate anhydrous,,jauhe oraaliliuosta varten,1,060133,A06AD65,2026-07-31,2026-10-01,2026-09-15,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-23T20:59:47.630269,83291
FI,Finland,FIMEA,Ezetimib Krka 10 mg,Ezetimibe,10 mg,tabletti,30,183455,C10AX09,2026-05-27,2026-10-22,2026-07-26,shortage,KRKA d.d. Novo mesto,"Lisätietoja antaa: KRKA Finland Oy, KRKA Finland Oy, +358207545330, info.fi@krka.biz",2026-09-23T20:59:47.630423,70645
FI,Finland,FIMEA,Dacarbazine Lipomed 500 mg,Dacarbazine,500 mg,"infuusiokuiva-aine, liuosta varten",500 mg,372515,L01AX04,2025-10-06,2027-01-31,2025-12-21,shortage,Lipomed GmbH,"Lisätietoja antaa: Kurantis ApS, Tanja Breum Nielsen, +4526524288, tbn@kurantis.com",2026-09-23T20:59:47.630560,51160
FI,Finland,FIMEA,Solifenacin Stada 10 mg,Solifenacin succinate,10 mg,"tabletti, kalvopäällysteinen",30,460831,G04BD08,2026-07-15,2026-09-30,2026-05-14,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.630698,75345
FI,Finland,FIMEA,Vardenafil Stada 10 mg,Vardenafil hydrochloride trihydrate,10 mg,"tabletti, kalvopäällysteinen",12,512511,G04BE09,2026-05-28,2026-10-31,2026-05-27,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.630836,69205
FI,Finland,FIMEA,Vardenafil Stada 10 mg,Vardenafil hydrochloride trihydrate,10 mg,"tabletti, kalvopäällysteinen",4,183374,G04BE09,2025-03-27,2026-10-31,2026-03-10,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.630974,69205
FI,Finland,FIMEA,Sunitinib Ratiopharm 12.5 mg,Sunitinib,12.5 mg,"kapseli, kova",28,572402,L01EX01,2025-12-11,2026-12-31,2026-08-31,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Jyrki Hakkarainen, +358405626437, jyrki.hakkarainen@tevapharm.com",2026-09-23T20:59:47.631105,214191
FI,Finland,FIMEA,Ibuxin 400 mg,Ibuprofen,400 mg,jauhe,20,446238,M01AE01,2026-09-18,2026-11-17,2026-09-17,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.631240,27278
FI,Finland,FIMEA,Quetiapine Accord 150 mg,Quetiapine fumarate,150 mg,depottabletti,30,481017,N05AH04,2024-10-24,2026-09-30,2026-06-28,shortage,Accord Healthcare B.V.,"Lisätietoja antaa: Accord Healthcare Oy, Accord Healthcare Oy, +358 10 2314180, asiakaspalvelu@accord-healthcare.com",2026-09-23T20:59:47.631372,94757
