country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Lansoprazole 15mg and 30mg orodispersible tablets,,,orodispersible tablets,,MSN/2026/044,,,2026-09-07,,early January 2027,,shortage,Tier 2 - medium impact,,2026-09-09,https://cpe.org.uk/our-news/medicine-supply-notification-lansoprazole-15mg-and-30mg-orodispersible-tablets/,2026-09-22T14:33:40.098296
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Ramipril 1.25mg, 2.5mg, 5mg and 10mg capsules",,,capsules,,MSN/2026/043,,,2026-09-07,,the end of October 2026,,shortage,Tier 2 - medium impact,,2026-09-07,https://cpe.org.uk/our-news/medicine-supply-notification-ramipril-1-25mg-2-5mg-5mg-and-10mg-capsules/,2026-09-22T14:33:40.100632
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Edoxaban (Lixiana®) 15mg tablets,,,tablets,,MSN/2026/042,,,2026-09-01,,,,shortage,Tier 2 - medium impact,,2026-09-01,https://cpe.org.uk/our-news/medicine-supply-notification-edoxaban-lixiana-15mg-tablets/,2026-09-22T14:33:40.101721
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Methylprednisolone (Medrone®) 100mg tablets,,,tablets,,MSN/2026/041,,,2026-09-01,,,,shortage,Tier 2 - medium impact,,2026-09-01,https://cpe.org.uk/our-news/medicine-supply-notification-methylprednisolone-medrone-100mg-tablets/,2026-09-22T14:33:40.102798
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Venlafaxine 75mg immediate-release tablets,,,tablets,,MSN/2026/040,,,2026-08-26,,November 2026,,shortage,Tier 2 - medium impact,,2026-08-26,https://cpe.org.uk/our-news/medicine-supply-notification-venlafaxine-75mg-immediate-release-tablets/,2026-09-22T14:33:40.103327
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Formoterol fumarate dihydrate (Atimos Modulite®) 12micrograms/dose inhaler,,,inhaler,,MSN/2026/039,,,2026-08-25,,,,shortage,Tier 2 - medium impact,,2026-08-25,https://cpe.org.uk/our-news/medicine-supply-notification-formoterol-fumarate-dihydrate-atimos-modulite-12micrograms-dose-inhaler/,2026-09-22T14:33:40.103858
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Beclometasone dipropionate (Clenil Modulite®) 50micrograms/dose and 250 micrograms/dose inhalers,,,inhaler,,MSN/2026/038,,,2026-08-25,,,,shortage,Tier 2 - medium impact,,2026-08-25,https://cpe.org.uk/our-news/medicine-supply-notification-beclometasone-dipropionate-clenil-modulite-50micrograms-dose-and-250-micrograms-dose-inhalers/,2026-09-22T14:33:40.104352
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Moviprep® and Plenvu® oral powder sachets,,,oral powder sachets,,MSN/2026/037,,,2026-08-25,,January 2027,,shortage,Tier 2 - medium impact,,2026-08-25,https://cpe.org.uk/our-news/medicine-supply-notification-moviprep-and-plenvu-oral-powder-sachets/,2026-09-22T14:33:40.104830
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Quetiapine 50mg, 150mg, 200mg, 300mg and 400mg modified-release tablets",,,modified-release tablets,,MSN/2025/006,,,2025-02-10,,,,shortage,Tier 2 - medium impact,,2026-08-13,https://cpe.org.uk/our-news/medicine-supply-notification-quetiapine-50mg-150mg-200mg-300mg-and-400mg-modified-release-tablets/,2026-09-22T14:33:40.105500
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Voltarol® Ophtha and Voltarol® Ophtha Multidose eye drops,,,eye drops,,MSN/2026/034,,,2026-07-30,,,,shortage,Tier 2 - medium impact,,2026-07-30,https://cpe.org.uk/our-news/medicine-supply-notification-voltarol-ophtha-and-voltarol-ophtha-multidose-eye-drops/,2026-09-22T14:33:40.289372
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Nifedipine 10mg, 20mg, 30mg and 60mg modified-release tablets",,,modified-release tablets,,MSN/2026/033,,,2026-07-23,,November 2026,,shortage,Tier 2 - medium impact,,2026-07-23,https://cpe.org.uk/our-news/medicine-supply-notification-nifedipine-10mg-20mg-30mg-and-60mg-modified-release-tablets/,2026-09-22T14:33:40.290187
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Nabilone 1mg capsules,,,capsules,,MSN/2026/032,,,2026-07-14,,,,shortage,Tier 2 - medium impact,,2026-07-14,https://cpe.org.uk/our-news/medicine-supply-notification-nabilone-1mg-capsules/,2026-09-22T14:33:40.291081
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Latanoprost 50micrograms/ml / Timolol 5mg/ml (Fixapost®) eye drops 0.2ml unit dose preservative free,,,eye drops,,MSN/2026/031,,,2026-07-09,,January 2027,,shortage,Tier 2 - medium impact,,2026-07-09,https://cpe.org.uk/our-news/medicine-supply-notification-latanoprost-50micrograms-ml-timolol-5mg-ml-fixapost-eye-drops-0-2ml-unit-dose-preservative-free-2/,2026-09-22T14:33:40.291793
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Sodium valproate (Epilim Chronosphere® ) 50mg, 250mg, and 500mg modified-release granules sachets sugar free",,,sachets,,MSN/2026/030,,,2026-07-07,,late August 2026,,shortage,Tier 2 - medium impact,,2026-07-07,https://cpe.org.uk/our-news/medicine-supply-notification-sodium-valproate-epilim-chronosphere-50mg-250mg-and-500mg-modified-release-granules-sachets-sugar-free/,2026-09-22T14:33:40.292424
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Oxcarbazepine 150mg tablets (Viatris),,,tablets,,MSN/2026/029,,,2026-07-03,,,,shortage,Tier 2 - medium impact,,2026-07-03,https://cpe.org.uk/our-news/medicine-supply-notification-oxcarbazepine-150mg-tablets-viatris/,2026-09-22T14:33:40.293158
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Disopyramide (Rythmodan® ) 100mg capsules and disopyramide (Rythmodan Retard® ) 250mg modified-release tablets,,,modified-release tablets,,MSN/2026/028,,,2026-06-22,,early April 2027,,shortage,Tier 2 - medium impact,,2026-06-22,https://cpe.org.uk/our-news/medicine-supply-notification-disopyramide-rythmodan-100mg-capsules-and-disopyramide-rythmodan-retard-250mg-modified-release-tablets/,2026-09-22T14:33:40.294097
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Propafenone (Arythmol® ) 150mg tablets,,,tablets,,MSN/2026/027,,,2026-06-22,,late July 2026,,shortage,Tier 2 - medium impact,,2026-06-22,https://cpe.org.uk/our-news/medicine-supply-notification-propafenone-arythmol-150mg-tablets-2/,2026-09-22T14:33:40.294658
