country_code,country_name,source,product_no,medicine_name,atc_code,active_substance,package_size,strength,marketing_auth_holder,shortage_start,estimated_end,reason,notes,status,scraped_at,prk
GR,Greece,EOF,2801961802010,SALOFALK REC.SUS 4G/SINGLE DOSE BT X 7 FL X 60 ML,A07EC02,MESALAZINE,,,GALENICA ΑΕ,2026-09-04,2026-11-02,Καθυστέρηση παράδοσης,Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής και μορφής,shortage,2026-09-23T20:59:50.657974,24562
GR,Greece,EOF,2801961812040,SALOFALK GRANU-STIX PR.GRAN 3G/SACHET BTx30 (Sachets Polyester/Alu/PE),A07EC02,MESALAZINE,,,GALENICA ΑΕ,2026-10-30,2026-11-30,Προβλήματα στην παραγωγική διαδικασία,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, ίδιας ή/και διαφορετικής μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:50.657989,98353
GR,Greece,EOF,2802345701035,XENICAL CAPS 120MG/CAP BTX84(BLISTERS),A08AB01,ORLISTAT,,,"CHEPLAPHARM ARZNEIMITTEL GMBH, GREIFSWALD, GERMANY",2026-09-01,2026-10-15,Καθυστέρηση παράδοσης,,shortage,2026-09-23T20:59:50.657998,51535
GR,Greece,EOF,2802694103030,DIALOSA TABLET 3MG/TAB BTx 30 σε BLISTER PVC/ALUMINIUM,A10BB12,GLIMEPIRIDE,,,PHARMAPATH ABEE,2026-02-10,2026-10-15,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:50.658006,44458
GR,Greece,EOF,2802694104037,DIALOSA TABLET 4MG/TAB BTx 30 σε BLISTER PVC/ALUMINIUM,A10BB12,GLIMEPIRIDE,,,PHARMAPATH ABEE,2026-09-01,2026-10-31,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:50.658013,44466
GR,Greece,EOF,2803256102034,SITAGLIPTIN+METFORMIN/PHARMAZAC F.C.TAB (50+1000)MG/TAB BT X 56 TABS ΣΕ PVC/PE/PVDC//ALU BLISTERS,A10BD07,"SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE, METFORMIN HYDROCHLORIDE",,,PHARMAZAC AE,2025-08-26,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",shortage,2026-09-23T20:59:50.658020,218154
GR,Greece,EOF,2803256101037,SITAGLIPTIN+METFORMIN/PHARMAZAC F.C.TAB (50+850)MG/TAB BT X 56 TABS ΣΕ PVC/PE/PVDC//ALU BLISTERS,A10BD07,"SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE, METFORMIN HYDROCHLORIDE",,,PHARMAZAC AE,2024-11-13,2026-09-30,Προβλήματα στην παραγωγική διαδικασία,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",shortage,2026-09-23T20:59:50.658027,218162
GR,Greece,EOF,2803226102026,VEDFA® F.C.TAB (50+1000)MG/TAB BT X 60 TABS (ΣΕ BLISTER PVC/PCTFE TRASPARENT-ALU),A10BD08,"VILDAGLIPTIN, METFORMIN HYDROCHLORIDE",,,ΦΑΡΜΑΤΕΝ ΑΒΕΕ,2025-12-16,2026-09-30,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",shortage,2026-09-23T20:59:50.658034,85952
GR,Greece,EOF,2803226101029,VEDFA® F.C.TAB (50+850)MG/TAB BT X 60 TABS (ΣΕ BLISTER PVC/PCTFE TRASPARENT-ALU),A10BD08,"VILDAGLIPTIN, METFORMIN HYDROCHLORIDE",,,ΦΑΡΜΑΤΕΝ ΑΒΕΕ,2025-06-30,2026-09-30,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",shortage,2026-09-23T20:59:50.658083,85960
GR,Greece,EOF,2800194302021,"SOPALAMIN-3B F.C.TAB (250+125+0,250)MG/TAB BTx30 (BLIST 3x10)",A11DB,"THIAMINE HYDROCHLORIDE, PYRIDOXINE HYDROCHLORIDE, CYANOCOBALAMINE",,,IASIS PHARMA,2026-07-02,2026-09-30,Προβλήματα στην παραγωγική διαδικασία,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:50.658095,
GR,Greece,EOF,2802233901059,CALCIORAL CHW.TAB 500MG/TAB FL x 60 (σε πλαστικό φιαλίδιο),A12AA04,CALCIUM CARBONATE,,,"CHEPLAPHARM ARZNEIMITTEL GMBH, GREIFSWALD, GERMANY",2026-07-24,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:50.658103,39632
GR,Greece,EOF,2802237102032,"CALCIFORM EF.TAB 1,25(0,5)G/TAB BTx60 (3 Σωληνάρια x 20)",A12AA04,CALCIUM CARBONATE,,,IASIS PHARMA,2026-07-31,2026-10-31,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:50.658110,27812
GR,Greece,EOF,2802859001010,CALCIFORM D3/IASIS EF.TAB (1000MG+880 IU)/TAB BTx30 (TUB3x10),A12AX,"CALCIUM CARBONATE, CHOLECALCIFEROL",,,IASIS PHARMA,2026-07-31,2026-10-31,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής, ίδιων ή/και διαφορετικών περιεκτικοτήτων",shortage,2026-09-23T20:59:50.658116,
GR,Greece,EOF,2803195701022,OVERMAG® ORAL.SOL 324.43(24.3Mg++)MG/ML BTx1 bottle,,νM)xA2G0N0E.0SmIUlM,,,PROMOPHARMA A.E./PROMOPHARMA S.A.,2025-12-15,2027-08-31,Προβλήματα στην παραγωγική διαδικασία,"Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής, αλλά διαφορετικής μορφής",shortage,2026-09-23T20:59:50.658123,
