country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at
HU,Hungary,OGYEI,ABELCET LIPID KOMPLEX 5 mg/ml koncentrátum diszperziós infúzióhoz,amphotericin B,,10 X 20 ml injekciós üvegben,OGYI-T-06918/01,J02AA01,Teva Gyógyszergyár Zrt.,2022-02-09,,shortage,"Hatóanyag, vagy egyéb alapanyag ellátási probléma","Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.064200
HU,Hungary,OGYEI,ABIRATERONE QILU 250 mg tabletta,abiraterone acetate,,120 X   - HDPE tartályban,OGYI-T-24062/01,L02BX03,Qilu Pharma Spain S.L.,2024-11-19,2025-12-31,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-03-13T23:10:54.064200
HU,Hungary,OGYEI,ACC 20 mg/ml belsõleges oldat,acetylcysteine,,1 X 200 ml üvegben,OGYI-T-02021/15,R05CB01,Sandoz Hungária Kft.,2018-09-04,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.064200
HU,Hungary,OGYEI,ACC HOT 600 mg por belsõleges oldathoz,acetylcysteine,,10 X   - tasakban,OGYI-T-02021/18,R05CB01,Sandoz Hungária Kft.,2025-11-27,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-03-13T23:10:54.064200
HU,Hungary,OGYEI,ACC LONG 600 mg pezsgõtabletta,acetylcysteine,,12 X   - tasakban,OGYI-T-02021/22,R05CB01,Sandoz Hungária Kft.,2020-09-30,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.064200
HU,Hungary,OGYEI,ACEPRAMIN granulátum,aminocaproic acid,,1 X 240 g tasakban,OGYI-T-03346/01,B02AA01,PannonPharma Kft.,2025-11-28,2026-03-31,shortage,"Hatóanyag, vagy egyéb alapanyag ellátási probléma",Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.064200
HU,Hungary,OGYEI,ACICLOVIR NORIDEM 250 mg por oldatos infúzióhoz,aciclovir,,5 X   - injekciós üvegben,OGYI-T-24171/02,J05AB01,Noridem Enterprises Ltd,2024-12-18,,shortage,Gyártási gond,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.065199
HU,Hungary,OGYEI,ACICLOVIR ROMPHARM 250 mg por oldatos infúzióhoz,aciclovir,,1 X   - injekciós üvegben,OGYI-T-24435/01,J05AB01,S.C. Rompharm Company S.R.L.,2025-01-22,,shortage,Gyártási gond,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.065199
HU,Hungary,OGYEI,ACIDA 20 mg gyomornedv-ellenálló tabletta,pantoprazole,,14 X   - buborékcsomagolásban,OGYI-T-21209/02,A02BC02,"Zentiva, k.s.",2026-03-05,2026-03-23,shortage,Gyártási gond,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.065199
HU,Hungary,OGYEI,ACIDA 20 mg gyomornedv-ellenálló tabletta,pantoprazole,,7 X   - buborékcsomagolásban,OGYI-T-21209/01,A02BC02,"Zentiva, k.s.",2014-02-19,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-03-13T23:10:54.065199
