country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,status,alert_type,shortage_start,estimated_end,release_date,pdf_url,scraped_at
IN,India,CDSCO,Availability of Not Standard Quality (NSQ) Alert on New Link in CDSCO Website,,,,,NSQ,Central NSQ Alert,,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTMyNDU=,2026-03-19T19:42:26.644345
IN,India,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF June 2025,,,,,NSQ,Central NSQ Alert,2025-06-01,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI5Mjc=,2026-03-19T19:42:26.644345
IN,India,CDSCO,STATE NSQ ALERT FOR THE MONTH OF June 2025,,,,,NSQ,State NSQ Alert,2025-06-01,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI5MjY=,2026-03-19T19:42:26.644345
IN,India,CDSCO,NSQ ALERT FOR THE MONTH OF MAY-2025,,,,,NSQ,Central NSQ Alert,2025-05-01,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI4NDc=,2026-03-19T19:42:26.644345
IN,India,CDSCO,STATE NSQ ALERT FOR THE MONTH OF MAY-2025,,,,,NSQ,State NSQ Alert,2025-05-01,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI4NDY=,2026-03-19T19:42:26.652437
IN,India,CDSCO,Not Of Standard of Quality (NSQ) ALERT FOR THE MONTH OF April-2025,,,,,NSQ,Central NSQ Alert,2025-04-01,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI3Mzg=,2026-03-19T19:42:26.652437
IN,India,CDSCO,"List of Drugs, Medical Devices, Vaccine and Cosmetics declared as Not of Standard Quality/Spurious/Adulterated/Misbranded for the Month of Januaryâ 2025 Revised",,,,,NSQ,Central NSQ Alert,,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI3Mzc=,2026-03-19T19:42:26.652437
IN,India,CDSCO,State NSQ Alert For The Month April-2025,,,,,NSQ,State NSQ Alert,2025-04-01,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI3Mzk=,2026-03-19T19:42:26.652437
IN,India,CDSCO,NOT OF STANDARD QUALITY (NSQ) ALERT FOR THE MONTH OF MARCH-2025,,,,,NSQ,Central NSQ Alert,2025-03-01,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI2Njk=,2026-03-19T19:42:26.652437
IN,India,CDSCO,State NSQ Alert For The Month March-2025,,,,,NSQ,State NSQ Alert,2025-03-01,,,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTI2Njg=,2026-03-19T19:42:26.652437
