country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,product_no,atc_code,marketing_auth_holder,agent,shortage_start,estimated_end,notified_date,status,recommendations,scraped_at
IS,Iceland,Lyfjastofnun,Klexane,Enoxaparinum natricum INN,áfyllt sprauta 100 mg/ml,1 ml,"Stungulyf, lausn",374603,B01AB05,Sanofi-aventis Norge AS,Vistor hf,2026-03-12,2026-03-12,2026-02-26,resolved,"Stuttur skortur á heildsölustigi, ólíklegt að skortur hafi áhrif á lyfjanotendur.",2026-03-12T16:36:17.137457
IS,Iceland,Lyfjastofnun,Revlimid,Lenalidomidum INN,5 mg,21 stk.,Hart hylki,096488,L04AX04,Bristol-Myers Squibb Pharma EEIG*,Vistor hf,2026-03-12,2026-05-01,2026-03-11,shortage,Samheitalyf er á markaði / fáanlegt.,2026-03-12T16:36:17.140410
IS,Iceland,Lyfjastofnun,Praluent,Alirocumabum INN,150 mg,1 ml,"Stungulyf, lausn í áfylltum lyfjapenna",556694,C10AX14,Sanofi Winthrop Industrie,Vistor hf,2026-03-12,2026-03-12,2026-02-05,resolved,Aðrar pakkningastærðir eru á markaði / fáanlegar.,2026-03-12T16:36:17.144448
IS,Iceland,Lyfjastofnun,Vedrop,Tocofersolanum INN,50 mg/ml,60 ml,"Mixtúra, lausn",124141,A11HA08,Recordati Rare Diseases*,Recordati AB*,2026-03-12,2026-03-12,2026-02-16,resolved,"Stuttur skortur á heildsölustigi, ólíklegt að skortur hafi áhrif á lyfjanotendur.",2026-03-12T16:36:17.148409
IS,Iceland,Lyfjastofnun,Revlimid,Lenalidomidum INN,25 mg,21 stk.,Hart hylki,096515,L04AX04,Bristol-Myers Squibb Pharma EEIG*,Vistor hf,2026-03-12,2026-05-01,2026-03-11,shortage,Samheitalyf er á markaði / fáanlegt.,2026-03-12T16:36:17.151410
IS,Iceland,Lyfjastofnun,Revlimid,Lenalidomidum INN,15 mg,21 stk.,Hart hylki,096506,L04AX04,Bristol-Myers Squibb Pharma EEIG*,Vistor hf,2026-03-12,2026-05-01,2026-03-11,shortage,Samheitalyf er á markaði / fáanlegt.,2026-03-12T16:36:17.154409
IS,Iceland,Lyfjastofnun,Revlimid,Lenalidomidum INN,"2,5 mg",21 stk.,Hart hylki,540958,L04AX04,Bristol-Myers Squibb Pharma EEIG*,Vistor hf,2026-03-12,2026-05-01,2026-03-11,shortage,Til skoðunar.,2026-03-12T16:36:17.158409
IS,Iceland,Lyfjastofnun,Bloxazoc,Metoprololum INN súkkínat,25 mg,100 stk.,Forðatafla,500402,C07AB02,KRKA d.d. Novo mesto,,2026-03-12,2026-03-12,2026-02-16,resolved,Samheitalyf er á markaði / fáanlegt.,2026-03-12T16:36:17.161448
IS,Iceland,Lyfjastofnun,Nicorette Invisi,Nicotinum INN,15 mg/16 klst.,14 stk.,Forðaplástur,065729,N07BA01,McNeil Denmark ApS,Vistor hf,2026-03-12,2026-03-12,2026-01-26,resolved,Aðrar pakkningastærðir eru á markaði / fáanlegar.,2026-03-12T16:36:17.164446
IS,Iceland,Lyfjastofnun,ABILIFY,Aripiprazolum INN,15 mg,28 stk.,Tafla,010953,N05AX12,Otsuka Pharmaceutical Netherlands B.V.*,Vistor hf,2026-03-12,2026-03-12,2026-02-28,resolved,Aðrir styrkleikar eru á markaði / fáanlegir.,2026-03-12T16:36:17.164446
IS,Iceland,Lyfjastofnun,CYSTADROPS,Mercaptaminum INN bítartrat,"3,8 mg/ml",5 ml,"Augndropar, lausn",161981,S01XA21,Recordati Rare Diseases*,Recordati AB*,2026-03-12,2026-03-12,2026-03-04,resolved,"Stuttur skortur á heildsölustigi, ólíklegt að skortur hafi áhrif á lyfjanotendur.",2026-03-12T16:36:17.164446
IS,Iceland,Lyfjastofnun,Braftovi,Encorafenibum INN,75 mg,42 x 1 stk.,Hart hylki,421014,L01EC03,Pierre Fabre Medicament,,2026-03-12,2026-03-12,2025-12-20,resolved,.,2026-03-12T16:36:17.164446
IS,Iceland,Lyfjastofnun,Revlimid,Lenalidomidum INN,10 mg,21 stk.,Hart hylki,096497,L04AX04,Bristol-Myers Squibb Pharma EEIG*,Vistor hf,2026-03-12,2026-05-01,2026-03-11,shortage,Samheitalyf er á markaði / fáanlegt.,2026-03-12T16:36:17.164446
IS,Iceland,Lyfjastofnun,Voltaren Forte,Diclofenacum INN tvíetýlamín,"23,2 mg/g",30 g,Hlaup,523195,M02AA15,Haleon Denmark ApS,Artasan ehf,2026-03-12,2026-03-12,2026-02-20,resolved,Aðrar pakkningastærðir eru á markaði / fáanlegar.,2026-03-12T16:36:17.180477
IS,Iceland,Lyfjastofnun,Flutiform,"Fluticasonum INN própíónat, Formoterolum INN fúmarat",50 míkróg/5 míkróg,120 skammtar,"Innúðalyf, dreifa",104856,R03AK11,Mundipharma A/S,Icepharma hf.*,2026-03-12,2026-03-20,2026-02-09,shortage,Aðrir styrkleikar eru á markaði / fáanlegir.,2026-03-12T16:36:17.180477
IS,Iceland,Lyfjastofnun,Nicotinell IceMint,NICOTINE POLACRILEX,4 mg,204 stk.,Lyfjatyggigúmmí,501735,N07BA01,Dr. Reddy's Netherlands B.V.,,2026-03-12,2026-03-12,2026-03-05,resolved,Aðrir styrkleikar eru á markaði / fáanlegir.,2026-03-12T16:36:17.180477
IS,Iceland,Lyfjastofnun,Trileptal,Oxcarbazepinum INN,60 mg/ml,250 ml,"Mixtúra, dreifa",004014,N03AF02,Novartis Healthcare A/S,Vistor hf,2026-03-12,2026-03-12,2026-03-04,resolved,"Stuttur skortur á heildsölustigi, ólíklegt að skortur hafi áhrif á lyfjanotendur.",2026-03-12T16:36:17.180477
IS,Iceland,Lyfjastofnun,Oxis Turbuhaler,Formoterolum INN fúmarat,"4,5 míkrog/skammt",60 skammtar,Innöndunarduft,055968,R03AC13,AstraZeneca A/S,Vistor hf,2026-03-12,2026-03-12,2026-01-27,resolved,Aðrir styrkleikar eru á markaði / fáanlegir.,2026-03-12T16:36:17.196617
IS,Iceland,Lyfjastofnun,Hydroxyurea medac,Hydroxycarbamidum INN,500 mg,100 stk.,Hart hylki,464545,L01XX05,medac Gesellschaft für klinische Spezialpräparate GmbH,,2026-03-12,2026-03-12,2026-02-21,resolved,"Stuttur skortur á heildsölustigi, ólíklegt að skortur hafi áhrif á lyfjanotendur.",2026-03-12T16:36:17.196617
