country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at
IT,Italy,AIFA,ABACAVIR E LAMIVUDINA SUN,ABACAVIR + LAMIVUDINE,"""600 MG/300 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER PVC/PA/AL",,J05AF06,45348036,2025-07-28,,shortage - end date unknown,Problemi produttivi,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:51.853292
IT,Italy,AIFA,ABACAVIR/LAMIVUDINA/ZIDOVUDINA MYLAN,ABACAVIR SOLFATO + LAMIVUDINA + ZIDOVUDINA,"""300MG/150MG/300MG COMPRESSE RIVESTITE CON FILM"" 60X1 COMPRESSE IN BLISTER PVC/ACLAR/AL",,J05AF06,42645046,2026-03-01,,shortage - end date unknown,Problemi produttivi,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:51.853292
IT,Italy,AIFA,ABEVMY,BEVACIZUMAB,25 MG / ML - CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONCINO (VETRO) 16 ML - 1 FLACONCINO,,L01FG01,49452030,2025-12-01,2026-04-01,shortage,Problemi produttivi,Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero,2026-03-12T15:53:51.853292
IT,Italy,AIFA,ABEVMY,BEVACIZUMAB,25 MG / ML - CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONCINO (VETRO) 4 ML - 1 FLACONCINO,,L01FG01,49452016,2025-12-19,2026-04-01,shortage,Problemi produttivi,Rilasciata determinazione per limportazione al titolare A.I.C.,2026-03-12T15:53:51.853292
IT,Italy,AIFA,ABIMONO,ISOCONAZOLO NITRATO,"""1% CREMA VAGINALE"" 1 TUBO DA 30 G + 6 APPLICATORI MONOUSO",,,25358045,2019-02-01,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:51.855301
IT,Italy,AIFA,ABIOCLAV,ACIDO CLAVULANICO + AMOXICILLINA,""" 875 MG + 125 MG COMPRESSE RIVESTITE CON FILM "" 12 COMPRESSE IN BLISTER AL/PE",,J01CA04,37350016,2025-06-01,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:51.855301
IT,Italy,AIFA,ABIRATERONE ACCORD,ABIRATERONE,500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALL) - 56 X 1 COMPRESSE (DOSE UNITARIA),,L02BX03,49479025,2026-01-26,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:51.855301
IT,Italy,AIFA,ABIRATERONE EG,ABIRATERONE ACETATO,"""500 MG COMPRESSE RIVESTITE CON FILM"" 56X1 COMPRESSE IN BLISTER DIVISIBILE PER DOSE UNITARIA AL-PVC/PE/PVDC",,L02BX03,49475344,2023-01-26,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:51.855301
IT,Italy,AIFA,ABIRATERONE MYLAN,ABIRATERONE ACETATO,500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU-PVC/PE/PVDC) - 56 COMPRESSE,,L02BX03,49686052,2024-06-30,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:51.855301
IT,Italy,AIFA,ABIRATERONE SUN,ABIRATERONE ACETATO,"""500 mg COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVDC/PE/PVC/AL",,L02BX03,50293012,2025-03-20,,shortage - end date unknown,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:51.855301
