country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
IT,Italy,AIFA,ABACAVIR E LAMIVUDINA SUN,ABACAVIR + LAMIVUDINE,"""600 MG/300 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER PVC/PA/AL",,45348036,2025-07-28,,shortage - end date unknown,Problemi produttivi,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-09-21T13:18:35.061922,,
IT,Italy,AIFA,ABIOCLAV,ACIDO CLAVULANICO + AMOXICILLINA,""" 875 MG + 125 MG COMPRESSE RIVESTITE CON FILM "" 12 COMPRESSE IN BLISTER AL/PE",,37350016,2025-06-01,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.061980,,
IT,Italy,AIFA,ABIRATERONE SUN,ABIRATERONE ACETATO,"""500 mg COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVDC/PE/PVC/AL",,50293012,2025-03-20,,shortage - end date unknown,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062017,L02BX03,136913
IT,Italy,AIFA,ACARBOSIO AUROBINDO,ACARBOSIO,"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC/AL",,47612027,2026-08-17,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062050,A10BF01,31453
IT,Italy,AIFA,ACCOFIL,FILGRASTIM,"30 MU/0,5 ML SOLUZIONE PER INIEZIONE/INFUSIONE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON AGO DI SICUREZZA 0,5ML -1 SIRINGA PRERIEMPITA",,43615057,2026-08-27,,shortage - end date unknown,Problemi produttivi: ridotta disponibilità,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-09-21T13:18:35.062081,L03AA02,41831
IT,Italy,AIFA,ACECLOFENAC ACCORD,ACECLOFENAC,"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE IN BLISTER AL-AL",,42403042,2026-03-31,,shortage - end date unknown,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062108,M01AB16,49522
IT,Italy,AIFA,ACECLOFENAC EG,ACECLOFENAC,"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE IN BLISTER AL/AL",,43259035,2026-06-01,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062134,M01AB16,49522
IT,Italy,AIFA,ACETILCISTEINA EG,ACETILCISTEINA,"""300 MG/3 ML SOLUZIONE INIETTABILE E DA NEBULIZZARE"" 5 FIALE",,34821037,2026-03-31,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062159,R05CB01,
IT,Italy,AIFA,ACICLOVIR PENSA PHARMA,ACICLOVIR,"""800 mg COMPRESSE"" 35 COMPRESSE IN BLISTER AL/PVC",,50312038,2026-08-01,2026-12-31,shortage,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062192,D06BB03,26867
IT,Italy,AIFA,ACICLOVIR PENSA PHARMA,ACICLOVIR,"""400 mg COMPRESSE"" 25 COMPRESSE IN BLISTER AL/PVC",,50312026,2026-08-01,2026-12-31,shortage,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062224,D06BB03,26417
IT,Italy,AIFA,ACICLOVIR ZENTIVA,ACICLOVIR,"""800 MG COMPRESSE"" 35 COMPRESSE IN BLISTER PVC/AL",,46277063,2026-09-21,,shortage - end date unknown,Elevata richiesta/problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062248,D06BB03,
IT,Italy,AIFA,ACICLOVIR ZENTIVA,ACICLOVIR,"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL",,46277036,2026-06-30,,shortage - end date unknown,Elevata richiesta/problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062273,D06BB03,26417
IT,Italy,AIFA,ACIDO ACETILSALICILICO PANPHARMA,LISINA ACETILSALICILATO,"""1  g/5  ml  polvere  e  solvente  per  soluzione iniettabile» 6 flaconcini in vetro di polvere da 1 g  +  6  fiale  in vetro di solvente da 5 ml.",,22620191,2022-09-07,,shortage - end date unknown,Problemi produttivi,Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero,2026-09-21T13:18:35.062297,B01AC06,
IT,Italy,AIFA,ACIDO ACETILSALICILICO ZENTIVA ITALIA,ACIDO ACETILSALICILICO,"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL",,49648013,2024-01-31,,shortage - end date unknown,Problemi produttivi: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062322,B01AC06,3956
IT,Italy,AIFA,ACIDO ALENDRONICO E COLECALCIFEROLO AUROBINDO,ALENDRONIC ACID,"""70 MG /2800 U. I. COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL",,44670014,2023-01-31,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062346,M05BA04,
IT,Italy,AIFA,ACIDO ALENDRONICO E COLECALCIFEROLO AUROBINDO,ALENDRONIC ACID,"""70 MG /5600 U. I. COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL",,44670026,2023-01-31,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062370,M05BA04,
IT,Italy,AIFA,ACIDO IBANDRONICO ACCORD,ACIDO IBANDRONICO,3 MG - SOLUZIONE INIETTABILE - USO ENDOVENOSO -SIRINGA PRERIEMPITA  (VETRO) 3ML-  1 SIRINGA PRERIEMPITA + 1 AGO PER INIEZIONE,,42505053,2026-07-28,,shortage - end date unknown,Problemi produttivi,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-09-21T13:18:35.062393,M05BA06,
IT,Italy,AIFA,ACIDO IBANDRONICO ALTER,ACIDO IBANDRONICO,"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PA/AL/PVC-AL",,40658015,2025-11-23,,shortage - end date unknown,Elevata richiesta/problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062418,M05BA06,
IT,Italy,AIFA,ACIDO IBANDRONICO MYLAN,IBANDRONATO SODICO MONOIDRATO,"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER OPA-AL-PVC/AL",,40655019,2024-12-09,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062442,M05BX04,
IT,Italy,AIFA,ACIDO IBANDRONICO SANDOZ,ACIDO IBANDRONICO,"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PA/AL/PVC-AL/AL",,40191013,2025-07-24,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062466,M05BA06,
IT,Italy,AIFA,ACIDO IBANDRONICO ZENTIVA,ACIDO IBANDRONICO,"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PVC/PVDC/AL",,40007041,2022-11-30,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062491,M05BA06,
IT,Italy,AIFA,ACIDO MICOFENOLICO ACCORD,ACIDO MICOFENOLICO,"""360 MG COMPRESSE GASTRORESISTENTI"" 50 COMPRESSE IN BLISTER AL/AL",,43305061,2026-04-24,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062515,L04AA06,
IT,Italy,AIFA,ACIDO MICOFENOLICO ACCORD,ACIDO MICOFENOLICO,"""180 MG COMPRESSE GASTRORESISTENTI"" 100 COMPRESSE IN BLISTER AL/AL",,43305034,2026-07-21,,shortage - end date unknown,Problemi regolatori,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-09-21T13:18:35.062538,L04AA06,
IT,Italy,AIFA,ACIDO SALICILICO NA,ACIDO SALICILICO,"""5% UNGUENTO"" TUBO 30 G",,30578025,2026-04-20,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.062562,M02AA03,
