country_code,country_name,source,medicine_name,active_substance,strength,package_size,shortage_start,last_updated,estimated_end,status,scraped_at,drug_category,therapeutic_class,yj_code,manufacturer,product_type,shipment_status,shipment_status_jp,shortage_reason,shortage_reason_jp,resolution_prospect,output_status,output_status_jp,is_new,atc_code,prk
JP,Japan,MHLW,ポララミン散１％,ｄ－クロルフェニラミンマレイン酸塩,１％１ｇ,,2026-08-26,2026-08-26,,limited,2026-09-23T21:00:01.918628,1：内用薬,抗ヒスタミン剤,4419002B1033,高田製薬,5：その他医薬品,limited_shipment_own_reasons,②限定出荷（自社の事情）,other,８．その他の理由,ウ. 未定,output_decreased,B．出荷量減少,False,R06AB02,
JP,Japan,MHLW,ｄ－クロルフェニラミンマレイン酸塩シロップ０．０４％「ツルハラ」,ｄ－クロルフェニラミンマレイン酸塩,０．０４％１０ｍＬ,,2025-04-16,2025-04-16,,shortage,2026-09-23T21:00:01.918746,1：内用薬,抗ヒスタミン剤,4419002Q1133,鶴原製薬,2：後発品,normal_shipment,①通常出荷,７．－,７．－,エ. －,output_decreased,B．出荷量減少,False,R06AB02,
JP,Japan,MHLW,ｄ－クロルフェニラミンマレイン酸塩シロップ０．０４％「トーワ」,ｄ－クロルフェニラミンマレイン酸塩,０．０４％１０ｍＬ,,2025-12-10,2025-12-10,,shortage,2026-09-23T21:00:01.918790,1：内用薬,抗ヒスタミン剤,4419002Q1125,東和薬品,2：後発品,normal_shipment,①通常出荷,７．－,７．－,エ. －,output_decreased,B．出荷量減少,False,R06AB02,
JP,Japan,MHLW,アスパラカリウム錠３００ｍｇ,Ｌ－アスパラギン酸カリウム,３００ｍｇ１錠,,2024-12-02,2024-12-02,,limited,2026-09-23T21:00:01.918970,1：内用薬,無機質製剤,3229005F1080,ニプロ,5：その他医薬品,limited_shipment_own_reasons,②限定出荷（自社の事情）,manufacturing_trouble,３．製造トラブル（製造委託を含む）,ウ. 未定,output_normal,A．出荷量通常,False,,
JP,Japan,MHLW,Ｌ－アスパラギン酸Ｃａ錠２００ｍｇ「トーワ」,Ｌ－アスパラギン酸カルシウム水和物,２００ｍｇ１錠,,2026-04-02,2026-04-02,,shortage,2026-09-23T21:00:01.919039,1：内用薬,カルシウム剤,3214001F1063,東和薬品,2：後発品,normal_shipment,①通常出荷,７．－,７．－,エ. －,output_decreased,B．出荷量減少,False,,
JP,Japan,MHLW,カルボシステイン錠２５０ｍｇ「サワイ」,Ｌ－カルボシステイン,２５０ｍｇ１錠,,2026-04-13,2026-05-14,,shortage,2026-09-23T21:00:01.919210,1：内用薬,去たん剤,2233002F1280,沢井製薬,2：後発品,normal_shipment,①通常出荷,７．－,７．－,エ. －,output_decreased,B．出荷量減少,False,R05CB06,
JP,Japan,MHLW,カルボシステイン錠５００ｍｇ「ＴＣＫ」,Ｌ－カルボシステイン,５００ｍｇ１錠,,2023-05-12,2023-05-12,,limited,2026-09-23T21:00:01.919277,1：内用薬,去たん剤,2233002F2154,辰巳化学,2：後発品,limited_shipment_own_reasons,②限定出荷（自社の事情）,manufacturing_trouble,３．製造トラブル（製造委託を含む）,ウ. 未定,output_increased,Aプラス．出荷量増加,False,R05CB06,
JP,Japan,MHLW,カルボシステイン錠５００ｍｇ「ツルハラ」,Ｌ－カルボシステイン,５００ｍｇ１錠,,2024-09-09,2024-09-09,,suspended,2026-09-23T21:00:01.919344,1：内用薬,去たん剤,2233002F2162,鶴原製薬,2：後発品,supply_suspended,⑤供給停止,raw_material_procurement,２．原材料調達上の問題,ウ. 未定,output_halted,C．出荷停止,False,R05CB06,
JP,Japan,MHLW,カルボシステインＤＳ５０％「ツルハラ」,Ｌ－カルボシステイン,５０％１ｇ,,2025-04-16,2025-04-16,,limited,2026-09-23T21:00:01.919397,1：内用薬,去たん剤,2233002R2045,鶴原製薬,2：後発品,limited_shipment_own_reasons,②限定出荷（自社の事情）,raw_material_procurement,２．原材料調達上の問題,ウ. 未定,output_increased,Aプラス．出荷量増加,False,R05CB06,
JP,Japan,MHLW,カルボシステインＤＳ５０％「トーワ」,Ｌ－カルボシステイン,５０％１ｇ,,2026-04-02,2026-04-02,,shortage,2026-09-23T21:00:01.919478,1：内用薬,去たん剤,2233002R2061,東和薬品,2：後発品,normal_shipment,①通常出荷,７．－,７．－,エ. －,output_decreased,B．出荷量減少,False,R05CB06,
JP,Japan,MHLW,カルケンスカプセル１００ｍｇ,アカラブルチニブ,１００ｍｇ１カプセル,,2026-08-12,2026-08-12,,suspended,2026-09-23T21:00:01.919687,1：内用薬,その他の腫瘍用薬,4291070M1024,アストラゼネカ,1：先発品,supply_suspended,⑤供給停止,price_delisting,６．薬価削除,エ. －,delisting_planned,D．薬価削除予定,False,L01XX40,
JP,Japan,MHLW,ウチダのアキョウＭ,アキョウ,１０ｇ,,2026-05-25,2026-05-25,,shortage,2026-09-23T21:00:01.919850,1：内用薬,生薬,5100001X1024,ウチダ和漢薬,5：その他医薬品,normal_shipment,①通常出荷,７．－,７．－,エ. －,output_decreased,B．出荷量減少,False,,
JP,Japan,MHLW,花扇アキョウＫ,アキョウ,１０ｇ,,2024-01-31,2024-01-31,,shortage,2026-09-23T21:00:01.919903,1：内用薬,生薬,5100001X1059,小西製薬,5：その他医薬品,normal_shipment,①通常出荷,７．－,７．－,エ. －,output_decreased,B．出荷量減少,False,,
JP,Japan,MHLW,アキョウダイコーＭ,アキョウ,１０ｇ,,2024-03-04,2024-03-04,,suspended,2026-09-23T21:00:01.919942,1：内用薬,生薬,5100001X1040,大晃生薬,5：その他医薬品,supply_suspended,⑤供給停止,raw_material_procurement,２．原材料調達上の問題,イ. なし,output_halted,C．出荷停止,False,,
JP,Japan,MHLW,アシクロビル顆粒４０％「タカタ」,アシクロビル,４０％１ｇ,,2025-11-07,2025-11-07,,suspended,2026-09-23T21:00:01.920136,1：内用薬,抗ウイルス剤,6250002D1202,高田製薬,2：後発品,supply_suspended,⑤供給停止,other,８．その他の理由,ウ. 未定,output_halted,C．出荷停止,False,J05AB01,
JP,Japan,MHLW,アシクロビルシロップ８％「タカタ」,アシクロビル,８％１ｍＬ,,2026-01-15,2026-01-15,,limited,2026-09-23T21:00:01.920175,1：内用薬,抗ウイルス剤,6250002Q3045,高田製薬,2：後発品,limited_shipment_own_reasons,②限定出荷（自社の事情）,other,８．その他の理由,イ. なし,output_decreased,B．出荷量減少,False,J05AB01,
