country_code,country_name,source,report_no,progress_stage,company_serial,company_name,company_name_en,company_license_no,company_address,dept_receipt_no,product_serial,product_name,product_name_en,standard_code,expected_shortage_date,shortage_reason,last_supply_date,supply_type,inventory_date,inventory_quantity,patient_impact,normalization_plan,expected_normalization_date,report_date,process_date,public_disclosure,business_no,medicine_name,active_substance,strength,package_size,atc_code,status,shortage_start,estimated_end,scraped_at
KR,South Korea,MFDS,2013000009,처리완료,19920330,대한적십자사,-,2705,서울중구남산동3가32,201300119352,199806540,메갈로텍주(항싸이토메갈로바이러스인면역글로불린),-,8806553000212,20130731,제조소인독일의Biotest와현재국내공급업체간의계약종결됨에따라현재새로운국내공급업체와의계약협상진행중으로수입지연발생,20111004,수입,20130529,0,대체약물없음,-해외제조소와계약관련협상중으로협상완료후신속히국내공급예정-수입지연에따른품절을막기위해계약전임시물량발주및수입예정,20130801,20130531,-,동의함,2038200639,메갈로텍주(항싸이토메갈로바이러스인면역글로불린),,,,,처리완료,2013-07-31,2013-08-01,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2013000018,처리완료,19550010,삼일제약(주),-,1314,경기도안산시단원구산단로216|반월공업단지비11-6(원시동),201300164304,197000050,자이로릭정(알로푸리놀),-,8806439013916,20130816,행정처분,20130816,생산,20130816,0,동일제제제네릭의약품인유유알로푸리놀정100mg및한국유나이티드알로푸리놀정100mg이있어공급부족가능성은없을것으로판단됨,2013년9월16일이후정상공급계획,20130916,20130821,-,동의함,1348500765,자이로릭정(알로푸리놀),,,,,처리완료,2013-08-16,2013-09-16,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2013000019,처리완료,19920237,(주)한국얀센,-,4945,서울특별시용산구한강대로92|LS용산타워25층(한강로2가),201300166698,199504180,리보스틴점안액(레보카바스틴염산염),-,199504180,20130930,당사는리보스틴점안액(레보카바스틴염산염)을벨기에(JanssenPharmaceuticaN.V.|Belgium)로부터수입하여판매하고있으나|본사의정책에따라벨기에에서본제품에대한생산을중단하고|그리스(FamarS.A.|Greece)에서전공정위탁제조하도록제조처변경중에있습니다.당사의제조처변경을위한식품의약품안전처의심사가완료되기까지예상보다많은시간이소요되고있어|허가변경일정이지연되어시장공급부족이발생하게되었습니다.진행중인제조처변경민원에대한자료를증빙서류로첨부드립니다.첨부1.제조처변경민원접수증첨부2.식약처보완요청공문,20130807,수입,20130821,2459,리보스틴점안액의효능효과는‘봄철결막염및알레르기결막염증상의완화’입니다.국내에동일한주성분의점안제는없으며|‘알레르기성결막염’에대한치료제로써릴레스타트점안액0.05%(에피나스틴염산염|삼일엘러간)|알러쿨점안액(아시타자노라스트|한미)|파타데이0.2%점안액(염산올로파타딘|한국알콘)|자디텐점안액(푸마르산케토티펜|한국알콘)|크릭스점안액(트라닐라스트|JW중외제약)등이이용가능합니다.공급부족으로인한영향을최소화하기위해공급부족알림및협조요청공문을7월말각도매상및병원약제부로전달하였습니다.,당사는조속한제조처변경허가완료를위해제조처및식약처에적극협조할것입니다.해당민원처리예정기간은2013년9월21일이며|변경완료이후제조처생산|포장재준비및localQCtest등으로약5~6개월뒤정상공급이가능할것으로예상됩니다.,20140217,20130823,-,동의함,1208111440,리보스틴점안액(레보카바스틴염산염),,,,,처리완료,2013-09-30,2014-02-17,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2012000008,처리완료,19560004,(주)유한양행,-,1329,충청북도청원군오창읍연구단지로219,201300023536,197500136,유한카나마이신황산염주(군납명:주사용카나마이신황산염1g|수출명:칸시드주1g),-,197500136,20130115,원료수급문제에의한공급부족발생,20130114,생산,20130115,0,사유서첨부,공급부족보고서첨부,20130311,20130125,-,동의함,1188100601,유한카나마이신황산염주(군납명:주사용카나마이신황산염1g|수출명:칸시드주1g),,,,,처리완료,2013-01-15,2013-03-11,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2013000008,처리완료,19920330,대한적십자사,-,2705,서울중구남산동3가32,201300118291,199806540,메갈로텍주(항싸이토메갈로바이러스인면역글로불린),-,8806553000113,20130531,제조소인독일의Biotest와현재국내공급업체간의계약종결됨에따라현재새로운국내공급업체와의계약협상진행중으로수입지연발생,20100604,수입,20130529,0,대체약물없음,-해외제조소와계약관련협상중으로협상완료후신속히국내공급예정-수입지연에따른품절을막기위해계약전임시물량발주및수입예정정,20130801,20130531,-,동의함,2038200639,메갈로텍주(항싸이토메갈로바이러스인면역글로불린),,,,,처리완료,2013-05-31,2013-08-01,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2013000015,처리완료,19550010,삼일제약(주),-,1314,경기도안산시단원구산단로216|반월공업단지비11-6(원시동),201300163664,200400587,글립타이드정200밀리그람(설글리코타이드),-,8806439000206,20130816,행정처분,20130816,생산,20130820,0,동일제제제네릭의약품의부재로|도매상에서보유하고있는제품이모두소진되는경우공급부족가능성있음,2013년9월16일이후정상공급계획,20130916,20130821,-,동의함,1348500765,글립타이드정200밀리그람(설글리코타이드),,,,,처리완료,2013-08-16,2013-09-16,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2012000001,처리완료,19700022,하나제약(주),-,117,경기도화성시향남읍제약단지로13-39,201200366017,199704617,하나염산페치딘주사,-,657802740,20121129,생산준비차질로인하여생산및공급일정에차질발생(하나염산페치딘주사0.5mL),20121129,생산,20121129,143갑,현재동일성분의1mL함량제제가(총6품목)판매중으로대체가가능하며|또한동일함량품목으로서제일제약‘제일페티딘염산염주사액0.5mL’가판매중으로환자치료에미치는영향은미미할것으로판단됩니다.,2013.2.1.공급예정임,20130201,20121207,-,동의함,1248137632,하나염산페치딘주사,,,,,처리완료,2012-11-29,2013-02-01,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2012000002,신청중,19860002,제일약품(주),-,1668,경기도용인시처인구백암면청강가창로7,201200382447,200709690,카베닌제이주500밀리그램,-,8806454019603,20130201,카베닌제이주는폐사에서수입하는제품으로보건복지부고시“생산수입공급중단보고대상의약품”제2조3항에따라보고대상에해당되는제품입니다.이와관련하여폐사에서는제품수입단가상승에따른수익성악화로2012.09.26자로카베닌주0.5그램의수입허가를취하하고|동일제품인제조허가인파니프론주500밀리그램을카베닌제이주로제품명변경을진행하였습니다.참고로카베닌주0.5그램은일본다이이찌산쿄를통해수입하는제품이었으며|카베닌제이주(구파니프론주500밀리그램)은국내제조허가로보유하던제품이나카베닌주0.5그램을수입하면서국내에판매되지않았었습니다.또한제품명을변경하는동시에도매상및병원에는카베닌주의판매중단을알렸으며|Imipenem|Meropenem|Ertapenem|Doripenem등으로대체조제를요청하였습니다.그리고폐사에서는카베닌제이주는2013.01.02발매예정으로제품생산을진행하여수입제품을자사제조품목으로변경하려하였습니다.허나|폐사의사정에의해현재제품의생산이지연되고있습니다.현재카베닌주의도매상출고수량으로공급부족발생예상일자를추정하면2013.02.01로예상하며|제품발매예상시기는2013.04.01입니다.이에폐사에서는카베닌제이주가아닌카베닌주의거래도매상재고량을첨부하였습니다.현재2013.04.01까지정상적인출고를위해폐사에서노력하고있으니선처하여주시기바랍니다.,20120926,수입,20121227,0,각병원에Imipenem|Meropenem|Ertapenem|Doripenem등카바페넴계열로대체조제를요청하였습니다.따라서공급부족에따른문제는발생되지않을것으로보입니다.,공급부족사유서참조요망,20130401,20130201,-,동의함,2428500620,카베닌제이주500밀리그램,,,,,신청중,2013-02-01,2013-04-01,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2012000004,삭제,19930293,협진무약(주),-,2992,서울특별시관악구관악로122|(평창빌딩)502호(봉천동),201300014308,199806592,협진폴리엘가정(돼지비장가수분해분말),-,8806595003400,20130128,본사(독일|HorFerVitPharma)의의약품생산일정지연으로국내수입이지연되어1월하반기부터공급부족이예상됩니다.(2월말~3월초수입및공급예정),20130128,수입,20130117,100개,많지는않지만본약제를선호하는환자와처방하는의사가있어일시적으로공급부족이발생하겠습니다.그러나이약의유사적응증이있는의약품이있어대체가능하겠습니다.,독일본사에서공급이이루어지는즉시수입하고국내자가품질검사를신속처리하여하루빨리국내공급이원활히되도록추진하겠습니다.,20130304,20130117,-,동의함,1128138787,협진폴리엘가정(돼지비장가수분해분말),,,,,삭제,2013-01-28,2013-03-04,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2012000010,신청완료,19920209,한국화이자제약(주),-,2582,서울특별시중구퇴계로110,201300032119,199906840,에스트라시트캅셀140밀리그람(에스트라머스틴인산나트륨),-,8806489012518,20121107,에스트라시트캅셀은현재허가상등록되어있는원료제조원(PfizerCorkLtd.Ireland)의공급부족으로인하여장기품절이예상되고있습니다.,20120730,수입,20130122,8,에스트라시트(estramustine)는치료일선에서주로MetastaticCastrationRecurrentProstaticCancer에서만제한적으로Doxetaxel과병용되어사용되고있습니다.첨부하는NCCN2013ProstateCancerguideline에는다양한대체치료법이예시되어있으니참조하시기바랍니다.에스트라시트의경우|동일성분대체제가모두생산/유통중단되어동일성분으로서대체약제는없는상황입니다.하지만전립선암의항암화학요법에사용될수있는1군항암제는아래와같이다양한regimen이기준요법으로사용되고있습니다.전문의의판단에따라환자상태에따른regimen으로대체치료가가능하실수있겠습니다.Reference)암환자에게처방？투여하는약제에대한요양급여의적용기준및방법에관한세부사항|건강보험심사평가원|2012-11-29|P65|전립선암부분[1군항암제단독또는병용요법]1.estramustine2.mitoxantrone+prednisolone3.goserelin+flutamide4.mitoxantrone+vinorelbine5.estramustine+vinblastine6.cyclophosphamide+diethylstilbestrol+prednisolone7.prednisolone+cyclophosphamide+estramustine8.epirubicin+cyclophosphamide9.estramustine+etoposide(PO)10.mitoxantrone,공급정상화추친계획:기존원료제조원에서수입하는모든나라가공급에어려움을겪고있는상황이며대안으로찾은새로운원료제조원(ExcellaGmbH|Germany)의허가또한진행중인상황이라제품의공급까지는상당한시일이걸릴것으로예상하고있습니다.새로운원료제조원추가는2013년1월21일변경신청되어검토중이며|7월경검토완료를목표로하고있습니다.신속한검토완료를위해최선의노력을다하겠습니다.본약제의공급부족으로인한환자들의불편함을최소화하고자|내부직원및도매상에대하여공급부족상황을즉시공고하였으며|문의가있는병원및약국에대해서는성실히답변하고있습니다.또한치료의정상화를위해서㈜한국화이자제약은최대한빠른시간안에공급을정상화하고자노력을하고있습니다.향후계획:2013년2~3월경소량의제품(약한달분)을일시적으로나마공급할수있을것으로예상하고있으나|새로운원료생산처에서해당약제의공급이수입되어완전히제품이원활이공급될수있는시점은2013년9월경으로예상하고있습니다.,20130930,20130131,-,동의함,2078100406,에스트라시트캅셀140밀리그람(에스트라머스틴인산나트륨),,,,,신청완료,2012-11-07,2013-09-30,2026-03-13T15:42:49.322155
