country_code,country_name,source,medicine_name,active_substance,active_substance_lt,strength,dosage_form,atc_code,product_no,marketing_auth_holder,status,scraped_at
LT,Lithuania,VVKT,Baneocin,Other antibiotics for topical use,Bacitracino cinko kompleksas/Neomicino sulfatas,250 TV/5000 TV/g,tepalas,D06AX,LT/L/18/0667/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Atorvastatin TevaPharm,Atorvastatin,Atorvastatinas,40 mg,plėvele dengtos tabletės,C10AA05,LT/1/24/5603/011,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Metfab,Methylphenidate,Metilfenidato hidrochloridas,27 mg,pailginto atpalaidavimo tabletės,N06BA04,LT/1/25/5912/003,G.L. Pharma GmbH,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Rivaroxaban Auxilia,Rivaroxaban,Rivaroksabanas,10 mg,plėvele dengtos tabletės,B01AF01,LT/1/21/4669/003,Auxilia Pharma OÜ,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Atorvastatin TevaPharm,Atorvastatin,Atorvastatinas,40 mg,plėvele dengtos tabletės,C10AA05,LT/1/24/5603/020,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Oxacillin AVMC,Oxacillin,Oksacilinas,1 g,milteliai injekciniam tirpalui,J01CF04,LT/L/23/1979/001,UAB PharmaDIA,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Atorvastatin TevaPharm,Atorvastatin,Atorvastatinas,20 mg,plėvele dengtos tabletės,C10AA05,LT/1/24/5601/014,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Pazopanib Accord,pazopanib,Pazopanibas,400 mg,plėvele dengtos tabletės,L01EX03,LT/1/23/5305/010,Accord Healthcare B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Rivaroxaban Siromed,Rivaroxaban,Rivaroksabanas,20 mg,plėvele dengtos tabletės,B01AF01,LT/1/25/5818/005,UAB NVT,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,XANAX,Alprazolam,Alprazolamas,"0,5 mg",tabletės,N05BA12,LT/L/20/1456/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ampicilina,Ampicillin,Ampicilinas,1 g,milteliai injekciniam ar infuziniam tirpalui,J01CA01,LT/L/15/0328/001,UAB Eletis Medica,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Dagrafors,Dapagliflozin,Dapagliflozinas,5 mg,plėvele dengtos tabletės,A10BK01,LT/1/23/5266/019,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,TELEXER,Dabigatran etexilate,Dabigatranas eteksilatas,110 mg,kietosios kapsulės,B01AE07,LT/1/22/5035/008,Gedeon Richter Plc,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Diphereline,Triptorelin,Triptorelinas,"11,25 mg",milteliai ir tirpiklis injekcinei suspensijai,L02AE04,LT/L/18/0762/001,UAB Limedika,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ventolin,Salbutamol,Salbutamolis,100 µg/išpurškime,suslėgtoji įkvepiamoji suspensija,R03AC02,LT/L/23/1935/001,UAB Tojaris projektai,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Carzan HCT,Candesartan and diuretics,Kandesartano cileksetilas/Hidrochlorotiazidas,"16 mg/12,5 mg",tabletės,C09DA06,LT/L/22/1668/002,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Dabigatran etexilate Viatris,Dabigatran etexilate,Dabigatranas eteksilatas,110 mg,kietosios kapsulės,B01AE07,LT/1/24/5359/004,Viatris Limited,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Carzan,Candesartan,Kandesartano cileksetilas,16 mg,tabletės,C09CA06,LT/L/22/1665/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Edoxaban Teva,Edoxaban,Edoksabanas,60 mg,plėvele dengtos tabletės,B01AF03,LT/1/25/5708/007,Teva GmbH,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Budesonide Teva,Budesonide,Budezonidas,"0,5 mg/2 ml",purškiamoji įkvepiamoji suspensija,R03BA02,LT/1/22/4985/002,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Sitagliptin GeneriNobel,Sitagliptin,Sitagliptinas,25 mg,plėvele dengtos tabletės,A10BH01,LT/1/25/5696/004,GeneriNobel GmbH,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Desmopressin Sumar,Desmopressin,Desmopresinas,120 µg,poliežuvinės tabletės,H01BA02,LT/1/23/5210/009,Sumar Pharma ehf,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Risperidone Grindeks,Risperidone,Risperidonas,"0,5 mg",plėvele dengtos tabletės,N05AX08,LT/1/23/5214/002,AS Grindeks,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Camimbo,Ramipril and diuretics,Ramiprilis/Indapamidas,"5 mg/1,5 mg",modifikuoto atpalaidavimo kietosios kapsulės,C09BA05,LT/1/26/5958/006,Egis Pharmaceuticals PLC,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Vaxigrip,"influenza, inactivated, split virus or surface antigen","A/Victoria/4897/2022 (H1N1)pdm09 panaši padermė (A/Victoria/4897/2022 IVR‐238)/A/Croatia/10136RV/2023 (H3N2) – panaši padermė (A/Croatia/10136RV/2023, X-425A)/B/Austria/1359417/2021 panaši padermė (B/Michigan/01/2021, laukinio tipo)",15 µg HA/15 µg HA/15 µg HA/dozėje,injekcinė suspensija užpildytame švirkšte,J07BB02,LT/1/25/5659/006,Sanofi Winthrop Industrie,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Flixotide 125 Inhaler CFC – Free,Fluticasone,Flutikazonas,125 µg/dozėje,suslėgtoji įkvepiamoji suspensija,R03BA05,LT/L/23/1814/001,UAB Tojaris projektai,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Telmisartan/Amlodipine Teva,Telmisartan and amlodipine,Telmisartanas/Amlodipinas,80 mg/5 mg,tabletės,C09DB04,LT/1/22/4950/003,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Salmeterol/Fluticasone Neutec,Salmeterol and fluticasone,Salmeterolis/Flutikazono propionatas,50 µg/250 µg/dozėje,dozuoti įkvepiamieji milteliai,R03AK06,LT/L/20/1431/001,UAB Adeofarma,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ticagrelor Teva,Ticagrelor,Tikagreloras,90 mg,plėvele dengtos tabletės,B01AC24,LT/1/23/5302/006,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Axitinib STADA,axitinib,Aksitinibas,7 mg,plėvele dengtos tabletės,L01EK01,LT/1/23/5149/008,STADA Arzneimittel AG,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Eribulin Zentiva,Eribulin,Eribulinas,"0,44 mg/ml",injekcinis tirpalas,L01XX41,LT/1/24/5368/002,Zentiva k.s.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Aboxoma,Apixaban,Apiksabanas,5 mg,plėvele dengtos tabletės,B01AF02,LT/1/21/4843/001,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Torasemide Auxilia [Torasemide SANUS],Torasemide,Torazemidas,5 mg,tabletės,C03CA04,LT/1/25/5768/002,MB Sanus24,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Lorazepam SanoSwiss,Lorazepam,Lorazepamas,"2,5 mg",tabletės,N05BA06,LT/1/22/5098/006,UAB SanoSwiss,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Apixaban Sandoz,Apixaban,Apiksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF02,LT/1/24/5574/005,Sandoz d.d.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ropivacaine hydrochloride Kabi,Ropivacaine,Ropivakaino hidrochloridas,"7,5 mg/ml",injekcinis tirpalas,N01BB09,LT/1/22/5005/003,Fresenius Kabi Polska Sp.z.o.o.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Betadine,Povidone-iodine,"Povidonas, joduotas",200 mg,ovulės,G01AX11,LT/L/11/0065/002,"Lex ano, UAB",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Dapagliflozin Polpharma,Dapagliflozin,Dapagliflozinas,5 mg,plėvele dengtos tabletės,A10BK01,LT/1/23/5158/001,Zakłady Farmaceutyczne POLPHARMA S.A.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Perindopril arginine/amlodipine/indapamide Krka,"Perindopril, amlodipine and indapamide",Perindoprilio argininas/Amlodipinas/Indapamidas,"7 mg/5 mg/2,5 mg",tabletės,C09BX01,LT/1/25/5729/006,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Dimethyl fumarate MSN,Dimethyl fumarate,Dimetilfumaratas,120 mg,skrandyje neirios kietosios kapsulės,L04AX07,LT/1/24/5479/003,MSN Labs Europe Limited,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Dapagliflozin/Metformin Polpharma,Metformin and dapagliflozin,Dapagliflozinas/Metformino hidrochloridas,5 mg/1000 mg,plėvele dengtos tabletės,A10BD15,LT/1/24/5607/003,Pharmaceutical Works POLPHARMA S.A.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Atorvastatin TevaPharm,Atorvastatin,Atorvastatinas,40 mg,plėvele dengtos tabletės,C10AA05,LT/1/24/5603/015,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Sugammadex Kalceks,Sugammadex,Sugamadeksas,100 mg/ml,injekcinis tirpalas,V03AB35,LT/1/23/5231/004,AS KALCEKS,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Rivaroxaban Farmak,Rivaroxaban,Rivaroksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF01,LT/1/22/5087/002,Farmak International Sp. z o.o.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Abizol,Aripiprazole,Aripiprazolas,15 mg,tabletės,N05AX12,LT/L/25/3067/001,UAB Niromed,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,CLOTRIMAZOLUM GSK,Clotrimazole,Klotrimazolas,100 mg,makšties tabletės,G01AF02,LT/L/26/3132/001,UAB Niromed,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Budesonide Teva,Budesonide,Budezonidas,"0,5 mg/2 ml",purškiamoji įkvepiamoji suspensija,R03BA02,LT/1/22/4985/004,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Aciclovir Hikma,Aciclovir,Acikloviras,250 mg,milteliai infuziniam tirpalui,J05AB01,LT/L/24/2126/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Turcer,Combinations,Tikagreloras/Acetilsalicilo rūgštis,90 mg/50 mg,kietosios kapsulės,B01AC30,LT/1/25/5931/003,Zentiva k.s.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,SOLU-MEDROL,Methylprednisolone,Metilprednizolonas,1000 mg,milteliai ir tirpiklis injekciniam tirpalui,H02AB04,LT/L/25/2898/001,UAB Ideal Trade Links,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Unilux,Iopamidol,Jodas,370 mg/ml,injekcinis tirpalas,V08AB04,LT/L/23/1980/002,UAB PharmaDIA,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ibuprofen Catalent,Ibuprofen,Ibuprofenas,400 mg,minkštosios kapsulės,M01AE01,LT/1/22/4997/008,Catalent Germany Eberbach GmbH,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Rivaroxaban STADA [Rivaroxaban ALIUD],Rivaroxaban,Rivaroksabanas,15 mg,kietosios kapsulės,B01AF01,LT/1/22/5099/018,STADA Arzneimittel AG,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Linagliptin/Metformin STADA,Metformin and linagliptin,Linagliptinas/Metformino hidrochloridas,"2,5 mg/850 mg",plėvele dengtos tabletės,A10BD11,LT/1/24/5538/005,STADA Arzneimittel AG,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Nurofen Orange,Ibuprofen,Ibuprofenas,100 mg,kramtomosios minkštosios kapsulės,M01AE01,LT/1/16/4016/010,Reckitt Benckiser (Poland) S.A.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Eltrombopag Olpha [Eltrombopag Olainfarm],Eltrombopag,Eltrombopagas,75 mg,plėvele dengtos tabletės,B02BX05,LT/1/24/5404/006,Olpha AS,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ankermann,Cyanocobalamin,Cianokobalaminas,1000 µg,dengtos tabletės,B03BA01,LT/1/24/5453/006,Wörwag Pharma GmbH & Co. KG,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Actifed,"Pseudoephedrine, combinations",Pseudoefedrino hidrochloridas/Triprolidino hidrochloridas,"60 mg/2,5 mg",tabletės,R01BA52,LT/L/23/1900/001,UAB Limedika,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Xaboplax,Rivaroxaban,Rivaroksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF01,LT/1/23/5285/005,Sandoz d.d.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Pitipix,Pitavastatin,Pitavastatinas,1 mg,plėvele dengtos tabletės,C10AA08,LT/1/24/5543/003,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Atorvastatin TevaPharm,Atorvastatin,Atorvastatinas,20 mg,plėvele dengtos tabletės,C10AA05,LT/1/24/5601/027,Teva B.V.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Bisoprololo Krka,Bisoprolol,Bizoprololio fumaratas,"2,5 mg",plėvele dengtos tabletės,C07AB07,LT/L/25/3022/001,UAB Nemuno vaistinė,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ezoleta,Ezetimibe,Ezetimibas,10 mg,tabletės,C10AX09,LT/L/21/1622/006,UAB Ideal Trade Links,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Estrofem,Estradiol,Estradiolis,1 mg,plėvele dengtos tabletės,G03CA03,LT/L/19/1014/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ramostin,rosuvastatin and ramipril,Rozuvastatinas/Ramiprilis,10 mg/10 mg,kietosios kapsulės,C10BX17,LT/1/21/4788/003,Egis Pharmaceuticals PLC,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Edoxaban TAD,Edoxaban,Edoksabanas,30 mg,plėvele dengtos tabletės,B01AF03,LT/1/24/5577/026,TAD Pharma GmbH,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Sitagliptin/Metformin hydrochloride GeneriNobel,Metformin and sitagliptin,Sitagliptinas/Metformino hidrochloridas,50 mg/850 mg,plėvele dengtos tabletės,A10BD07,LT/1/25/5699/003,GeneriNobel GmbH,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ropinirol Retard Mylan,Ropinirole,Ropinirolis,2 mg,pailginto atpalaidavimo tabletės,N04BC04,LT/L/20/1443/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Travoprost Zentiva,Travoprost,Travoprostas,40 µg/ml,akių lašai (tirpalas),S01EE04,LT/L/26/3117/001,UAB Niromed,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Modylan [Aporiak],Apixaban,Apiksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF02,LT/1/24/5549/014,Egis Pharmaceuticals PLC,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,PRUBDAQ,Apixaban,Apiksabanas,5 mg,plėvele dengtos tabletės,B01AF02,LT/1/24/5557/004,Bausch Health Ireland Limited,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Estrofem,Estradiol,Estradiolis,2 mg,plėvele dengtos tabletės,G03CA03,LT/L/25/2853/002,UAB Ideal Trade Links,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ibuprofen Catalent,Ibuprofen,Ibuprofenas,200 mg,minkštosios kapsulės,M01AE01,LT/1/22/4996/010,Catalent Germany Eberbach GmbH,shortage,2026-03-14T16:16:25.666545
