country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,scraped_at
LV,Latvia,ZVA,Abacavir/Lamivudine Mylan 600 mg/300 mg film-coated tablets,"Abacavirum, Lamivudinum",600 mg/300 mg,30 pcs,J05AF06,18-0056-01,2025-06-03,,shortage - end date unknown,2026-03-12T15:53:44.462889
LV,Latvia,ZVA,Abacavir/Lamivudine Zentiva 600 mg/300 mg film-coated tablets,"Abacavirum, Lamivudinum",600 mg/300 mg,30 pcs,J05AF06,20-0080-01,2024-04-30,,shortage - end date unknown,2026-03-12T15:53:44.462889
LV,Latvia,ZVA,Abevmy,Bevacizumabum,400 mg/16 ml,1 pc,L01FG01,EU/1/20/1515/003,2025-12-15,2026-04-01,shortage,2026-03-12T15:53:44.462889
LV,Latvia,ZVA,Abevmy,Bevacizumabum,100 mg/4 ml,1 pc,L01FG01,EU/1/20/1515/001,2025-12-15,2026-04-01,shortage,2026-03-12T15:53:44.462889
LV,Latvia,ZVA,Abilify,Aripiprazolum,"9,75 mg/1,3 ml",1 pc,N05AX12,EU/1/04/276/036,2022-01-31,,shortage - end date unknown,2026-03-12T15:53:44.463890
LV,Latvia,ZVA,Abiraterone Krka,Abirateroni acetas,500 mg,60 pcs,L02BX03,EU/1/21/1553/002,2024-07-03,,shortage - end date unknown,2026-03-12T15:53:44.463890
LV,Latvia,ZVA,Abiraterone Sandoz 1000 mg film-coated tablets,Abirateroni acetas,1000 mg,30 pcs,L02BX03,21-0092-02,2024-11-19,,shortage - end date unknown,2026-03-12T15:53:44.463890
LV,Latvia,ZVA,Abrea 75 mg gastro-resistant tablets,Acidum acetylsalicylicum,75 mg,90 pcs,,17-0001-07,2019-12-30,,shortage - end date unknown,2026-03-12T15:53:44.463890
LV,Latvia,ZVA,Acard 150 mg gastro-resistant tablets,Acidum acetylsalicylicum,150 mg,60 pcs,,16-0239-02,2020-08-28,,shortage - end date unknown,2026-03-12T15:53:44.463890
LV,Latvia,ZVA,Acard 75 mg gastro-resistant tablets,Acidum acetylsalicylicum,75 mg,60 pcs,,16-0238-02,2020-08-28,,shortage - end date unknown,2026-03-12T15:53:44.463890
LV,Latvia,ZVA,Aceclofenac Rivopharm 100 mg film-coated tablets,Aceclofenacum,100 mg,20 pcs,M01AB16,15-0046-01,2023-06-01,,shortage - end date unknown,2026-03-12T15:53:44.463890
