country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,scraped_at,atc_code,prk
LV,Latvia,ZVA,Abacavir/Lamivudine Mylan 600 mg/300 mg film-coated tablets,"Abacavirum, Lamivudinum",600 mg/300 mg,30 pcs,18-0056-01,2025-06-03,,leaving the market,2026-09-23T21:00:02.727937,,
LV,Latvia,ZVA,Abilify,Aripiprazolum,"9,75 mg/1,3 ml",1 pc,EU/1/04/276/036,2022-01-31,,shortage - end date unknown,2026-09-23T21:00:02.727991,N05AX12,86118
LV,Latvia,ZVA,Abiraterone Krka,Abirateroni acetas,500 mg,60 pcs,EU/1/21/1553/002,2024-07-03,,shortage - end date unknown,2026-09-23T21:00:02.728024,L02BX03,136913
LV,Latvia,ZVA,Abiraterone Olpha 500 mg film-coated tablets,Abirateroni acetas,500 mg,60 pcs,23-0195-02,2026-09-09,2026-10-15,shortage,2026-09-23T21:00:02.728063,L02BX03,136913
LV,Latvia,ZVA,Abiraterone Sandoz 1000 mg film-coated tablets,Abirateroni acetas,1000 mg,30 pcs,21-0092-02,2024-11-19,,shortage - end date unknown,2026-09-23T21:00:02.728090,L02BX03,216526
LV,Latvia,ZVA,Abrea 75 mg gastro-resistant tablets,Acidum acetylsalicylicum,75 mg,90 pcs,17-0001-07,2019-12-30,,shortage - end date unknown,2026-09-23T21:00:02.728115,B01AC06,
LV,Latvia,ZVA,Acard 150 mg gastro-resistant tablets,Acidum acetylsalicylicum,150 mg,60 pcs,16-0239-02,2020-08-28,,shortage - end date unknown,2026-09-23T21:00:02.728140,B01AC06,
LV,Latvia,ZVA,Acard 75 mg gastro-resistant tablets,Acidum acetylsalicylicum,75 mg,60 pcs,16-0238-02,2020-08-28,,shortage - end date unknown,2026-09-23T21:00:02.728163,B01AC06,
LV,Latvia,ZVA,Aceclofenac Rivopharm 100 mg film-coated tablets,Aceclofenacum,100 mg,20 pcs,15-0046-01,2023-06-01,,shortage - end date unknown,2026-09-23T21:00:02.728186,M01AB16,49522
LV,Latvia,ZVA,Aceterin 10 mg film-coated tablets,Cetirizini dihydrochloridum,10 mg,30 pcs,03-0257-01,2026-04-30,,leaving the market,2026-09-23T21:00:02.728214,R06AE07,26298
LV,Latvia,ZVA,Acetilsalicilskābe Stirol 325 mg tabletes,Acidum acetylsalicylicum,325 mg,12 pcs,00-0085-02,2016-10-31,,shortage - end date unknown,2026-09-23T21:00:02.728240,B01AC06,
LV,Latvia,ZVA,Acic 200 mg tablets,Aciclovirum,200 mg,25 pcs,03-0122-01,2020-02-05,,shortage - end date unknown,2026-09-23T21:00:02.728264,J05AB01,40991
LV,Latvia,ZVA,Aciloc 25 mg/ml solution for injection,Ranitidinum,50 mg/2 ml,5 pcs,94-0323-01,2019-11-15,,shortage - end date unknown,2026-09-23T21:00:02.728287,A02BA02,126993
LV,Latvia,ZVA,Actifed 30 mg/1.25 mg/5 ml syrup,"Triprolidini hydrochloridum, Pseudoephedrini hydrochloridum",100 ml,1 pc,98-0624-01,2024-10-20,,shortage - end date unknown,2026-09-23T21:00:02.728310,,
LV,Latvia,ZVA,Actos,Pioglitazonum,30 mg,28 pcs,EU/1/00/150/004,2018-01-01,,shortage - end date unknown,2026-09-23T21:00:02.728334,A10BG03,84247
LV,Latvia,ZVA,Actos,Pioglitazonum,15 mg,28 pcs,EU/1/00/150/001,2018-01-01,,shortage - end date unknown,2026-09-23T21:00:02.728357,A10BG03,
LV,Latvia,ZVA,Acyclovir Stada 50 mg/g cream,Aciclovirum,250 mg/5 g,1 pc,00-1167-01,2026-06-08,2026-10-15,shortage,2026-09-23T21:00:02.728390,J05AB01,
LV,Latvia,ZVA,Adenuric,Febuxostatum,120 mg,28 pcs,EU/1/08/447/020,2026-09-23,2026-09-25,shortage,2026-09-23T21:00:02.728422,M04AA03,101796
LV,Latvia,ZVA,Adrenaline Sopharma 1 mg/ml solution for injection,Epinephrinum,1 mg/1 ml,100 pcs,05-0362-02,2018-03-14,,shortage - end date unknown,2026-09-23T21:00:02.728447,C01CA24,145416
LV,Latvia,ZVA,Aerius,Desloratadinum,5 mg,30 pcs,EU/1/00/160/011,2019-08-01,,shortage - end date unknown,2026-09-23T21:00:02.728471,R06AX27,59021
LV,Latvia,ZVA,Aerius,Desloratadinum,5 mg,10 pcs,EU/1/00/160/006,2018-08-02,,shortage - end date unknown,2026-09-23T21:00:02.728494,R06AX27,59021
LV,Latvia,ZVA,Aerius,Desloratadinum,60 ml,1 pc,EU/1/00/160/063,2019-08-01,,shortage - end date unknown,2026-09-23T21:00:02.728517,R06AX27,86886
LV,Latvia,ZVA,Afinitor,Everolimusum,5 mg,30 pcs,EU/1/09/538/001,2018-10-17,,shortage - end date unknown,2026-09-23T21:00:02.728540,L01EG02,92568
LV,Latvia,ZVA,"Aforbe 100 micrograms/6 micrograms actuation pressurised inhalation, solution","Beclometasoni dipropionas, Formoteroli fumaras dihydricus",100 µg/6 µg,1 pc,22-0148-01,2025-05-01,,leaving the market,2026-09-23T21:00:02.728567,,
LV,Latvia,ZVA,Agen 10 mg tablets,Amlodipinum,10 mg,30 pcs,06-0182-02,2025-05-13,,leaving the market,2026-09-23T21:00:02.728593,C08CA01,123323
LV,Latvia,ZVA,Agen 5 mg tablets,Amlodipinum,5 mg,30 pcs,06-0181-02,2025-03-13,,shortage - end date unknown,2026-09-23T21:00:02.728620,C08CA01,123315
LV,Latvia,ZVA,Alendronic acid/Colecalciferol Zentiva 70 mg/5600 IU tablets,"Acidum alendronicum, Colecalciferolum",70 mg/5600 IU,4 pcs,17-0140-02,2023-01-25,,shortage - end date unknown,2026-09-23T21:00:02.728645,,
LV,Latvia,ZVA,Alfacalcidol Theramex 0.25 micrograms soft capsules,Alfacalcidolum,"0,25 µg",30 pcs,96-0301-06,2023-07-12,,shortage - end date unknown,2026-09-23T21:00:02.728670,A11CC03,14737
LV,Latvia,ZVA,Alfacalcidol Theramex 0.5 micrograms soft capsules,Alfacalcidolum,"0,5 µg",30 pcs,05-0315-02,2026-05-19,,shortage - end date unknown,2026-09-23T21:00:02.728695,A11CC03,54763
LV,Latvia,ZVA,Alfacalcidol Theramex 1 microgram soft capsules,Alfacalcidolum,1 µg,10 pcs,01-0419-01,2020-07-21,,shortage - end date unknown,2026-09-23T21:00:02.728718,A11CC03,3549
LV,Latvia,ZVA,Alfuzosin-Teva 10 mg prolonged release tablets,Alfuzosini hydrochloridum,10 mg,30 pcs,07-0219-02,2025-03-01,,shortage - end date unknown,2026-09-23T21:00:02.728743,G04CA01,54798
LV,Latvia,ZVA,Alimta,Pemetrexedum,100 mg,1 pc,EU/1/04/290/002,2022-01-01,,shortage - end date unknown,2026-09-23T21:00:02.728767,L01BA04,138061
LV,Latvia,ZVA,Alimta,Pemetrexedum,500 mg,1 pc,EU/1/04/290/001,2022-01-01,,shortage - end date unknown,2026-09-23T21:00:02.728791,L01BA04,138088
LV,Latvia,ZVA,Alluzience 200 Speywood units/ml solution for injection,Toxinum A Clostridii botulini haemagglutininum multiplex,125 Speywood units,1 pc,21-0121-01,2023-10-04,,shortage - end date unknown,2026-09-23T21:00:02.728816,,
LV,Latvia,ZVA,Almagel A 436 mg/150 mg/218 mg/10 ml suspension for oral use,"Aluminii hydroxidum, Magnesii hydroxidum, Benzocainum",170 ml,1 pc,I000125-01,2020-04-09,,shortage - end date unknown,2026-09-23T21:00:02.728841,,
LV,Latvia,ZVA,Alpicort 0.4 g/100 ml/0.2 g/100 ml cutaneous solution,"Acidum salicylicum, Prednisolonum",100 ml,1 pc,I001302-01,2025-11-10,,shortage - end date unknown,2026-09-23T21:00:02.728867,,
LV,Latvia,ZVA,Alprazolam Orion 0.5 mg tablets,Alprazolamum,"0,5 mg",30 pcs,11-0076-02,2017-01-01,,shortage - end date unknown,2026-09-23T21:00:02.728891,N05BA12,31925
LV,Latvia,ZVA,"Alprazolam-Grindeks 0,5 mg tabletes",Alprazolamum,"0,5 mg",30 pcs,00-1033-01,2025-11-06,,leaving the market,2026-09-23T21:00:02.728920,N05BA12,31925
LV,Latvia,ZVA,"Alvesco 160 micrograms pressurised inhalation, solution",Ciclesonidum,160 µg,60 pcs,05-0019-03,2023-11-23,,shortage - end date unknown,2026-09-23T21:00:02.728945,R01AD13,52434
LV,Latvia,ZVA,Alyostal Prick,Allergenum extractum,"4,5 ml",1 pc,02-0154-01,2021-06-15,,shortage - end date unknown,2026-09-23T21:00:02.728968,,
LV,Latvia,ZVA,Amiokordin 200 mg tablets,Amiodaroni hydrochloridum,200 mg,30 pcs,00-0558-02,2019-07-01,,shortage - end date unknown,2026-09-23T21:00:02.728993,C01BD01,1554
LV,Latvia,ZVA,"Amiptic 20 mg/5 mg/ml eye drops, solution","Dorzolamidum, Timololum",5 ml,1 pc,13-0099-01,2022-04-08,,shortage - end date unknown,2026-09-23T21:00:02.729017,,
LV,Latvia,ZVA,Amisan 200 mg tablets,Amisulpridum,200 mg,30 pcs,09-0354-02,2020-01-01,,shortage - end date unknown,2026-09-23T21:00:02.729040,N05AL05,
LV,Latvia,ZVA,Amisan 400 mg film-coated tablets,Amisulpridum,400 mg,30 pcs,09-0355-02,2020-01-01,,shortage - end date unknown,2026-09-23T21:00:02.729064,N05AL05,
LV,Latvia,ZVA,Amlessa 4 mg/5 mg tablets,"Tert-butylamini perindoprilum, Amlodipinum",4 mg/5 mg,90 pcs,11-0360-11,2022-12-22,,shortage - end date unknown,2026-09-23T21:00:02.729088,,
LV,Latvia,ZVA,Amlessa 8 mg/10 mg tablets,"Tert-butylamini perindoprilum, Amlodipinum",8 mg/10 mg,90 pcs,11-0361-11,2024-05-15,,shortage - end date unknown,2026-09-23T21:00:02.729112,,
LV,Latvia,ZVA,Amlessa 8 mg/5 mg tablets,"Tert-butylamini perindoprilum, Amlodipinum",8 mg/5 mg,90 pcs,11-0362-11,2024-05-15,,shortage - end date unknown,2026-09-23T21:00:02.729134,,
LV,Latvia,ZVA,Amlodipine Vitabalans 10 mg tablets,Amlodipinum,10 mg,100 pcs,11-0281-03,2025-01-01,,shortage - end date unknown,2026-09-23T21:00:02.729165,C08CA01,123323
LV,Latvia,ZVA,Amlodipine Vitabalans 10 mg tablets,Amlodipinum,10 mg,30 pcs,11-0281-01,2025-01-01,,shortage - end date unknown,2026-09-23T21:00:02.729190,C08CA01,123323
LV,Latvia,ZVA,Amlodipine Vitabalans 5 mg tablets,Amlodipinum,5 mg,30 pcs,11-0280-01,2023-07-07,,shortage - end date unknown,2026-09-23T21:00:02.729213,C08CA01,123315
LV,Latvia,ZVA,Amoksiklav 875 mg/125 mg dispersible/orodispersible tablets,"Amoxicillinum, Acidum clavulanicum",875 mg/125 mg,14 pcs,05-0171-02,2017-11-30,,shortage - end date unknown,2026-09-23T21:00:03.017342,,
LV,Latvia,ZVA,Amoksiklav 875 mg/125 mg film-coated tablets,"Amoxicillinum, Acidum clavulanicum",875 mg/125 mg,14 pcs,I000845-01,2022-12-12,,shortage - end date unknown,2026-09-23T21:00:03.017406,,
LV,Latvia,ZVA,Androcur 50 mg tablets,Cyproteroni acetas,50 mg,50 pcs,95-0266-03,2025-02-01,,leaving the market,2026-09-23T21:00:03.017459,L02AA01,2712
LV,Latvia,ZVA,Angusta 25 micrograms tablets,Misoprostolum,25 µg,8 pcs,18-0010-01,2023-05-17,,shortage - end date unknown,2026-09-23T21:00:03.017497,G02AD06,30732
LV,Latvia,ZVA,Apredonav 5 mg film-coated tablets,Ivabradinum,5 mg,56 pcs,19-0012-03,2026-05-08,2026-09-28,shortage,2026-09-23T21:00:03.017550,C01EB17,81213
LV,Latvia,ZVA,Apredonav 7.5 mg film-coated tablets,Ivabradinum,"7,5 mg",56 pcs,19-0013-03,2025-04-14,2026-09-28,shortage,2026-09-23T21:00:03.017598,C01EB17,81213
LV,Latvia,ZVA,Aprovel,Irbesartanum,300 mg,28 pcs,EU/1/97/046/027,2022-02-25,,shortage - end date unknown,2026-09-23T21:00:03.017633,C09CA04,48801
LV,Latvia,ZVA,Aprovel,Irbesartanum,150 mg,28 pcs,EU/1/97/046/022,2022-02-25,,shortage - end date unknown,2026-09-23T21:00:03.017667,C09CA04,48798
LV,Latvia,ZVA,Aprovel,Irbesartanum,150 mg,30 pcs,EU/1/97/046/035,2021-12-15,,shortage - end date unknown,2026-09-23T21:00:03.017696,C09CA04,48798
LV,Latvia,ZVA,Arduan 4 mg powder and solvent for solution for injection,Pipecuronii bromidum,4 mg,25 pcs,97-0138-01,2021-06-30,,shortage - end date unknown,2026-09-23T21:00:03.017729,M03AC02,
LV,Latvia,ZVA,Aripiprazole Mylan Pharma,Aripiprazolum,15 mg,28 pcs,EU/1/15/1005/008,2019-01-01,,shortage - end date unknown,2026-09-23T21:00:03.017762,N05AX12,75256
LV,Latvia,ZVA,Aripiprazole Zentiva,Aripiprazolum,15 mg,28 pcs,EU/1/15/1009/012,2020-11-10,,shortage - end date unknown,2026-09-23T21:00:03.017797,N05AX12,75256
LV,Latvia,ZVA,Arisppa 10 mg tablets,Aripiprazolum,10 mg,14 pcs,15-0037-01,2019-12-30,,shortage - end date unknown,2026-09-23T21:00:03.017828,N05AX12,75248
LV,Latvia,ZVA,Arisppa 10 mg tablets,Aripiprazolum,10 mg,30 pcs,15-0037-03,2017-05-24,,shortage - end date unknown,2026-09-23T21:00:03.017861,N05AX12,75248
LV,Latvia,ZVA,Arisppa 15 mg tablets,Aripiprazolum,15 mg,28 pcs,15-0038-02,2021-12-22,,shortage - end date unknown,2026-09-23T21:00:03.017893,N05AX12,75256
LV,Latvia,ZVA,Arisppa 15 mg tablets,Aripiprazolum,15 mg,30 pcs,15-0038-03,2019-07-01,,shortage - end date unknown,2026-09-23T21:00:03.017924,N05AX12,75256
LV,Latvia,ZVA,Asacol 500 mg suppositories,Mesalazinum,500 mg,20 pcs,04-0434-01,2025-10-01,,shortage - end date unknown,2026-09-23T21:00:03.017960,A07EC02,24686
LV,Latvia,ZVA,Ascophen P tablets,"Acidum acetylsalicylicum, Paracetamolum, Coffeinum",1 UD,10 pcs,98-0107-01,2020-08-13,,shortage - end date unknown,2026-09-23T21:00:03.017990,,
LV,Latvia,ZVA,Asentra 100 mg film-coated tablets,Sertralinum,100 mg,28 pcs,03-0281-01,2019-12-30,,shortage - end date unknown,2026-09-23T21:00:03.018020,N06AB06,39411
LV,Latvia,ZVA,Asolfena 10 mg film-coated tablets,Solifenacini succinas,10 mg,30 pcs,10-0654-02,2019-12-30,,shortage - end date unknown,2026-09-23T21:00:03.018052,G04BD08,75345
LV,Latvia,ZVA,Asolfena 5 mg film-coated tablets,Solifenacini succinas,5 mg,30 pcs,10-0655-02,2019-12-30,,shortage - end date unknown,2026-09-23T21:00:03.018083,G04BD08,75337
LV,Latvia,ZVA,Atgam 50 mg/ml concentrate for solution for infusion,Immunoglobulinum antithymocytorum ex equini ad usum humanum,5 ml,5 pcs,22-0004-01,2025-12-01,2026-11-30,shortage,2026-09-23T21:00:03.018124,L04AA03,216704
LV,Latvia,ZVA,Atimos 12 micrograms/actuation pressurised inhalation solution,Formoteroli fumaras dihydricus,12 µg/dose,100 pcs,07-0102-02,2018-10-01,,shortage - end date unknown,2026-09-23T21:00:03.018157,R03AC13,73350
LV,Latvia,ZVA,Atordapin 10 mg + 10 mg film-coated tablets,"Amlodipinum, Atorvastatinum",10 mg/10 mg,30 pcs,13-0059-05,2026-05-27,,leaving the market,2026-09-23T21:00:03.018195,,
LV,Latvia,ZVA,Atordapin 5 mg + 10 mg film-coated tablets,"Amlodipinum, Atorvastatinum",5 mg/10 mg,30 pcs,14-0133-05,2026-05-27,,leaving the market,2026-09-23T21:00:03.018234,,
LV,Latvia,ZVA,Atoris 10 mg film-coated tablets,Atorvastatinum,10 mg,30 pcs,03-0362-01,2025-08-21,,shortage - end date unknown,2026-09-23T21:00:03.018265,C10AA05,98604
LV,Latvia,ZVA,Atoris 20 mg film-coated tablets,Atorvastatinum,20 mg,30 pcs,03-0363-01,2025-03-20,,leaving the market,2026-09-23T21:00:03.018300,C10AA05,98612
