country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,registration_number,atc_code,company_name,manufacturer,disruption_type,status,reason,shortage_start,estimated_end,mitigation_prh,mitigation_npra,alternatives,scraped_at,prk
MY,Malaysia,NPRA,Apo-Trifluoperazine Tablet 5mg,Trifluoperazine Hydrochloride,5mg,,Tablet,MAL19984755ARZ,N05AB06,Pharmaforte (M) Sdn Bhd,Apotex Inc.,Discontinuation,Current,Business decision,2027-08-01,,PRH is in the process of identifying a new manufacturer whose product dossier fully complies with local regulatory requirements for product registration.,Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement,,2026-07-10T10:59:44.202574,
MY,Malaysia,NPRA,Abrilada Solution for Injection in Pre-filled Pen 40mg/0.8mL,ADALIMUMAB ,40mg/0.8ml,,Solution for injection,MAL22026001ACRZ,L04AB04,Pfizer (Malaysia) Sdn Bhd,"Catalent Indiana, LLC, Indiana, USA",Discontinuation,Current,Voluntary withdrawal ,2025-08-28,,PRH has not proposed any mitigation plan.,Registered alternative products are available,Adalimumab 251022.pdf,2026-07-10T10:59:44.202697,106348
MY,Malaysia,NPRA,FLUVIR 30 (Oseltamivir Phosphate Capsules 30mg),OSELTAMIVIR PHOSPHATE,30 mg,,Capsules,MAL23046009AZ,J05AH02,"CAMBER LABORATORIES SDN. BHD. 
","Hetero Labs Limited, India",Shortage,Current,Demand increases drastically,2025-10-22,,"09 March 2026 update: 
Next incoming stock: Mac & April 2026",Registered alternative products are available,Oseltamivir shortage_1st_251027.pdf,2026-07-10T10:59:44.202809,87165
MY,Malaysia,NPRA,BETACIN EYE/EAR DROPS ,"1) Neomycin Sulphate 

2) Betamethasone Sodium Phosphate 
","1) 0.5 %w/v

2) 0.1 %w/v",,Eye/Ear Drops ,MAL10110024AZ,S01CA06,DUOPHARMA (M) SENDIRIAN BERHAD,DUOPHARMA (M) SENDIRIAN BERHAD,Shortage,Current,API Shortage,2025-10-13,,The PRH is in the process of identifying and assessing alternative API suppliers,No registered alternative product is available for this productâs active ingredient combination. Doctors and pharmacists are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-07-10T10:59:44.202907,
MY,Malaysia,NPRA,ZELDOX CAPSULE 60MG,Ziprasidone Hydrochloride Monohydrate,60mg,,Capsule,MAL20032624ACRZ,N05AE04,Viatris Sdn. Bhd.,"Pfizer Ireland Pharmaceuticals, Little Connell, Newbridge, Co. Kildare, Ireland",Discontinuation,Current,Volutnary withdrawal,2025-10-27,,PRH has not proposed any mitigation plan.,"Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement

NPRA notes: The registration of this product has been terminated.",,2026-07-10T10:59:44.202988,
MY,Malaysia,NPRA,NUTRINEAL PD-4 Peritoneal Dialysis Solution with 1.1% Amino Acids,"1) L-Valine USP
2) L-Arginine USP
3) L-Leucine USP
4) L-Alanine USP
5) L-Isoleucine USP
6) L-Methionine USP
7) L-Lysine HCI USP
8) L-Histidine USP
9) L-Threonine USP
10) L-Proline USP
11) L-Phenylalanine USP
12) Glycine, USP
13) L-Serine USP
14) L-Tyrosine USP
15) L-Tryptophan USP
16) Sodium Chloride, USP
17) Sodium Lactate
18) Calcium Chloride Dihydrate USP
19) Magnesium Chloride Hexahydrate USP 
","1) 1.393g/1000ml
2) 1.071g/1000ml
3) 1.020g/1000ml
4) 0.951g/1000ml
5) 0.850g/1000ml
6) 0.850g/1000ml
7) 0.955g/1000ml
8) 0.714g/1000ml
9) 0.646g/1000ml
10) 0.595g/1000ml
11) 0.570g/1000ml
12) 0.510g/1000ml
13) 0.510g/1000ml
14) 0.300g/1000ml
15) 0.270g/1000ml
16) 5.38g/1000ml
17) 4.48g/1000ml
18) 0.184g/1000ml
19) 0.051g/1000ml 
",,Peritoneal Dialysis Solution,MAL06121040AZ,B05BA10,Baxter Healthcare (Malaysia) Sdn Bhd ,"Baxter Healthcare SA, Singapore Branch",Discontinuation,Current,Voluntary withdrawal,2025-10-27,,,"Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement  

NPRA notes: The registration of this product has been terminated.",,2026-07-10T10:59:44.203062,
MY,Malaysia,NPRA,"B. Braun Sterile Potassium Chloride 100mg/ml Concentrate Solution for InfusionCon 
",Potassium Chloride,100 mg/ml,,Solution for Infusion,MAL17065001AZ,B05XA01,B. Braun Medical Industries Sdn. Bhd.,B. Braun Medical Industries Sdn. Bhd.,Discontinuation,Current,Voluntary withdrawal,2025-10-27,,PRH has not proposed any mitigation plan.,Registered alternative products are available,Potassium Chloride Alternative responses and publish 251114.pdf,2026-07-10T10:59:44.203137,
MY,Malaysia,NPRA,BINOZYT 500MG FILM COATED TABLETS,AZITHROMYCIN ,500MG,,TABLET,MAL10100127AZ,J01FA10,SANDOZ PRODUCTS MALAYSIA SDN. BHD.,SANDOZ S.R.L.,Discontinuation,Current,Business decision,2025-11-04,,PRH has not proposed any mitigation plan.,Registered alternative products are available,Azithromycin Alternative responses and publish 251121xlsx.pdf,2026-07-10T10:59:44.203214,115002
MY,Malaysia,NPRA,DBLÂ® Irinotecan Injection Concentrate 20mg/ml,Irinotecan Hydrochloride ,20mg/ml,,Concentrate for solution for injection,MAL06100574ARZ,L01XX19,Hospira (Malaysia) Sdn. Bhd.,"Zydus Hospira Oncology Private Limited (ZHOPL),",Discontinuation,Current,"The licence is withdrawn due to a change in the Product Registration Holder (PRH), as Hospira (Malaysia) Sdn. Bhd. will be ceasing operations.  
",2025-12-09,,"The new PRH, Pfizer (Malaysia) Sdn. Bhd., already has a registered product containing the same active ingredient.",Registered alternative products are available,Irinotecan Alternatives,2026-07-10T10:59:44.203287,
MY,Malaysia,NPRA,URSOFALK CAPSULE 250MG,URSODEOXYCHOLIC ACID,250mg,,Capsule,MAL19990011ACRZ,A05AA02,DCH AURIGA (M) SDN BHD,LOSAN PHARMA GMBH,Shortage,Current,Increased Demand,2025-12-22,2026-02-28,To facilitate a more accurate forecast,Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-07-10T10:59:44.203366,15830
