country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,product_no,company_name,registration_number,manufacturer,status,source_status,disruption_type,reason,shortage_start,estimated_end,last_updated,mitigation_prh,mitigation_npra,alternatives,scraped_at,prk
MY,Malaysia,NPRA,Apo-Trifluoperazine Tablet 5mg,Trifluoperazine Hydrochloride,5mg,,Tablet,N05AB06,Pharmaforte (M) Sdn Bhd,MAL19984755ARZ,Pharmaforte (M) Sdn Bhd,MAL19984755ARZ,Apotex Inc.,discontinued,Current,Discontinuation,Business decision,2027-08-01,,2026-09-22,PRH is in the process of identifying a new manufacturer whose product dossier fully complies with local regulatory requirements for product registration.,Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement,,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,BETACIN EYE/EAR DROPS,1) Neomycin Sulphate 2) Betamethasone Sodium Phosphate,1) 0.5 %w/v 2) 0.1 %w/v,,Eye/Ear Drops,S01CA06,DUOPHARMA (M) SENDIRIAN BERHAD,MAL10110024AZ,DUOPHARMA (M) SENDIRIAN BERHAD,MAL10110024AZ,DUOPHARMA (M) SENDIRIAN BERHAD,shortage,Current,Shortage,API Shortage,2025-10-13,,2026-09-22,The PRH is in the process of identifying and assessing alternative API suppliers,No registered alternative product is available for this product’s active ingredient combination. Doctors and pharmacists are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,AXCEL CHLOROQUINE TABLET,CHLOROQUINE PHOSPHATE,250mg,,Tablet,P01BA01,KOTRA PHARMA (M) SDN. BHD.,MAL19972909AZ,KOTRA PHARMA (M) SDN. BHD.,MAL19972909AZ,KOTRA PHARMA (M) SDN. BHD.,discontinued,Current,Discontinuation,Reduced demand,,2027-10-02,2026-09-22,"No mitigation actions were undertaken, as there has been no demand from both the private and government markets.",Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement,,2026-09-22T14:27:48.443291,85782
MY,Malaysia,NPRA,OxyContin Controlled-Release Tablets 10mg,Oxycodone Hydrochloride,10mg,,Controlled- Release Tablets,N02AA05,DKSH MALAYSIA SDN. BHD.,MAL14125150ACRZ,DKSH MALAYSIA SDN. BHD.,MAL14125150ACRZ,"Purdue Pharmaceuticals L.P., United States",shortage,Current,Shortage,"Administrative and Regulatory Compliance Updates due to legal name change of product manufacturer from Purdue to Knoa, effective 01 May 2026",2026-01-22,2026-11-30,2026-09-22,i) Proactively monitor backlog orders and review in scheduled meetings. ii) Campaign batch iii) Applied for additional OxyNorm capsules series quota (same PRH),Registered alternative products are available,Oxycodone HCl shortage_1st 260102.pdf,2026-09-22T14:27:48.443291,57614
MY,Malaysia,NPRA,OxyContin Controlled-Release Tablets 20mg,Oxycodone Hydrochloride,20mg,,Controlled- Release Tablets,N02AA05,DKSH MALAYSIA SDN. BHD.,MAL14125148ACRZ,DKSH MALAYSIA SDN. BHD.,MAL14125148ACRZ,"Purdue Pharmaceuticals L.P., United States",shortage,Current,Shortage,"Administrative and Regulatory Compliance Updates due to legal name change of product manufacturer from Purdue to Knoa, effective 01 May 2026",2026-01-31,2026-11-30,2026-09-22,i) Proactively monitor backlog orders and review in scheduled meetings. ii) Campaign batch iii) Applied for additional OxyNorm capsules series quota (same PRH),Registered alternative products are available,Oxycodone HCl shortage_1st 260102.pdf,2026-09-22T14:27:48.443291,57622
MY,Malaysia,NPRA,Gastrografin Aqueous Solution,1.Amidotrizoic acid 2.Meglumine,1) amidotrizoic acid 597.3mg/ml (as Meglumine Amidotrizoate 660mg/ml); 2) Meglumine 159.24mg/ml (as Sodium Amidotrizoate 100mg/ml),,Liquid,V08AA01,Bayer Co (Malaysia Sdn Bhd),MAL20001254ACRZ,Bayer Co (Malaysia Sdn Bhd),MAL20001254ACRZ,"BERLIMED S.A,MADRID SPAIN",discontinued,Current,Discontinuation,The PRH has initiated a precautionary voluntary recall due to quality concern of a nitrosamine impurity in certain tested batches.,2026-02-26,2027-01-01,2026-09-22,"PRH proposed to submit variation of revise formulation to overcome quality concern. However, on 26/06/2026 PRH decided to permanently discontinue production of Gastrografin, and discontinue registration in Jan 2027",No registered alternative product is available for this product’s active ingredient. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,Hidrasec 100mg Hard Capsules,RACECADOTRIL,100mg,,Capsule,A07XA04,Abbott Laboratories (M) Sdn Bhd,MAL13045047AZ,Abbott Laboratories (M) Sdn Bhd,MAL13045047AZ,SOPHARTEX (FRANCE),shortage,Current,Shortage,Awaiting stock rotation,2025-11-01,2026-10-31,2026-09-22,To bring in foreign pack from Thailand in end Jul/early Aug 2026.,Registered alternative products are available,Racecadotril shortage_1st 260409.pdf,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,Ricovir-EM 200mg/300mg Tablets,Emtricitabine and Tenofovir Disoproxil Fumarate,200mg/300mg,,Tablet,J05AR03,Pahang Pharmacy Sdn Bhd,MAL16065046AZ,Pahang Pharmacy Sdn Bhd,MAL16065046AZ,"Mylan Laboratories Limited, India",shortage,Current,Shortage,Force majeure at factory,2026-04-01,2026-04-21,2026-09-22,"Already secured 2 months inventory from same factory meant for other international markets like Vietnam , WHO etc . Additional 1M inventory from alternate site",Registered alternative products are available,Emtricitabine & Tenofovir Alternatives,2026-09-22T14:27:48.443291,146560
MY,Malaysia,NPRA,Ricovir Tablets 300mg,Tenofovir Disoproxil Fumarate,300mg,,Tablet,J05AF07,Mylan Healthcare Sdn Bhd,MAL11030098ARZ,Mylan Healthcare Sdn Bhd,MAL11030098ARZ,Mylan Laboratories Limited,shortage,Current,Shortage,Production plan impacted due to a fire at the manufacturing site,2026-03-04,2026-10-31,2026-09-22,"Product availability is anticipated in October 2026, following production recovery expected by September 2026.",Registered alternative products are available,Tenofovir Alternatives,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,Zeteze-SM Tablets 10+20mg,Ezetemibe / Simvastatin,10mg / 20mg,,Tablet,C10BA02,Ranbaxy (Malaysia) Sdn Bhd,MAL19056027AZ,Ranbaxy (Malaysia) Sdn Bhd,MAL19056027AZ,"Sun Pharmaceutical Industries Limited, India",shortage,Current,Shortage,Manufacturing Issues – The manufacturing plant no longer produces the product,2026-01-09,,2026-09-22,"The product owner is in the process of identifying a new contract manufacturing site, with a tentative variation or new product submission planned for 2027/2028.",Registered alternative products are available,"Ezetimibe, Simvastatin shortage_1st 260805.pdf",2026-09-22T14:27:48.443291,77038
