country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,decision_reference,scraped_at,atc_code,prk
NL,Netherlands,IGJ,Capecitabine Accord,Capecitabine Accord,"Filmomhulde tabletten, 150, 300 en 500 mg",,RVG 109731RVG 109732RVG 109733,2026-08-10,2026-10-29,shortage,Besluit met kenmerk 2026-3194791/IT2113860,2026-09-21T13:27:28.994848,,
NL,Netherlands,IGJ,Depakine Chronosphere,Depakine Chronosphere,"Granulaat met gereguleerde afgifte, 250 mg",,RVG 30760,2026-05-08,2026-10-30,shortage,Besluit met kenmerk 2026-3204618/IT2111206,2026-09-21T13:27:28.994934,,
NL,Netherlands,IGJ,Di-Adreson-F Aquosum,Di-Adreson-F Aquosum,Poeder voor injectievloeistof,,RVG 00093,2026-09-11,2026-12-04,shortage,Besluit met kenmerk 2026-3203416/IT2114243,2026-09-21T13:27:28.994993,,
NL,Netherlands,IGJ,Dicloabak,Dicloabak,"Oogdruppels, oplossing, 1 mg/ml",,RVG 34473,2026-04-24,2026-10-23,shortage,Besluit met kenmerk 2026-3188444/IT2112552,2026-09-21T13:27:28.995043,,
NL,Netherlands,IGJ,Dipyridamol,Dipyridamol,"Capsules met gereguleerde afgifte, 200 mg",,RVG 113461,2025-11-14,2026-11-20,shortage,Besluit met kenmerk 2026-3176094/IT2110743,2026-09-21T13:27:28.995097,B01AC07,34770
NL,Netherlands,IGJ,Fenobarbital,Fenobarbital,"Tabletten, 50 mg",,RVG 52101,2026-01-12,2026-12-13,shortage,Besluit met kenmerk 2026-3203502/IT2111414,2026-09-21T13:27:28.995144,N03AA02,37672
NL,Netherlands,IGJ,Haloperidol CF,Haloperidol CF,"Tabletten, 1 mg en 5 mg",,RVG 55776RVG 55601,2026-07-17,2026-11-06,shortage,Besluit met kenmerk 2026-3197163/ IT2113471,2026-09-21T13:27:28.995194,,
NL,Netherlands,IGJ,Holoxan,Holoxan,"Poeder voor oplossing voor infusie, 500 mg, 1 gr en 2 gr",,RVG 07622,2026-02-12,2026-11-13,shortage,Besluit met kenmerk 2026-3194664/IT2111768,2026-09-21T13:27:28.995250,,
NL,Netherlands,IGJ,Hyason,Hyason,"Poeder voor injectievloeistof, 150 I.E.",,RVG 15180,2026-05-05,2026-10-07,shortage,Besluit met kenmerk 2026-3187376/IT2112481,2026-09-21T13:27:28.995297,,
NL,Netherlands,IGJ,Isoniazide Costero,Isoniazide Costero,"Tabletten, 200 mg",,RVG 52072,2025-09-09,2026-11-24,shortage,Besluit met kenmerk 2026-3192901/IT2098038,2026-09-21T13:27:28.995346,,
