country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,notes,scraped_at
NO,Norway,DMP,"Diazedor vet. 5 mg/ml injeksjonsvæske, oppløsning, 1x10 ml hetteglass",diazepam,,,N05BA01,,2026-04-01,2026-06-30,upcoming,Saksbehandling ikke startet,2026-03-12T15:53:54.566029
NO,Norway,DMP,"Methenamine hippurate Orion 1 g tablett, 100 stk boks",metenaminhippurat,,,,,2026-03-11,2026-04-24,shortage,Saksbehandling ikke startet,2026-03-12T15:53:54.566029
NO,Norway,DMP,"Elvanse 20 mg kapsel, hard, 30 stk boks av plast",lisdeksamfetamindimesilat,,,,,2026-03-18,2026-05-08,upcoming,Saksbehandling ikke startet,2026-03-12T15:53:54.566029
NO,Norway,DMP,"Paliperidon Zentiva 50 mg depotinjeksjonsvæske, suspensjon i ferdigfylt sprøyte, 2 stk kanyle",paliperidonpalmitat,,,N05AX13,,2026-03-11,2026-06-20,shortage,Saksbehandling ikke startet,2026-03-12T15:53:54.566029
NO,Norway,DMP,"Paliperidon Zentiva 75 mg depotinjeksjonsvæske, suspensjon i ferdigfylt sprøyte, 2 stk kanyle",paliperidonpalmitat,,,N05AX13,,2026-03-11,2026-06-20,shortage,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Paliperidon Zentiva 100 mg depotinjeksjonsvæske, suspensjon i ferdigfylt sprøyte, 100 mg ferdigfylt sprøyte",paliperidonpalmitat,,,N05AX13,,2026-03-11,2026-06-20,shortage,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Paliperidon Zentiva 150 mg depotinjeksjonsvæske, suspensjon i ferdigfylt sprøyte, 150 mg ferdigfylt sprøyte",paliperidonpalmitat,,,N05AX13,,2026-03-11,2026-06-20,shortage,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Brinzolamide/Timolol Zentiva 10 mg/ml/5 mg/ml øyedråper, suspensjon, 1x5 ml flaske","brinzolamid, timololmaleat",,,S01ED51,,2026-03-11,2026-06-25,shortage,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Bupredine vet 0,3 mg/ml injeksjonsvæske, oppløsning, 10 ml hetteglass",buprenorfinhydroklorid,,,,,2026-03-10,2026-08-14,shortage,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Furosoral Vet 10 mg tablett, 50 stk blisterpakning",furosemid,,,C03CA01,,2026-03-10,2026-07-03,shortage,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Pevaryl Depot 150 mg vagitorie, 1 stk multiplastpakning, 10 mg/g krem, 15 g tube, kombinasjonspakning",ekonazol,,,,,2026-04-01,2026-05-15,upcoming,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Jivi 1 000 IE pulver og væske til injeksjonsvæske, oppløsning, 1 stk administrasjonssett",damoktokog alfa pegol,,,,,2026-03-13,2026-04-02,upcoming,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Norspan 20 mikrog/time depotplaster, 4x1 stk foliepose",buprenorfin,,,,,2026-04-20,2026-03-10,upcoming,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Noxafil 40 mg/ml mikstur, suspensjon, 105 ml flaske",posakonazol,,,,,2026-03-31,2026-12-01,upcoming,Tilgjengelig legemiddel innen samme byttegruppe,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Naproxen Viatris 250 mg tablett, 100 stk boks",naproksen,,,,,2026-04-15,2026-08-03,upcoming,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Alizin vet 30 mg/ml injeksjonsvæske, oppløsning, 10 ml hetteglass",aglepriston,,,,,2026-03-05,2026-04-15,shortage,Saksbehandling pågår,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Relvar Ellipta 92 mikrog/22 mikrog inhalasjonspulver, dosedispensert, 3x30 doser inhalator","flutikasonfuroat, vilanteroltrifenatat",,,R03AK10,,2026-03-05,2026-03-25,shortage,Grossister (og apotek) har tilstrekkelig lager,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Wellbutrin Retard 300 mg tablett med modifisert frisetting, 30 stk boks av plast",bupropionhydroklorid,,,N06AX12,,2026-03-09,2026-04-07,shortage,Grossister (og apotek) har tilstrekkelig lager,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Wellbutrin Retard 300 mg tablett med modifisert frisetting, 30 stk boks av plast",bupropionhydroklorid,,,N06AX12,,2026-05-25,2026-06-16,upcoming,Grossister (og apotek) har tilstrekkelig lager,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Engerix-B 20 mikrog/ml injeksjonsvæske, suspensjon, 10x1 ml ferdigfylt sprøyte av glass","hepatitt b-virus overflateantigen, rekombinant",,,,,2026-03-15,2026-05-27,upcoming,Saksbehandling ikke startet,2026-03-12T15:53:54.567027
NO,Norway,DMP,"Oxycodone Abboxia 1 mg/ml injeksjons-/infusjonsvæske, oppløsning, 10x10 ml ampulle",oksykodonhydroklorid,,,,,2026-03-04,2026-12-31,shortage,Saksbehandling pågår,2026-03-12T15:53:54.567027
