country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,notes,scraped_at,atc_code,prk
NO,Norway,DMP,"Vueway 0,5 mmol/ml injeksjonsvæske, oppløsning, 30 ml hetteglass",gadopiklenol,,,,2026-09-17,2026-10-12,shortage,Saksbehandling ikke startet,2026-09-21T13:18:43.053610,V08CA12,
NO,Norway,DMP,"Paxneury 2 mg depottablett, 28 stk blisterpakning",guanfacinhydroklorid,,,,2026-09-17,2026-10-30,shortage,Saksbehandling ikke startet,2026-09-21T13:18:43.053630,C02AC02,135348
NO,Norway,DMP,"Imigran Juvenil 10 mg/dose nesespray, oppløsning, 6 x 1 doser endosebeholder med spraypumpe",sumatriptan,,,,2026-09-15,2026-09-29,shortage,Saksbehandling ikke startet,2026-09-21T13:18:43.053641,N02CC01,67679
NO,Norway,DMP,"Lisinopril ratiopharm 10 mg tablett, 100 stk blisterpakning",lisinoprildihydrat,,,,2026-11-15,2026-12-20,upcoming,Saksbehandling ikke startet,2026-09-21T13:18:43.053650,C09AA03,26638
NO,Norway,DMP,"Lisinopril ratiopharm 20 mg tablett, 100 stk blisterpakning",lisinoprildihydrat,,,,2026-11-15,2026-12-20,upcoming,Saksbehandling ikke startet,2026-09-21T13:18:43.053659,C09AA03,26646
NO,Norway,DMP,"Lisinopril ratiopharm 5 mg tablett, 100 stk blisterpakning",lisinoprildihydrat,,,,2026-09-21,2026-12-20,upcoming,Saksbehandling ikke startet,2026-09-21T13:18:43.053669,C09AA03,26611
NO,Norway,DMP,"Dasatinib Sandoz 20 mg tablett, filmdrasjert, 60 x 1 stk endoseblisterpakning",dasatinib,,,,2026-11-13,2026-12-02,upcoming,Saksbehandling ikke startet,2026-09-21T13:18:43.053678,L01EA02,82112
NO,Norway,DMP,"Melatonin Teva 2 mg depottablett, 30 stk blisterpakning",melatonin,,,,2026-09-03,2026-10-26,shortage,Saksbehandling ikke startet,2026-09-21T13:18:43.053688,N05CH01,86819
NO,Norway,DMP,"Neurontin 800 mg tablett, filmdrasjert, 100 stk blisterpakning",gabapentin,,,,2026-10-15,2026-10-30,upcoming,Saksbehandling ikke startet,2026-09-21T13:18:43.053697,N02BF01,57568
NO,Norway,DMP,"Physiotens 0,2 mg tablett, filmdrasjert, 98 stk blisterpakning",moksonidin,,,,2026-09-14,2026-12-11,shortage,Saksbehandling pågår,2026-09-21T13:18:43.053706,C02AC05,42617
