country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,dosage_form,reason,last_updated,affected_establishments,affected_regions,source_url,scraped_at
PE,Peru,DIGEMID,"VACUNA CONTRA DIFTERIA, TETANOS Y TOS FERINA (DPT, TRIPLE) 10 DOSIS INYECTABLE","VACUNA CONTRA DIFTERIA, TETANOS Y TOS FERINA (DPT, TRIPLE)",10 DOSIS,,06435,,,,,shortage,INYECTABLE,,2026-08-31,4473,33,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA CONTRA LA INFLUENZA PEDIATRICO (ANTIGENO TIPO A (H1N1 + H3N2) + ANTIGENO TIPO B 90 ug/mL 20 DOSIS INYECTABLE,VACUNA CONTRA LA INFLUENZA PEDIATRICO (ANTIGENO TIPO A (H1N1 + H3N2) + ANTIGENO TIPO B 90 ug/mL 20 DOSIS,,,27904,,,,,shortage,INYECTABLE,,2026-08-31,2347,33,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA CONTRA LA INFLUENZA ESTACIONARIA - ADULTO 1 DOSIS (0.5 mL) INYECTABLE,VACUNA CONTRA LA INFLUENZA ESTACIONARIA - ADULTO,1 DOSIS (0.5 mL),,23875,,,,,shortage,INYECTABLE,,2026-08-31,1709,32,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,"VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION 700 DCI/0.5 mL 5 DOSIS INYECTABLE","VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION",700 DCI/0.5 mL 5 DOSIS,,06442,,,,,shortage,INYECTABLE,,2026-08-31,1633,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,"VACUNA CONTRA DIFTERIA, TETANOS Y TOS FERINA ACELULAR ADSORBIDA (DPTa) 2,5 Lf + 5 Lf + 8 µg 1 DOSIS INYECTABLE","VACUNA CONTRA DIFTERIA, TETANOS Y TOS FERINA ACELULAR ADSORBIDA (DPTa)","2,5 Lf + 5 Lf + 8 µg 1 DOSIS",,40754,,,,,shortage,INYECTABLE,,2026-08-31,1603,32,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA ANTINEUMOCOCICA CONJUGADA 13-VALENTE 1 DOSIS INYECTABLE,VACUNA ANTINEUMOCOCICA CONJUGADA,13-VALENTE 1 DOSIS,,30978,,,,,shortage,INYECTABLE,,2026-08-31,1489,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,"DILUYENTE PARA VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION (SPR) 5 DOSIS INYECTABLE","DILUYENTE PARA VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION (SPR)",5 DOSIS,,22714,,,,,shortage,INYECTABLE,,2026-08-31,1467,29,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA CONTRA LA DIFTERIA Y TETANOS (DT ADULTO) 10 DOSIS INYECTABLE,VACUNA CONTRA LA DIFTERIA Y TETANOS (DT ADULTO),10 DOSIS,,06432,,,,,shortage,INYECTABLE,,2026-08-31,1436,33,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA ANTIPOLIOMIELITICA BIVALENTE TIPO 1 Y 3 20 DOSIS SUSPENSION,VACUNA ANTIPOLIOMIELITICA BIVALENTE TIPO,1 Y 3 20 DOSIS,,33219,,,,,shortage,SUSPENSION,,2026-08-31,1420,33,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,"VACUNA RECOMBINANTE TETRAVALENTE CONTRA VIRUS DEL PAPILOMA HUMANO TIPO 6, 11, 16 Y 18 (VPH) 0.5 mL INYECTABLE",VACUNA RECOMBINANTE TETRAVALENTE CONTRA VIRUS DEL PAPILOMA HUMANO TIPO,"6, 11, 16 Y 18 (VPH) 0.5 mL",,18520,,,,,shortage,INYECTABLE,,2026-08-31,1128,32,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
