country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,cnpem,chnm,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,mitigation,scraped_at
PT,Portugal,INFARMED,"Proctolog, 10 mg + 120 mg, Supositório (10 unidade(s))",Ruscogenina + Trimebutina,,,,9579003,50083244,10053930,"A. Menarini Portugal - Farmacêutica, S.A.",2026-02-23,2026-04-23,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.115578
PT,Portugal,INFARMED,"Norvir, 100 mg, Comprimido revestido por película (30 unidade(s))",Ritonavir,,,J05AE03,5267216,50162187,10099746,AbbVie Deutschland GmbH & Co. KG,2026-04-25,2026-05-23,,shortage,Aumento da procura,Este medicamento está a ser distribuído de forma limitada,2026-03-13T22:17:45.115578
PT,Portugal,INFARMED,"Constella, 290 µg, Cápsula (28 unidade(s))",Linaclotida,,,,5479357,50123793,10108679,AbbVie Deutschland GmbH & Co. KG,2026-03-03,2026-04-01,,shortage,Fabrico,Este medicamento está a ser distribuído de forma limitada,2026-03-13T22:17:45.115578
PT,Portugal,INFARMED,"Xifaxan, 400 mg, Comprimido revestido por película (14 unidade(s))",Rifaximina,,,A07AA11,5861745,50203053,10142425,"Alfasigma Portugal, Lda",2025-09-15,2026-03-31,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.115578
PT,Portugal,INFARMED,"Xifaxan, 400 mg, Comprimido revestido por película (28 unidade(s))",Rifaximina,,,A07AA11,5861752,50203061,10142425,"Alfasigma Portugal, Lda",2025-09-15,2026-03-31,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.115578
PT,Portugal,INFARMED,"Holoxan, 1000 mg, Pó para solução injetável (1 unidade(s))",Ifosfamida,,,,4408688,50075942,10062281,"Baxter Médico-Farmacêutica, Lda.",2026-03-18,2026-05-04,,shortage,Aumento da procura,Este medicamento está a ser distribuído de forma limitada,2026-03-13T22:17:45.116577
PT,Portugal,INFARMED,"Holoxan, 2000 mg, Pó para solução injetável (1 unidade(s))",Ifosfamida,,,,4408787,50075969,10029395,"Baxter Médico-Farmacêutica, Lda.",2026-02-21,2026-05-18,,shortage,Fabrico,Este medicamento está a ser distribuído de forma limitada,2026-03-13T22:17:45.116577
PT,Portugal,INFARMED,"Clavamox 125, 125 mg/5 ml + 31.25 mg/5 ml, Pó para suspensão oral (1 unidade(s))",Amoxicilina + Ácido clavulânico,,,,9596213,50001701,10004844,"Bial - Portela & Cª, S.A.",2025-12-13,2026-08-31,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.116577
PT,Portugal,INFARMED,"Oratol, 25 mg/ml, Solução para gargarejar (1 unidade(s))",Cloreto de zinco,,,,9678003,50081535,10091233,"Codilab - Industria e Comércio de Produtos Farmacêuticos, S.A.",2026-03-01,2026-04-30,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.116577
PT,Portugal,INFARMED,"Enjomin, 100 mg, Comprimido (10 unidade(s))",Dimenidrinato,,,,9905018,50071637,10009414,"Codilab - Industria e Comércio de Produtos Farmacêuticos, S.A.",2024-09-20,2026-05-31,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.116577
