country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,cnpem,chnm,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,mitigation,scraped_at,atc_code,prk
PT,Portugal,INFARMED,"Cablivi, 10 mg/1 ml, Pó e solvente para solução injetável (1 unidade(s))",Caplacizumab,,,5759634,,10128800,Ablynx NV,2026-09-21,2026-10-15,,shortage,Aumento da procura,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional,2026-09-21T13:23:16.340505,B01AX07,197416
PT,Portugal,INFARMED,"Xifaxan, 400 mg, Comprimido revestido por película (14 unidade(s))",Rifaximina,,,5861745,50203053,10142425,"Alfasigma Portugal, Lda",2025-09-15,2026-09-30,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340523,A07AA11,
PT,Portugal,INFARMED,"Xifaxan, 400 mg, Comprimido revestido por película (28 unidade(s))",Rifaximina,,,5861752,50203061,10142425,"Alfasigma Portugal, Lda",2025-09-15,2026-09-30,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340534,A07AA11,
PT,Portugal,INFARMED,"Triticum OD, 300 mg, Comprimido de libertação prolongada (30 unidade(s))",Trazodona,,,5474739,50059947,10108152,"Angelini Pharma Portugal, Unipessoal Lda",2026-06-27,2026-09-30,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340544,N06AX05,
PT,Portugal,INFARMED,"Cervoxan, 40 mg, Cápsula (60 unidade(s))",Vinburnina,,,9515841,50067940,10044454,"Angelini Pharma Portugal, Unipessoal Lda",2026-06-19,2026-11-30,,shortage,Fabrico da substância ativa,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340553,C04AX17,
PT,Portugal,INFARMED,"Triticum OD, 150 mg, Comprimido de libertação prolongada (10 unidade(s))",Trazodona,,,5474622,50059912,10108145,"Angelini Pharma Portugal, Unipessoal Lda",2026-05-15,2026-09-30,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340562,N06AX05,
PT,Portugal,INFARMED,"Gentamicina B. Braun, 3 mg/ml, Solução para perfusão (20 unidade(s))",Gentamicina,,,5190137,50220039,10096547,B. Braun Melsungen A.G.,2026-06-17,2026-09-28,,shortage,Aumento da procura,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340571,J01GB03,
PT,Portugal,INFARMED,"Dexamytrex, 0.3 mg/g + 3 mg/g, Pomada oftálmica (1 unidade(s))",Dexametasona + Gentamicina,,,8707307,50070088,10022333,Bausch + Lomb Ireland Limited,2026-09-30,2026-10-30,,shortage,Qualidade,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340579,,
PT,Portugal,INFARMED,"Lumobry, 0.25 mg/ml, Colírio, solução (1 unidade(s))",Brimonidina,,,5849351,50197312,10140374,Bausch + Lomb Ireland Limited,2026-07-15,2026-11-01,,shortage,Logístico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340588,D11AX21,114375
PT,Portugal,INFARMED,"Minims Tropicamida, 5 mg/0.5 ml, Colírio, solução em recipiente unidose (20 unidade(s))",Tropicamida,,,5835459,50194151,10139009,Bausch + Lomb Ireland Limited,2026-07-09,2026-09-30,,shortage,Logístico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340597,S01FA06,
