country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,marketing_auth_holder,mah_country,notification_date,shortage_start,estimated_end,status,notification_type,reason,scraped_at,atc_code,prk
RO,Romania,ANMDMR,"CERTICAN 0,75 mg",EVEROLIMUS,"0,75mg",COMPR.,NOVARTIS PHARMA GMBH,GERMANIA,2016-09-07,2016-09-07,,permanent_discontinuation,Discontinuitate permanenta,Motive comerciale,2026-09-23T21:00:14.610819,L01EG02,
RO,Romania,ANMDMR,"CERTICAN 0,5 mg",EVEROLIMUS,"0,5mg",COMPR.,NOVARTIS PHARMA GMBH,GERMANIA,2016-09-07,2016-09-07,,permanent_discontinuation,Discontinuitate permanenta,Motive comerciale,2026-09-23T21:00:14.610834,L01EG02,
RO,Romania,ANMDMR,"FRAXIPARINE 2850 UI anti-factor Xa/0,3 ml",NADROPARINUM,"2850 ui AFXa/0,3ml",SOL. INJ.,ASPEN PHARMA TRADING LIMITED,IRLANDA,2016-10-04,2016-10-04,,permanent_discontinuation,"Discontinuitate permanenta din
Decembrie 2016",Motive comerciale,2026-09-23T21:00:14.610843,B01AB06,27375
RO,Romania,ANMDMR,EUVAX B ADULT 20 µg/ml,VACCIN HEPATITIC B,20µg/ml,SUSP. INJ.,LG LIFE SCIENCES POLAND SP. ZO.O,POLONIA,2016-11-08,2016-11-08,,temporary_discontinuation,"Prelungire discontinuitate
temporara",Motive comerciale,2026-09-23T21:00:14.610851,J07BG01,
RO,Romania,ANMDMR,PREDNISON ARENA 5 mg,PREDNISONUM,5mg,COMPR.,ARENA GROUP SA,ROMANIA,2016-11-24,2016-11-24,,temporary_discontinuation,"Prelungire discontinuitate
temporara",Motive de fabricatie,2026-09-23T21:00:14.610859,H02AB06,30449
RO,Romania,ANMDMR,"LYXIT 12,5 mg",TIANEPTINUM,"12,5 mg",COMPR. FILM.,ARENA GROUP S.A.,ROMANIA,2016-11-29,2016-11-29,,temporary_discontinuation,"Prelungire discontinuitate
temporara",Motive comerciale,2026-09-23T21:00:14.610867,N06AX14,
RO,Romania,ANMDMR,GLUCOTROL XL 5mg,GLIPIZIDUM,5mg,COMPR. FILM. ELIB. MODIF.,PFIZER EUROPE MA EEIG,BELGIA,2017-01-05,2017-01-05,,permanent_discontinuation,Discontinuitate permanenta,Motive comerciale,2026-09-23T21:00:14.610874,A10BB07,
RO,Romania,ANMDMR,VINPOCETINA VIM SPECTRUM 5 mg,VINPOCETINUM,5mg,CAPS.,VIM SPECTRUM S.R.L.,ROMANIA,2017-02-01,2017-02-01,,temporary_discontinuation,"Prelungire discontinuitate
temporara",Motive comerciale,2026-09-23T21:00:14.610881,N06BX18,
RO,Romania,ANMDMR,RENITEC 5 mg,ENALAPRILUM,5mg,COMPR.,MERCK SHARP & DOHME ROMANIA S.R.L.,,2017-03-23,2017-03-23,,permanent_discontinuation,"Discontinuitate permanenta din
Aprilie 2018",Motive comerciale,2026-09-23T21:00:14.610888,C09AA02,23698
RO,Romania,ANMDMR,SLIDEFLEX 1178mg,GLUCOSAMINUM,1178mg,COMPR. FILM.,BLUE BIO PHARMACEUTICALS LIMITED,IRLANDA,2017-05-22,2017-05-22,,temporary_discontinuation,"Discontinuitate temporara din
Mai 2018",Motive comerciale,2026-09-23T21:00:14.610895,M01AX05,78964
