country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,dosage_form,status,shortage_start,estimated_end,shortage_reason,manufacturer,company,registration_no,scraped_at
SA,Saudi Arabia,SFDA,MODURETIC 5-50MG TABLETS,"HYDROCHLOROTHIAZIDE,AMILORIDE",,68,,,Currently in Shortage,2021-01-10,2026-05-02,Regulations Related Issue,Montajat Veterinary Pharmaceuticals Co. Ltd,Salehiya Trading Co.,3107245715,2026-03-19T14:47:57.552893
SA,Saudi Arabia,SFDA,Hydralazine Sciegen,HYDRALAZINE,,12,,,Currently in Shortage,2025-07-31,2026-05-02,Regulations Related Issue,"ScieGen Pharmaceuticals, Inc",ARABIAN OASIS,2303257127,2026-03-19T14:47:57.556890
SA,Saudi Arabia,SFDA,REBIF 22 MCG/0.5 ml Solution for injection in cartridge,INTERFERON BETA-1A,,11,L03AB07,,Currently in Shortage,2026-01-01,2026-04-02,Commercial /Manufacturing Issue,SERONO,Merck Limited,1501233101,2026-03-19T14:47:57.557890
SA,Saudi Arabia,SFDA,HALDOL DECANOAS INJ 50MG,HALOPERIDOL,,15,N05AD01,,Currently in Shortage,2025-01-09,2026-04-02,Commercial /Manufacturing Issue,JANSSEN PHARMACEUTICA N.V.,Cigalah Group,1610222735,2026-03-19T14:47:57.562891
SA,Saudi Arabia,SFDA,Ranexa,RANOLAZINE,,11,,,Currently in Shortage,2026-01-01,2026-04-02,Commercial /Manufacturing Issue,Menarini - Von Heyden GmbH,Cigalah Group,0211234426,2026-03-19T14:47:57.564891
SA,Saudi Arabia,SFDA,Cefuroxime-Kotra,CEFUROXIME SODIUM,,8,J01DC02,,Currently in Shortage,2025-10-14,2026-04-02,Commercial /Manufacturing Issue,Kotra Pharma M Sdn Bhd,Al-Safa Warehouse For Pharmaceuticals Ltd,2011246308,2026-03-19T14:47:57.569891
SA,Saudi Arabia,SFDA,Hydroxychloroquine SAJA,HYDROXYCHLOROQUINE SULFATE,,19,P01BA02,,Currently in Shortage,2024-09-07,2026-03-02,Commercial /Manufacturing Issue,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabian Japanese Pharmaceutical Co. Ltd.,2805245371,2026-03-19T14:47:57.572892
SA,Saudi Arabia,SFDA,Ravildo 3.125 mg F.C Tablets,CARVEDILOL,,18,C07AG02,,Currently in Shortage,2025-03-06,2026-03-02,Commercial /Manufacturing Issue,United Pharmaceutical Mfg. Co. Ltd.,Cigalah Group,4-5286-19,2026-03-19T14:47:57.574901
SA,Saudi Arabia,SFDA,PIRAMYL-MET 2/500 mg Film-coated Tablet,"METFORMIN HYDROCHLORIDE,GLIMEPIRIDE",,21,A10BA02,,Currently in Shortage,2024-06-10,2026-03-02,Commercial /Manufacturing Issue,TABUK PHARMACEUTICAL MANUFACTURING CO.,Tabuk Pharmaceutical Manufacturing Company,0810258371,2026-03-19T14:47:57.577901
SA,Saudi Arabia,SFDA,SOLU CORTEF AOV 250 mg powder and solvent for solution for injection,HYDROCORTISONE SODIUM SUCCINATE,,6,H02AB09,,Currently in Shortage,2026-12-01,2026-03-02,Commercial /Manufacturing Issue,Pfizer Manufacturing Belgium N.V.,"Farouk, Maamoun Tamer & CO",0508245727,2026-03-19T14:47:57.579902
SA,Saudi Arabia,SFDA,RECORMON PFS 10000IU-0.6ML SOLU. FOR INJ,EPOETIN BETA,,12,B03XA03,,Currently in Shortage,2026-01-26,2026-02-02,Commercial /Manufacturing Issue,ROCHE DIAGNOSTICS,SPIMACO,1310258415,2026-03-19T14:47:57.582902
SA,Saudi Arabia,SFDA,FORMIT 850 MG TABLETS,METFORMIN HYDROCHLORIDE,,12,A10BA02,,Currently in Shortage,2026-01-18,2026-02-02,Commercial /Manufacturing Issue,SPIMACO,SPIMACO,1611234489,2026-03-19T14:47:57.586903
SA,Saudi Arabia,SFDA,WATENE 0.1% CREAM,ADAPALENE,,51,D10AD03,,Currently in Shortage,2021-12-19,2026-02-02,Commercial /Manufacturing Issue,Jazeera Pharmaceutical Industries (JPI),Jazeera Pharmaceutical Industries (JPI),2401233153,2026-03-19T14:47:57.589083
SA,Saudi Arabia,SFDA,ETHIONAMIDE 250 MG FCT,ETHIONAMIDE,,4,,,Currently in Shortage,2025-03-11,2026-02-02,Commercial /Manufacturing Issue,Macleods Pharmaceuticals Ltd.,AL HOBAIL MEDICAL OFFICE COMPANY LTD.,1211246204,2026-03-19T14:47:57.592092
SA,Saudi Arabia,SFDA,LIPICURE 10 mg film-coated tablet,ATORVASTATIN CALCIUM,,8,C10AA05,,Currently in Shortage,2026-01-21,2026-01-02,Commercial /Manufacturing Issue,DAMMAM PHARMA,DAMMAM PHARMA,1108257996,2026-03-19T14:47:57.594093
SA,Saudi Arabia,SFDA,CUTIVATE 0.05% cream,FLUTICASONE PROPIONATE,,4,R03BA05,,Currently in Shortage,2026-01-02,2026-01-02,Commercial /Manufacturing Issue,GLAXO,SAUDI INTERNATIONAL TRADING COMPANY LTD (SITCO),1111258576,2026-03-19T14:47:57.596598
SA,Saudi Arabia,SFDA,LAXIRA,ROCURONIUM BROMIDE,,12,M03AC09,,Currently in Shortage,2026-01-18,2026-01-02,Commercial /Manufacturing Issue,SPIMACO,SPIMACO,1004257222,2026-03-19T14:47:57.599606
SA,Saudi Arabia,SFDA,XELJANZ 5 mg film-coated tablet,TOFACITINIB,,6,L04AF01,,Currently in Shortage,2026-01-20,2026-01-02,Commercial /Manufacturing Issue,PFIZER,"Farouk, Maamoun Tamer & CO",0409234121,2026-03-19T14:47:57.603606
SA,Saudi Arabia,SFDA,ALEVE 220 mg film-coated tablet,NAPROXEN,,6,M01AE02,,Currently in Shortage,2026-01-20,2026-01-02,Commercial /Manufacturing Issue,Bayer Bitterfeld GmbH,"Farouk, Maamoun Tamer & CO",1008222459,2026-03-19T14:47:57.606605
SA,Saudi Arabia,SFDA,RIVAXEL 4.6MG/24HRS TRANSDERMAL PATCHES,RIVASTIGMINE,,6,N06DA03,,Currently in Shortage,2026-01-20,2026-01-02,Commercial /Manufacturing Issue,"SK Chemicals Co., Ltd",Jazeera Pharmaceutical Industries (JPI),0412258738,2026-03-19T14:47:57.608608
SA,Saudi Arabia,SFDA,GLOFEL 20 mg Film-coated Tablet,TADALAFIL,,6,G04BE08,,Currently in Shortage,2026-01-19,2026-01-02,Commercial /Manufacturing Issue,GLOBAL PHARMA,MANAYER NAJD TRADING MEDICAL NEEDS CO.,2603257169,2026-03-19T14:47:57.611605
SA,Saudi Arabia,SFDA,Tadil,TADALAFIL,,6,G04BE08,,Currently in Shortage,2026-01-18,2026-01-02,Commercial /Manufacturing Issue,Hetero Labs Limited Unit – III,Saudi Amarox,2112200348,2026-03-19T14:47:57.613607
SA,Saudi Arabia,SFDA,Tadil,TADALAFIL,,6,G04BE08,,Currently in Shortage,2026-01-18,2026-01-02,Commercial /Manufacturing Issue,Hetero Labs Limited Unit – III,Saudi Amarox,2112200345,2026-03-19T14:47:57.616608
