country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,notes,scraped_at,atc_code,prk
SA,Saudi Arabia,SFDA,,"CALCIUM CHLORIDE,SODIUM CHLORIDE,LACTIC ACID,SODIUM HYDROGEN CARBONATE,MAGNESIUM CHLORIDE",,,,,,shortage,غير متوفر,2026-09-23T21:00:18.066980,,
SA,Saudi Arabia,SFDA,,"MONOVALENT INACTIVATED SPILIT VIRION AH 1N1,MONOVALENT INACTIVATED SPILIT VIRION AH 3N2,MONOVALENT INACTIVATED SPILIT VIRION B STRAIN VICTORIA LINEAGE,MONOVALENT INACTIVATED SPILIT VIRION B STRAIN YAMAGATE LINEAGE",,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067012,,
SA,Saudi Arabia,SFDA,,"A Brisbane 02 2018 H1N1, A Kansas 14 2017 H3N2, B Colorado 06 2017, B Phuket 3073 2013",,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067025,,
SA,Saudi Arabia,SFDA,,"A/Victoria/2570/2019 (H1N1)pdm09- like virus,A/Darwin/9/2021 (H3N2)-like virus,B/Austria/1359417/2021 (B/Victoria lineage)-like virus",,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067035,,
SA,Saudi Arabia,SFDA,,ABIRATERONE ACETATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067046,L02BX03,
SA,Saudi Arabia,SFDA,,ACARBOSE,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067055,A10BF01,
SA,Saudi Arabia,SFDA,,ACECLOFENAC,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067065,M01AB16,
SA,Saudi Arabia,SFDA,,ACETATE SODIUM,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067075,A12BA01,
SA,Saudi Arabia,SFDA,,ACETYLSALICYLIC ACID,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067085,A01AD05,
SA,Saudi Arabia,SFDA,,ACYCLOVIR,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.067094,D06BB03,
SA,Saudi Arabia,SFDA,,ADALIMUMAB,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746443,L04AB04,
SA,Saudi Arabia,SFDA,,ADAPALENE,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746474,D10AD03,
SA,Saudi Arabia,SFDA,,"ADAPALENE,Hydrous Benzoyl Peroxide",,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746487,,
SA,Saudi Arabia,SFDA,,ADENOSINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746499,C01EB10,
SA,Saudi Arabia,SFDA,,ADRENALINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746510,C01CA24,
SA,Saudi Arabia,SFDA,,AESCIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746521,C05AX01,
SA,Saudi Arabia,SFDA,,AFATINIB,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746532,L01EB03,
SA,Saudi Arabia,SFDA,,AFLIBERCEPT,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746543,L01XX44,
SA,Saudi Arabia,SFDA,,AGALSIDASE BETA,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746553,A16AB04,
SA,Saudi Arabia,SFDA,,ALANYL GLUTAMINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:18.746564,B05XB02,
SA,Saudi Arabia,SFDA,,ALBENDAZOLE,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418466,P02CA03,
SA,Saudi Arabia,SFDA,,ALBUMIN HUMAN,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418494,B05AA01,
SA,Saudi Arabia,SFDA,,ALEMTUZUMAB,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418505,L04AG06,
SA,Saudi Arabia,SFDA,,ALENDRONATE SODIUM,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418515,M05BA04,
SA,Saudi Arabia,SFDA,,ALFENTANIL,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418525,N01AH02,
SA,Saudi Arabia,SFDA,,ALFUZOSIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418535,G04CA01,
SA,Saudi Arabia,SFDA,,ALOGLIPTIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418544,A10BH04,
SA,Saudi Arabia,SFDA,,"ALOGLIPTIN,PIOGLITAZONE",,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418554,,
SA,Saudi Arabia,SFDA,,ALPHA.1-PROTEINASE INHIBITOR HUMAN,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418563,,
SA,Saudi Arabia,SFDA,,ALPRAZOLAM,,,,,,shortage,غير متوفر,2026-09-23T21:00:19.418572,N05BA12,
SA,Saudi Arabia,SFDA,,ALPROSTADIL,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085354,C01EA01,
SA,Saudi Arabia,SFDA,,"ALUMINUM HYDROXIDE,MAGNESIUM HYDROXIDE",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085381,,
SA,Saudi Arabia,SFDA,,AMBRISENTAN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085394,C02KX02,
SA,Saudi Arabia,SFDA,,AMBROXOL HYDROCHLORIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085404,R02AD05,
SA,Saudi Arabia,SFDA,,AMIKACIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085414,D06AX12,
SA,Saudi Arabia,SFDA,,AMIKACIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085425,D06AX12,
SA,Saudi Arabia,SFDA,,"AMINO ACIDS, SOURCE UNSPECIFIED",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085434,,
SA,Saudi Arabia,SFDA,,AMINOPHYLLINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085443,R03DA05,
SA,Saudi Arabia,SFDA,,AMIODARONE,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085454,C01BD01,
SA,Saudi Arabia,SFDA,,AMISULPRIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.085463,N05AL05,
SA,Saudi Arabia,SFDA,,AMLODIPINE BESILATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761153,C08CA01,
SA,Saudi Arabia,SFDA,,"AMLODIPINE BESILATE, ATORVASTATIN CALCIUM",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761183,,
SA,Saudi Arabia,SFDA,,"AMLODIPINE BESILATE,ATORVASTATIN CALCIUM",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761197,,
SA,Saudi Arabia,SFDA,,"AMLODIPINE BESILATE,PERINDOPRIL ARGININE",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761207,,
SA,Saudi Arabia,SFDA,,AMOXICILLIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761217,J01CA04,
SA,Saudi Arabia,SFDA,,"AMOXICILLIN,CLAVULANIC ACID",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761226,,
SA,Saudi Arabia,SFDA,,AMPHOTERICIN B,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761235,A01AB04,
SA,Saudi Arabia,SFDA,,AMPICILLIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761244,J01CA01,
SA,Saudi Arabia,SFDA,,"AMPICILLIN,SULBACTAM",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761253,,
SA,Saudi Arabia,SFDA,,ANIDULAFUNGIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761262,J02AX06,
