country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at
SI,Slovenia,CBZ,Amoksiklav,Amoksiklav 500 mg/125 mg filmsko obložene tablete,amoxicillinum et betalactamasis inhibitores,,škatla z 10 tabletami (2 x 5 tablet v pretisnem omotu),filmsko obložena tableta,J01CR02,Lek d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,Tarka,Tarka 180 mg/2 mg tablete s podaljšanim sprošèanjem,trandolaprilum et verapamilum,,škatla z 28 tabletami (2 x 14 tablet v pretisnem omotu),tableta s podaljšanim sprošèanjem,C09BB10,Viatris Healthcare Limited,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,Rifinah,Rifinah 300 mg/150 mg obložene tablete,rifampicinum et isoniazidum,,škatla s 56 tabletami (4 x 14 tablet v pretisnem omotu),obložena tableta,J04AM02,Sanofi Winthrop Industrie,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,škatla z 1 vialo s 5 ml koncentrata,koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,"škatla z 1 vialo s 16,7 ml koncentrata",koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,škatla z 1 vialo s 25 ml koncentrata,koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,Natrijev klorid in glukoza Braun,Natrijev klorid 9 mg/ml in glukoza 50 mg/ml Braun raztopina za infundiranje,electrolyta cum carbohydratis,,polietilenska plastenka s 1000 ml raztopine,raztopina za infundiranje,B05BB02,B. Braun Melsungen AG,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,NeoRecormon,NeoRecormon 2.000 i.e. raztopina za injiciranje v napolnjeni injekcijski brizgi,erythropoietinum,,"škatla s 6 napolnjenimi injekcijskimi brizgami po 0,3 ml raztopine in 6 injekcijskimi iglami 27G1/2",raztopina za injiciranje,B03XA01,Roche Registration GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,NeoRecormon,NeoRecormon 5.000 i.e. raztopina za injiciranje v napolnjeni injekcijski brizgi,erythropoietinum,,"škatla s 6 napolnjenimi injekcijskimi brizgami po 0,3 ml raztopine in 6 injekcijskimi iglami 27G1/2",raztopina za injiciranje,B03XA01,Roche Registration GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.447839
SI,Slovenia,CBZ,KIOVIG,KIOVIG 100 mg/ml raztopina za infundiranje,immunoglobulina humana ad aplicationem intravascularem,,1 viala z 10 ml,raztopina za infundiranje,J06BA02,Takeda Manufacturing Austria AG,Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.447839
