country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at,prk
SI,Slovenia,CBZ,DuoTrav,"DuoTrav 40 mikrogramov/ml + 5 mg/ml kapljice za oko, raztopina",timololi combinationes,,"škatla z 1 kapalnim vsebnikom (polipropilen) z 2,5 ml raztopine","kapljice za oko, raztopina",S01ED51,Novartis Europharm Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.288221,212245
SI,Slovenia,CBZ,Amoksiklav,Amoksiklav 500 mg/125 mg filmsko obložene tablete,amoxicillinum et betalactamasis inhibitores,,škatla z 10 tabletami (2 x 5 tablet v pretisnem omotu),filmsko obložena tableta,J01CR02,Lek d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.288246,17809
SI,Slovenia,CBZ,Tarka,Tarka 180 mg/2 mg tablete s podaljšanim sprošèanjem,trandolaprilum et verapamilum,,škatla z 28 tabletami (2 x 14 tablet v pretisnem omotu),tableta s podaljšanim sprošèanjem,C09BB10,Viatris Healthcare Limited,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.288261,
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,škatla z 1 vialo s 5 ml koncentrata,koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.288275,38202
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,"škatla z 1 vialo s 16,7 ml koncentrata",koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.288287,38202
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,škatla z 1 vialo s 25 ml koncentrata,koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.288298,38202
SI,Slovenia,CBZ,Natrijev klorid in glukoza Braun,Natrijev klorid 9 mg/ml in glukoza 50 mg/ml Braun raztopina za infundiranje,electrolyta cum carbohydratis,,polietilenska plastenka s 1000 ml raztopine,raztopina za infundiranje,B05BB02,B. Braun Melsungen AG,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.288311,26573
SI,Slovenia,CBZ,KIOVIG,KIOVIG 100 mg/ml raztopina za infundiranje,immunoglobulina humana ad aplicationem intravascularem,,1 viala z 10 ml,raztopina za infundiranje,J06BA02,Takeda Manufacturing Austria AG,Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-09-21T13:23:43.288322,80039
SI,Slovenia,CBZ,KIOVIG,KIOVIG 100 mg/ml raztopina za infundiranje,immunoglobulina humana ad aplicationem intravascularem,,1 viala s 25 ml,raztopina za infundiranje,J06BA02,Takeda Manufacturing Austria AG,Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-09-21T13:23:43.288333,80039
SI,Slovenia,CBZ,KIOVIG,KIOVIG 100 mg/ml raztopina za infundiranje,immunoglobulina humana ad aplicationem intravascularem,,1 viala s 50 ml,raztopina za infundiranje,J06BA02,Takeda Manufacturing Austria AG,Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-09-21T13:23:43.288344,80039
