country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,product_no,shortage_start,estimated_end,last_updated,status,scraped_at,prk
SI,Slovenia,CBZ,DuoTrav,"DuoTrav 40 mikrogramov/ml + 5 mg/ml kapljice za oko, raztopina",timololi combinationes,,"škatla z 1 kapalnim vsebnikom (polipropilen) z 2,5 ml raztopine","kapljice za oko, raztopina",S01ED51,Novartis Europharm Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,000060,2026-03-01,2027-02-28,2026-03-30,shortage,2026-09-23T21:01:22.220090,212245
SI,Slovenia,CBZ,Amoksiklav,Amoksiklav 500 mg/125 mg filmsko obložene tablete,amoxicillinum et betalactamasis inhibitores,,škatla z 10 tabletami (2 x 5 tablet v pretisnem omotu),filmsko obložena tableta,J01CR02,Lek d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,000906,2025-06-01,2026-11-30,2025-12-19,shortage,2026-09-23T21:01:22.220115,
SI,Slovenia,CBZ,Tarka,Tarka 180 mg/2 mg tablete s podaljšanim sprošèanjem,trandolaprilum et verapamilum,,škatla z 28 tabletami (2 x 14 tablet v pretisnem omotu),tableta s podaljšanim sprošèanjem,C09BB10,Viatris Healthcare Limited,Potekajoèa motnja v preskrbi,5,001422,2026-03-01,2026-11-13,2026-06-02,shortage,2026-09-23T21:01:22.220133,
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,škatla z 1 vialo s 5 ml koncentrata,koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,002275,2026-06-02,2027-06-02,2026-06-21,shortage,2026-09-23T21:01:22.220148,38202
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,"škatla z 1 vialo s 16,7 ml koncentrata",koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,002330,2026-06-02,2027-06-02,2026-06-21,shortage,2026-09-23T21:01:22.220162,46833
SI,Slovenia,CBZ,Paklitaksel Sandoz,Paklitaksel Sandoz 6 mg/ml koncentrat za raztopino za infundiranje,paclitaxelum,,škatla z 1 vialo s 25 ml koncentrata,koncentrat za raztopino za infundiranje,L01CD01,Sandoz d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,002445,2026-06-02,2027-06-02,2026-06-21,shortage,2026-09-23T21:01:22.220177,73032
SI,Slovenia,CBZ,Natrijev klorid in glukoza Braun,Natrijev klorid 9 mg/ml in glukoza 50 mg/ml Braun raztopina za infundiranje,electrolyta cum carbohydratis,,polietilenska plastenka s 1000 ml raztopine,raztopina za infundiranje,B05BB02,B. Braun Melsungen AG,Potekajoèe zaèasno prenehanje opravljanja prometa,6,003590,2026-02-04,2029-02-04,2026-02-04,shortage,2026-09-23T21:01:22.220192,26573
SI,Slovenia,CBZ,KIOVIG,KIOVIG 100 mg/ml raztopina za infundiranje,immunoglobulina humana ad aplicationem intravascularem,,1 viala z 10 ml,raztopina za infundiranje,J06BA02,Takeda Manufacturing Austria AG,Napovedano zaèasno prenehanje opravljanja prometa,4,004910,2013-04-15,,2013-01-07,upcoming,2026-09-23T21:01:22.220205,80039
SI,Slovenia,CBZ,KIOVIG,KIOVIG 100 mg/ml raztopina za infundiranje,immunoglobulina humana ad aplicationem intravascularem,,1 viala s 25 ml,raztopina za infundiranje,J06BA02,Takeda Manufacturing Austria AG,Napovedano zaèasno prenehanje opravljanja prometa,4,004960,2013-04-15,,2013-01-07,upcoming,2026-09-23T21:01:22.220219,
SI,Slovenia,CBZ,KIOVIG,KIOVIG 100 mg/ml raztopina za infundiranje,immunoglobulina humana ad aplicationem intravascularem,,1 viala s 50 ml,raztopina za infundiranje,J06BA02,Takeda Manufacturing Austria AG,Napovedano zaèasno prenehanje opravljanja prometa,4,005070,2013-04-15,,2013-01-07,upcoming,2026-09-23T21:01:22.220233,
