country_code,country_name,source,medicine_name,active_substance,strength,package_size,barcode,atc_code,license_holder,license_number,suspension_status,status,suspension_date,shortage_start,estimated_end,scraped_at
TR,Turkey,TITCK,"ABSTRAL 100MCG DILALTI TABLET, 10 TABLET",fentanil sitrat,,,8699538055600,N02AB03,ER-KİM İLAÇ SAN. VE TİC. A.Ş.,136/53,1,suspended_article_23,2025-03-03 00:00:00,,,2026-03-13T15:43:03.539231
TR,Turkey,TITCK,"ABSTRAL 200MCG DILALTI TABLET, 10 TABLET",fentanil sitrat,,,8699538055617,N02AB03,ER-KİM İLAÇ SAN. VE TİC. A.Ş.,136/54,1,suspended_article_23,2025-03-12 00:00:00,,,2026-03-13T15:43:03.539231
TR,Turkey,TITCK,"ABSTRAL 400MCG DILALTI TABLET, 10 TABLET",fentanil sitrat,,,8699538055624,N02AB03,ER-KİM İLAÇ SAN. VE TİC. A.Ş.,136/55,1,suspended_article_23,2025-03-12 00:00:00,,,2026-03-13T15:43:03.540266
TR,Turkey,TITCK,"ABSTRAL 800MCG DILALTI TABLET, 10 TABLET",fentanil sitrat,,,8699538055631,N02AB03,ER-KİM İLAÇ SAN. VE TİC. A.Ş.,136/56,1,suspended_article_23,2025-03-12 00:00:00,,,2026-03-13T15:43:03.540266
TR,Turkey,TITCK,"ACETYLCYSTEIN 600 TROM EFERVESAN TABLET, 10 ADET",asetilsistein,,,8699587021830,R05CB01,ADEKA İLAÇ SAN. VE TİC. A.Ş.,101/74,3,suspended_article_22,2023-03-29 00:00:00,,,2026-03-13T15:43:03.540266
TR,Turkey,TITCK,"ACETYLCYSTEIN 600 TROM EFERVESAN TABLET, 20 ADET",asetilsistein,,,8699587022400,R05CB01,ADEKA İLAÇ SAN. VE TİC. A.Ş.,101/74,3,suspended_article_22,2023-03-29 00:00:00,,,2026-03-13T15:43:03.540266
TR,Turkey,TITCK,"ACTİFED 30 MG/5 ML + 1,25 MG/5 ML ŞURUP",psödoefedrin hidroklorür/triprolidin hidroklorür,,,8699522575176,R01BA52,GLAXOSMITHKLINE TÜKETİCİ SAĞLIĞI A.Ş.,2023/455,1,suspended_article_23,2024-08-08 00:00:00,,,2026-03-13T15:43:03.540266
TR,Turkey,TITCK,"ACTİFED 60 MG/2,5 MG TABLET",psödoefedrin hidroklorür/triprolidin hidroklorür,,,8699522015245,R01BA52,GLAXOSMITHKLINE TÜKETİCİ SAĞLIĞI A.Ş.,2023/456,1,suspended_article_23,2024-08-08 00:00:00,,,2026-03-13T15:43:03.540266
TR,Turkey,TITCK,"ADACEL POLIO 0,5 ML IM ENJEKSİYON İÇİN SÜSPANSİYON İÇEREN KULLANIMA HAZIR ENJEKTÖR, 1 ADET","difteri, tetanoz, boğmaca ve inaktif çocuk felci (tip 1,2,3)",,,8699625960428,J07CA02,SANOFİ PASTEUR AŞI TİC. A.Ş.,11,1,suspended_article_23,2022-08-23 00:00:00,,,2026-03-13T15:43:03.540266
TR,Turkey,TITCK,"AERIUS 0,5 MG/ML ORAL COZELTI, 150 ML",desloratadin,,,8699636590027,R06AX27,MERCK SHARP DOHME İLAÇLARI LTD. ŞTİ.,135/2,1,suspended_article_23,2017-12-20 00:00:00,,,2026-03-13T15:43:03.541261
TR,Turkey,TITCK,"AKTIBOL 1000 MCG KAPSUL, 1000 ADET",cobamamide,,,8699541150040,B03BA04,GENSENTA İLAÇ SANAYİ VE TİC. A.Ş.,107/56,1,suspended_article_23,2024-08-08 00:00:00,,,2026-03-13T15:43:03.541261
TR,Turkey,TITCK,"AKTIBOL 1000 MCG KAPSUL, 24 ADET",cobamamide,,,8699541150026,B03BA04,GENSENTA İLAÇ SANAYİ VE TİC. A.Ş.,107/56,1,suspended_article_23,2024-08-08 00:00:00,,,2026-03-13T15:43:03.541261
TR,Turkey,TITCK,"AKTIBOL 1000 MCG KAPSUL, 50 ADET",cobamamide,,,8699541150019,B03BA04,GENSENTA İLAÇ SANAYİ VE TİC. A.Ş.,107/56,1,suspended_article_23,2024-08-08 00:00:00,,,2026-03-13T15:43:03.541261
TR,Turkey,TITCK,"AKTIBOL 1000 MCG KAPSUL, 500 ADET",cobamamide,,,8699541150033,B03BA04,GENSENTA İLAÇ SANAYİ VE TİC. A.Ş.,107/56,1,suspended_article_23,2024-08-08 00:00:00,,,2026-03-13T15:43:03.541261
