country_code,country_name,source,medicine_name,brand_name,active_substance,generic_name,strength,package_size,dosage_form,presentation,package_ndc,product_ndc,application_number,route,therapeutic_category,pharmacologic_class,manufacturer,company_name,contact_info,status,update_type,shortage_start,shortage_reason,reason,estimated_end,discontinued_date,update_date,related_info,scraped_at,atc_code,prk
US,United States,FDA,"Methylphenidate Hydrochloride Tablet, Extended Release",METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,"Methylphenidate Hydrochloride Tablet, Extended Release",,,Tablet,"Methylphenidate Hydrochloride, Tablet, Extended Release, 18 mg (NDC 62037-725-01)",62037-725-01,"62037-725, 62037-734, 62037-726, 62037-727",ANDA076772,ORAL,Psychiatry,,"Actavis Pharma, Inc.","Teva Pharmaceuticals USA, Inc.",800-545-8800,Current,Revised,2023-07-26,Other,Other,,,2026-09-15,Estimated recovery: September 2026,2026-09-23T21:01:42.331390,N06BA04,105198
US,United States,FDA,Ketorolac Tromethamine Injection,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Ketorolac Tromethamine Injection,,,Injection,"Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 62332-599-25)",62332-599-25,"62332-599, 62332-600, 62332-601",ANDA214456,"INTRAMUSCULAR, INTRAVENOUS",Analgesia/Addiction,,Alembic Pharmaceuticals Inc.,Alembic Pharmaceuticals,908-393-9604,Current,Reverified,2018-03-23,,,,,2026-05-15,,2026-09-23T21:01:42.331429,M01AB15,
US,United States,FDA,Carboplatin Injection,CARBOPLATIN,CARBOPLATIN,Carboplatin Injection,,,Injection,"Carboplatin, Injection, 50 mg/5 mL (10 mg/mL) (NDC 61703-339-18)",61703-339-18,61703-339,ANDA076517,INTRAVENOUS,Oncology,Platinum-based Drug [EPC],"Hospira, Inc.","Hospira, Inc., a Pfizer Company",844-646-4398,Current,Revised,2023-04-28,Demand increase for the drug,Demand increase for the drug,,,2026-09-09,Limited Supply Available. Next Delivery: February 2027; Estimated Recovery: March 2027,2026-09-23T21:01:42.331459,L01XA02,119113
US,United States,FDA,Bumetanide Injection,BUMETANIDE,BUMETANIDE,Bumetanide Injection,,,Injection,"Bumetanide, Injection, 2.5 mg/10 mL (0.25 mg/mL) (NDC 83301-0081-2)",83301-0081-2,"83301-0081, 83301-0080",ANDA219116,"INTRAMUSCULAR, INTRAVENOUS",Cardiovascular,Loop Diuretic [EPC],Mullan Pharmaceutical Inc.,Mullan Pharmaceutical Inc.,800-673-9839,Current,Reverified,2017-12-13,,,,,2026-09-16,,2026-09-23T21:01:42.331481,C03CA02,26360
US,United States,FDA,Dexamethasone Sodium Phosphate Injection,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Dexamethasone Sodium Phosphate Injection,,,Injection,"Dexamethasone Sodium Phosphate, Injection, 10 mg/1 mL (NDC 76045-212-10)",76045-212-10,"76045-212, 76045-109",ANDA209192,"INTRAMUSCULAR, INTRAVENOUS","Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",,"Fresenius Kabi USA, LLC","Fresenius Kabi USA, LLC",888-386-1300,Current,Revised,2019-02-08,Demand increase for the drug,Demand increase for the drug,,,2026-09-15,3 month expiry available on request. Next release not available at this time.,2026-09-23T21:01:42.331500,A01AC02,126942
US,United States,FDA,Prazosin Hydrochloride Capsule,,,Prazosin Hydrochloride Capsule,,,Capsule,"Minipress, Capsule, 5 mg (NDC 0069-4380-71)",0069-4380-71,,,,Cardiovascular,,Pfizer Inc.,Pfizer Inc.,800-533-4535,To Be Discontinued,New,2023-04-28,,,,2023-04-28,2023-04-28,Discontinuation of the manufacture of the drug. Supply expected to exhaust in September 2023,2026-09-23T21:01:42.331526,,
US,United States,FDA,Meperidine Hydrochloride Injection,DEMEROL,MEPERIDINE HYDROCHLORIDE,Meperidine Hydrochloride Injection,,,Injection,"Demerol, Injection, 50 mg/1 mL (NDC 0409-1178-30)",0409-1178-30,"0409-1178, 0409-1181, 0409-1176, 0409-1179, 0409-1180, 0409-1362, 0409-1418",NDA021171,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",Analgesia/Addiction,,"Hospira, Inc.","Hospira, Inc., a Pfizer Company",844-646-4398,Current,Reverified,2025-05-30,,,,,2026-09-09,,2026-09-23T21:01:42.331544,N02AB02,34606
US,United States,FDA,Lisdexamfetamine Dimesylate Capsule,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Lisdexamfetamine Dimesylate Capsule,,,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 50 mg (NDC 64850-554-01)",64850-554-01,"64850-554, 64850-550, 64850-551, 64850-552, 64850-553, 64850-555, 64850-556",ANDA218604,ORAL,Psychiatry,,"Elite Laboratories, Inc.","Elite Laboratories, Inc.",888-852-6657,Current,Reverified,2023-07-14,Shortage of an active ingredient,Shortage of an active ingredient,,,2026-09-16,Estimated recovery: TBD,2026-09-23T21:01:42.331562,N06BA12,198382
US,United States,FDA,Furosemide Injection,FUROSEMIDE,FUROSEMIDE,Furosemide Injection,,,Injection,"Furosemide, Injection, 10 mg/1 mL (NDC 71288-203-05)",71288-203-05,71288-203,ANDA212803,"INTRAMUSCULAR, INTRAVENOUS",Cardiovascular,Loop Diuretic [EPC],Meitheal Pharmaceuticals Inc.,"Meitheal Pharmaceuticals, Inc.",844-824-8426,Current,Reverified,2020-04-07,,,,,2026-08-27,Check wholesalers for inventory,2026-09-23T21:01:42.331579,C03CA01,125806
US,United States,FDA,Bupivacaine Hydrochloride Injection,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Bupivacaine Hydrochloride Injection,,,Injection,"Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 73293-0002-2)",73293-0002-2,73293-0002,ANDA212822,SUBARACHNOID,Anesthesia,,"Huons Co., Ltd.","Huons Co., Ltd",+82-2-854-4700 or via email intbiz@huons.com,Current,Reverified,2018-02-20,Demand increase for the drug,Demand increase for the drug,,,2026-07-30,Estimated recovery: TBD,2026-09-23T21:01:42.331595,N01BB01,
