country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,status,shortage_start,estimated_end,notice_title,notice_url,notice_date,pdf_url,scraped_at
ZA,South Africa,SAHPRA,Executive Forecast 2025: In Conversation with Dr. Boitumelo Semete-Makokotlela,,,,,recalled,2025-06-19,,Executive Forecast 2025: In Conversation with Dr. Boitumelo Semete-Makokotlela,https://www.sahpra.org.za/news-and-updates/executive-forecast-2025-in-conversation-with-dr-boitumelo-semete-makokotlela/,2025-06-19,,2026-03-19T14:46:13.606640
ZA,South Africa,SAHPRA,Public urged to use registered Ozempic products,,,,,limited_supply,2023-12-11,,Public urged to use registered Ozempic products,https://www.sahpra.org.za/news-and-updates/public-urged-to-use-registered-ozempic-products/,2023-12-11,,2026-03-19T14:46:15.804060
ZA,South Africa,SAHPRA,SAHPRA RESPONDS TO CORONAVIRUS (COVID-19): MEDICINES/MEDICAL DEVICES SUPPLY CHALLENGES,,,,J07BN01,recalled,2020-03-17,,SAHPRA RESPONDS TO CORONAVIRUS (COVID-19): MEDICINES/MEDICAL DEVICES SUPPLY CHALLENGES,https://www.sahpra.org.za/news-and-updates/sahpra-responds-to-coronavirus-covid-19-medicines-medical-devices-supply-challenges/,2020-03-17,,2026-03-19T14:46:17.180217
ZA,South Africa,SAHPRA,GUIDELINES ON INFLUENZA VACCINATION FOR 2020,,,,,limited_supply,2020-03-26,,GUIDELINES ON INFLUENZA VACCINATION FOR 2020,https://www.sahpra.org.za/news-and-updates/guidelines-on-influenza-vaccination-for-2020/,2020-03-26,,2026-03-19T14:46:17.639541
ZA,South Africa,SAHPRA,SAHPRA recalls a batch of YAZ Plus contraceptives due to a quality issue,,,,,discontinued,2024-11-21,,SAHPRA recalls a batch of YAZ Plus contraceptives due to a quality issue,https://www.sahpra.org.za/news-and-updates/sahpra-recalls-a-batch-of-yaz-plus-contraceptives-due-to-a-quality-issue/,2024-11-21,,2026-03-19T14:46:18.799822
ZA,South Africa,SAHPRA,SAHPRA releases results of investigation following recall of Benylin Paediatric syrup,,,,,recalled,2024-06-05,,SAHPRA releases results of investigation following recall of Benylin Paediatric syrup,https://www.sahpra.org.za/news-and-updates/sahpra-releases-results-of-investigation-following-recall-of-benylin-paediatric-syrup/,2024-06-05,,2026-03-19T14:46:19.609610
ZA,South Africa,SAHPRA,SAHPRA recalls two batches of Benylin Paediatric Syrup,,,,,resolved,2024-04-13,,SAHPRA recalls two batches of Benylin Paediatric Syrup,https://www.sahpra.org.za/news-and-updates/sahpra-recalls-two-batches-of-benylin-paediatric-syrup/,2024-04-13,,2026-03-19T14:46:20.707670
ZA,South Africa,SAHPRA,Message from the SAHPRA CEO | Dr Boitumelo Semete-Makokotlela,,,,,recalled,2024-01-04,,Message from the SAHPRA CEO | Dr Boitumelo Semete-Makokotlela,https://www.sahpra.org.za/news-and-updates/message-from-the-sahpra-ceo-dr-boitumelo-semete-makokotlela/,2024-01-04,,2026-03-19T14:46:22.049389
ZA,South Africa,SAHPRA,"SAHPRA recalls Lubri-A, sterile lubricating gel",,,,,discontinued,2023-12-20,,"SAHPRA recalls Lubri-A, sterile lubricating gel",https://www.sahpra.org.za/news-and-updates/sahpra-recalls-lubri-a-sterile-lubricating-gel/,2023-12-20,,2026-03-19T14:46:23.060544
ZA,South Africa,SAHPRA,SAHPRA withdraws pholcodine-containing medicines from SA market,,,,,recalled,2023-04-06,,SAHPRA withdraws pholcodine-containing medicines from SA market,https://www.sahpra.org.za/press-releases/sahpra-withdraws-pholcodine-containing-medicines-from-sa-market/,2023-04-06,,2026-03-19T14:46:23.854235
