country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,status,shortage_start,estimated_end,notice_title,notice_url,notice_date,pdf_url,scraped_at,prk
ZA,South Africa,SAHPRA,Executive Forecast 2025: In Conversation with Dr. Boitumelo Semete-Makokotlela,,,,,recalled,2025-06-19,,Executive Forecast 2025: In Conversation with Dr. Boitumelo Semete-Makokotlela,https://www.sahpra.org.za/executive-forecast-2025-in-conversation-with-dr-boitumelo-semete-makokotlela/,2025-06-19,,2026-07-23T14:54:40.449032,
ZA,South Africa,SAHPRA,Public urged to use registered Ozempic products,,,,,limited_supply,2023-12-11,,Public urged to use registered Ozempic products,https://www.sahpra.org.za/public-urged-to-use-registered-ozempic-products/,2023-12-11,,2026-07-23T14:54:41.977523,
ZA,South Africa,SAHPRA,SAHPRA RESPONDS TO CORONAVIRUS (COVID-19): MEDICINES/MEDICAL DEVICES SUPPLY CHALLENGES,,,,J07BN01,recalled,2020-03-17,,SAHPRA RESPONDS TO CORONAVIRUS (COVID-19): MEDICINES/MEDICAL DEVICES SUPPLY CHALLENGES,https://www.sahpra.org.za/sahpra-responds-to-coronavirus-covid-19-medicines-medical-devices-supply-challenges/,2020-03-17,,2026-07-23T14:55:12.704820,
ZA,South Africa,SAHPRA,SAHPRA and the SAPC Crack Down on Unlawful Manufacturing of Unregistered GLP-1/ GIP Medicines,,,,,recalled,2026-05-23,,SAHPRA and the SAPC Crack Down on Unlawful Manufacturing of Unregistered GLP-1/ GIP Medicines,https://www.sahpra.org.za/sahpra-and-the-sapc-crack-down-on-unlawful-manufacturing-of-unregistered-glp-1-medicines/,2026-05-23,,2026-07-23T14:55:12.707214,
ZA,South Africa,SAHPRA,GUIDELINES ON INFLUENZA VACCINATION FOR 2020,,,,,limited_supply,2020-03-26,,GUIDELINES ON INFLUENZA VACCINATION FOR 2020,https://www.sahpra.org.za/guidelines-on-influenza-vaccination-for-2020/,2020-03-26,,2026-07-23T14:55:42.713340,
ZA,South Africa,SAHPRA,Health regulators warn against the use or dispensing of recalled Semaglutide and Tirzepatide,,,,,recalled,2026-07-08,,Health regulators warn against the use or dispensing of recalled Semaglutide and Tirzepatide,https://www.sahpra.org.za/health-regulators-warn-against-the-use-or-dispensing-of-recalled-semaglutide-and-tirzepatide/,2026-07-08,,2026-07-23T14:55:42.714586,
ZA,South Africa,SAHPRA,"Protecting Patients: Ensuring Safe, Quality and Effective Health Products",,,,,recalled,2026-06-25,,"Protecting Patients: Ensuring Safe, Quality and Effective Health Products",https://www.sahpra.org.za/protecting-patients-ensuring-safe-quality-and-effective-health-products/,2026-06-25,,2026-07-23T14:55:42.716815,
ZA,South Africa,SAHPRA,SAHPRA Recalls Affected batches of Citro-Soda Regular Following Safety Concerns,,,,,recalled,2026-03-24,,SAHPRA Recalls Affected batches of Citro-Soda Regular Following Safety Concerns,https://www.sahpra.org.za/sahpra-recalls-affected-batches-of-citro-soda-regular-following-safety-concerns/,2026-03-24,,2026-07-23T14:55:42.718101,
ZA,South Africa,SAHPRA,SAHPRA to brief media on the recall of specified batches of Citro-Soda Regular amid safety concerns,,,,,recalled,2026-03-20,,SAHPRA to brief media on the recall of specified batches of Citro-Soda Regular amid safety concerns,https://www.sahpra.org.za/sahpra-to-brief-media-on-the-recall-of-specified-batches-of-citro-soda-amid-safety-concerns/,2026-03-20,,2026-07-23T14:55:42.718909,
ZA,South Africa,SAHPRA,SAHPRA recalls a batch of YAZ Plus contraceptives due to a quality issue,,,,,discontinued,2024-11-21,,SAHPRA recalls a batch of YAZ Plus contraceptives due to a quality issue,https://www.sahpra.org.za/sahpra-recalls-a-batch-of-yaz-plus-contraceptives-due-to-a-quality-issue/,2024-11-21,,2026-07-23T14:55:43.854084,
ZA,South Africa,SAHPRA,SAHPRA releases results of investigation following recall of Benylin Paediatric syrup,,,,,recalled,2024-06-05,,SAHPRA releases results of investigation following recall of Benylin Paediatric syrup,https://www.sahpra.org.za/sahpra-releases-results-of-investigation-following-recall-of-benylin-paediatric-syrup/,2024-06-05,,2026-07-23T14:55:44.121731,
ZA,South Africa,SAHPRA,SAHPRA recalls two batches of Benylin Paediatric Syrup,,,,,resolved,2024-04-13,,SAHPRA recalls two batches of Benylin Paediatric Syrup,https://www.sahpra.org.za/sahpra-recalls-two-batches-of-benylin-paediatric-syrup/,2024-04-13,,2026-07-23T14:55:45.483816,
ZA,South Africa,SAHPRA,Message from the SAHPRA CEO | Dr Boitumelo Semete-Makokotlela,,,,,recalled,2024-01-04,,Message from the SAHPRA CEO | Dr Boitumelo Semete-Makokotlela,https://www.sahpra.org.za/message-from-the-sahpra-ceo-dr-boitumelo-semete-makokotlela/,2024-01-04,,2026-07-23T14:55:46.296617,
ZA,South Africa,SAHPRA,"SAHPRA recalls Lubri-A, sterile lubricating gel",,,,,discontinued,2023-12-20,,"SAHPRA recalls Lubri-A, sterile lubricating gel",https://www.sahpra.org.za/sahpra-recalls-lubri-a-sterile-lubricating-gel/,2023-12-20,,2026-07-23T14:55:47.321538,
ZA,South Africa,SAHPRA,SAHPRA withdraws pholcodine-containing medicines from SA market,,,,,recalled,2023-04-06,,SAHPRA withdraws pholcodine-containing medicines from SA market,https://www.sahpra.org.za/sahpra-withdraws-pholcodine-containing-medicines-from-sa-market/,2023-04-06,,2026-07-23T14:55:48.305598,
ZA,South Africa,SAHPRA,"Face to Face: Prof Helen Rees on SAHPRA, women’s rights, and her appetite for justice",,,,J07BB02,recalled,2022-11-22,,"Face to Face: Prof Helen Rees on SAHPRA, women’s rights, and her appetite for justice",https://www.sahpra.org.za/face-to-face-prof-helen-rees-on-sahpra-womens-rights-and-her-appetite-for-justice/,2022-11-22,,2026-07-23T14:55:48.305882,
ZA,South Africa,SAHPRA,N-nitrosodimethylamine,NDMA,,,,recalled,2020-10-12,,The Ranitidine-containing Medicines That Are Registered And In Process,https://www.sahpra.org.za/the-ranitidine-containing-medicines-that-are-registered-and-in-process-in-south-africa/,2020-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/10/Communication-to-industry-on-ranitidine-Oct2020-v1.pdf,2026-07-23T14:55:49.548253,
ZA,South Africa,SAHPRA,N-nitrosodiethylamine,NDEA,,,,recalled,2020-10-12,,The Ranitidine-containing Medicines That Are Registered And In Process,https://www.sahpra.org.za/the-ranitidine-containing-medicines-that-are-registered-and-in-process-in-south-africa/,2020-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/10/Communication-to-industry-on-ranitidine-Oct2020-v1.pdf,2026-07-23T14:55:49.548261,
ZA,South Africa,SAHPRA,N-nitroso-N-methyl-propylamine,NMPA,,,,recalled,2020-10-12,,The Ranitidine-containing Medicines That Are Registered And In Process,https://www.sahpra.org.za/the-ranitidine-containing-medicines-that-are-registered-and-in-process-in-south-africa/,2020-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/10/Communication-to-industry-on-ranitidine-Oct2020-v1.pdf,2026-07-23T14:55:49.548262,
ZA,South Africa,SAHPRA,"N-nitroso-N-methyl-4-aminobutyric
acid",NMBA,,,,recalled,2020-10-12,,The Ranitidine-containing Medicines That Are Registered And In Process,https://www.sahpra.org.za/the-ranitidine-containing-medicines-that-are-registered-and-in-process-in-south-africa/,2020-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/10/Communication-to-industry-on-ranitidine-Oct2020-v1.pdf,2026-07-23T14:55:49.548263,
ZA,South Africa,SAHPRA,N-nitrosodiisopropylamine,DIPNA,,,,recalled,2020-10-12,,The Ranitidine-containing Medicines That Are Registered And In Process,https://www.sahpra.org.za/the-ranitidine-containing-medicines-that-are-registered-and-in-process-in-south-africa/,2020-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/10/Communication-to-industry-on-ranitidine-Oct2020-v1.pdf,2026-07-23T14:55:49.548264,
ZA,South Africa,SAHPRA,N-nitrosoethylisopropylamine,EIPNA,,,,recalled,2020-10-12,,The Ranitidine-containing Medicines That Are Registered And In Process,https://www.sahpra.org.za/the-ranitidine-containing-medicines-that-are-registered-and-in-process-in-south-africa/,2020-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/10/Communication-to-industry-on-ranitidine-Oct2020-v1.pdf,2026-07-23T14:55:49.548264,
ZA,South Africa,SAHPRA,Metformin – Under Investigation regarding the possible contamination by NDMA,,,,A10BA02,recalled,2019-12-12,,Metformin – Under Investigation regarding the possible contamination by NDMA,https://www.sahpra.org.za/metformin-under-investigation-regarding-the-possible-contamination-by-ndma/,2019-12-12,,2026-07-23T14:55:51.513871,
ZA,South Africa,SAHPRA,Ultak,,,,,Product recalled,2019-10-29,,SAHPRA FINAL MEDIA RELEASE UPDATE ON RANITIDINE CONTAINING MEDICINES,https://www.sahpra.org.za/sahpra-final-media-release-update-on-ranitidine-containing-medicines/,2019-10-29,,2026-07-23T14:55:51.514367,
ZA,South Africa,SAHPRA,Zantac,,,,,Product recalled,2019-10-29,,SAHPRA FINAL MEDIA RELEASE UPDATE ON RANITIDINE CONTAINING MEDICINES,https://www.sahpra.org.za/sahpra-final-media-release-update-on-ranitidine-containing-medicines/,2019-10-29,,2026-07-23T14:55:51.514370,
ZA,South Africa,SAHPRA,Ranihexal,,,,,Product recalled,2019-10-29,,SAHPRA FINAL MEDIA RELEASE UPDATE ON RANITIDINE CONTAINING MEDICINES,https://www.sahpra.org.za/sahpra-final-media-release-update-on-ranitidine-containing-medicines/,2019-10-29,,2026-07-23T14:55:51.514371,
ZA,South Africa,SAHPRA,CPL Alliance Ranitidine,,,,A02BA02,Product recalled,2019-10-29,,SAHPRA FINAL MEDIA RELEASE UPDATE ON RANITIDINE CONTAINING MEDICINES,https://www.sahpra.org.za/sahpra-final-media-release-update-on-ranitidine-containing-medicines/,2019-10-29,,2026-07-23T14:55:51.514372,
ZA,South Africa,SAHPRA,Ranitidine 300 Biotech,,,,A02BA02,Batches of medicines under Quarantine,2019-10-29,,SAHPRA FINAL MEDIA RELEASE UPDATE ON RANITIDINE CONTAINING MEDICINES,https://www.sahpra.org.za/sahpra-final-media-release-update-on-ranitidine-containing-medicines/,2019-10-29,,2026-07-23T14:55:51.514373,
ZA,South Africa,SAHPRA,Gulf-ranitidine,,,,A02BA02,Batches of medicines under Quarantine,2019-10-29,,SAHPRA FINAL MEDIA RELEASE UPDATE ON RANITIDINE CONTAINING MEDICINES,https://www.sahpra.org.za/sahpra-final-media-release-update-on-ranitidine-containing-medicines/,2019-10-29,,2026-07-23T14:55:51.514374,
ZA,South Africa,SAHPRA,Lethyl 30 mg Aspen Pharmacare Recall Letter,,,,,recalled,2019-10-25,,Lethyl 30 mg Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/lethyl-30-mg-aspen-pharmacare-recall-letter/,2019-10-25,,2026-07-23T14:55:52.073257,
ZA,South Africa,SAHPRA,Bioplus AdcockIngram Recall Letter,,,,,recalled,2019-10-25,,Bioplus AdcockIngram Recall Letter,https://www.sahpra.org.za/bioplus-adcockingram-recall-letter/,2019-10-25,,2026-07-23T14:55:53.256292,
ZA,South Africa,SAHPRA,Benylin Johnson & Johnson Recall letter,,,,,recalled,2019-10-25,,Benylin Johnson & Johnson Recall letter,https://www.sahpra.org.za/benylin-johnson-johnson-recall-letter-2/,2019-10-25,,2026-07-23T14:55:54.442187,
ZA,South Africa,SAHPRA,Eprex Janssen Recall Letter,,,,,recalled,2019-10-25,,Eprex Janssen Recall Letter,https://www.sahpra.org.za/eprex-janssen-recall-letter/,2019-10-25,,2026-07-23T14:55:55.085386,
ZA,South Africa,SAHPRA,Diclo Hexal 50mg Sandoz Recall letter,,,,,recalled,2019-10-25,,Diclo Hexal 50mg Sandoz Recall letter,https://www.sahpra.org.za/diclo-hexal-50mg-sandoz-recall-letter/,2019-10-25,,2026-07-23T14:55:56.693858,
ZA,South Africa,SAHPRA,Kaostatex 150ml Aspen Pharmacare Recall Letter,,,,,recalled,2019-10-25,,Kaostatex 150ml Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/kaostatex-150ml-aspen-pharmacare-recall-letter/,2019-10-25,,2026-07-23T14:55:57.284818,
ZA,South Africa,SAHPRA,Corenza Cold & FluSyrup Adcock Ingram Recall Letter,,,,,recalled,2019-10-25,,Corenza Cold & FluSyrup Adcock Ingram Recall Letter,https://www.sahpra.org.za/corenza-cold-flusyrup-adcock-ingram-recall-letter/,2019-10-25,,2026-07-23T14:55:58.099508,
ZA,South Africa,SAHPRA,Vita force VitB650mg Pharma Natura RecallLetter,,,,,recalled,2019-10-25,,Vita force VitB650mg Pharma Natura RecallLetter,https://www.sahpra.org.za/vita-force-vitb650mg-pharma-natura-recallletter/,2019-10-25,,2026-07-23T14:55:59.647049,
ZA,South Africa,SAHPRA,Intramol Solution for Infusion Equity Pharmaceuticals Recall Letter,,,,,recalled,2019-10-22,,Intramol Solution for Infusion Equity Pharmaceuticals Recall Letter,https://www.sahpra.org.za/intramol-solution-for-infusion-equity-pharmaceuticals-recall-letter/,2019-10-22,,2026-07-23T14:56:00.117385,
ZA,South Africa,SAHPRA,ParaspenIV,,,,,recalled,2019-10-22,,Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/aspen-pharmacare-recall-letter/,2019-10-22,https://www.sahpra.org.za/wp-content/uploads/2019/10/4c387e7bParaspenIV_Aspen_Pharmacare_RecallLetter_16February2015.pdf,2026-07-23T14:56:01.774372,
