source_country,source_field,source_value,normalized_category,normalized_label_nl,normalized_label_en,notes,atc_code
BE,reason,Vertraging in de productie,production_delay,Vertraging in productie,Production delay,,
BE,reason,Vertraging in de vrijgave van het eindproduct,release_delay,Vertraging in vrijgave eindproduct,Final product release delay,,
BE,reason,Toegenomen vraag,increased_demand,Toegenomen vraag,Increased demand,,
BE,reason,Werkzaam bestanddeel niet beschikbaar,raw_material,Werkzaam bestanddeel niet beschikbaar,Active ingredient unavailable,,
BE,reason,Hulpstof niet beschikbaar,excipient,Hulpstof niet beschikbaar,Excipient unavailable,,
BE,reason,"Logistieke problemen (transport, douane, ...)",logistics,Logistieke problemen,Logistics problem,,
BE,reason,Terugroeping,recall,Terugroeping,Recall,,
BE,reason,Octrooibetwisting,patent,Octrooibetwisting,Patent dispute,,
BE,reason,"Overmacht (staking, ramp, …)",force_majeure,Overmacht,Force majeure,,
BE,reason,Andere reden,other,Andere reden,Other,,
RO,reason,Motive de fabricatie,production_delay,Productieprobleem,Manufacturing,,
RO,reason,Motive de fabricatie.,production_delay,Productieprobleem,Manufacturing,Typo-variant,
RO,reason,Motiive de fabricatie,production_delay,Productieprobleem,Manufacturing,Typo-variant,
RO,reason,Motive comerciale,commercial,Commerciële reden,Commercial,,
RO,reason,Motive comerciale.,commercial,Commerciële reden,Commercial,Typo-variant,
RO,reason,Motive comerfciale,commercial,Commerciële reden,Commercial,Typo-variant,
JP,shortage_reason,manufacturing_trouble,production_delay,Productieprobleem,Manufacturing trouble,JP code 3,
JP,shortage_reason,quality_trouble,quality,Kwaliteitsprobleem,Quality trouble,JP code 4,
JP,shortage_reason,raw_material_procurement,raw_material,Grondstofproblematiek,Raw material procurement,JP code 2,
JP,shortage_reason,increased_demand,increased_demand,Toegenomen vraag,Increased demand,JP code 1,
JP,shortage_reason,price_delisting,commercial,Commerciële reden (delisting),Price delisting,JP code 6,
JP,shortage_reason,administrative_action,regulatory,Regelgevende actie,Administrative action,JP code 5,
JP,shortage_reason,other,other,Andere reden,Other,JP code 8,
JP,shortage_reason,none,none,Geen reden opgegeven,None given,JP code 7,
US,update_type,Manufacturing Delay,production_delay,Productievertraging,Manufacturing delay,Komt voor in 'related_info' (vrije tekst); regex match nodig,
US,update_type,Discontinuation of the manufacture of the drug,discontinuation,Stopzetting productie,Manufacturing discontinuation,Veel voorkomend in US-data,
US,update_type,Limited Supply Available,limited_supply,Beperkte beschikbaarheid,Limited supply,Vrije tekst in related_info,
US,update_type,A business decision was made to discontinue manufacture of the product,commercial,Commerciële stopzetting,Commercial discontinuation,Vrije tekst,
US,update_type,Shortage per Manufacturer: Manufacturing Delay,production_delay,Productievertraging,Manufacturing delay,Vrije tekst variant,
DE,reason,Produktionsproblem,production_delay,Productieprobleem,Manufacturing,BfArM,
DE,reason,Sonstige,other,Andere reden,Other,BfArM (overige),
IT,reason,Problemi produttivi,production_delay,Productieprobleem,Manufacturing,,
IT,reason,Problemi produttivi: forniture discontinue,production_delay,Productieprobleem,Manufacturing (discontinuous supply),Subqualifier,
IT,reason,Problemi produttivi: distribuzione contingentata,production_delay,Productieprobleem,Manufacturing (rationed distribution),Subqualifier,
IT,reason,Problemi produttivi (carenza relativa solo al canale retail),production_delay,Productieprobleem (retail),Manufacturing (retail only),Subqualifier,
IT,reason,Problemi produttivi (carenza relativa solo al canale ospedaliero),production_delay,Productieprobleem (ziekenhuis),Manufacturing (hospital only),Subqualifier,
IT,reason,Cessata commercializzazione definitiva,discontinuation,Definitief uit de handel,Permanently discontinued,,
IT,reason,Cessata commercializzazione temporanea,temporary_discontinuation,Tijdelijk uit de handel,Temporarily discontinued,,
IT,reason,Elevata richiesta,increased_demand,Toegenomen vraag,Increased demand,,
IT,reason,Elevata richiesta/problemi produttivi,production_delay,Productieprobleem + vraag,Manufacturing + demand,Combined,
IT,reason,Elevata richiesta: distribuzione contingentata,increased_demand,Toegenomen vraag (rantsoenering),Increased demand (rationed),Subqualifier,
IT,reason,Elevata richiesta: forniture discontinue,increased_demand,Toegenomen vraag (discontinu),Increased demand (discontinuous),Subqualifier,
IT,reason,Elevata richiesta/problemi produttivi: forniture discontinue,production_delay,Productieprobleem + vraag,Combined,,
IT,reason,Elevata richiesta/problemi produttivi: distribuzione contingentata,production_delay,Productieprobleem + vraag,Combined,,
IT,reason,Motivi commerciali,commercial,Commerciële reden,Commercial,,
IT,reason,Problemi regolatori,regulatory,Regelgevend probleem,Regulatory issue,,
ES,reason,Problemas de suministro (con alternativa),supply_problem,Leveringsprobleem (met alternatief),Supply problem (with alternative),Bredere categorie,
ES,reason,Problemas de suministro (sin alternativa - medicamento extranjero),supply_problem,Leveringsprobleem (zonder alternatief),Supply problem (no alternative),Foreign medicine,
ES,reason,Otros problemas de suministro,supply_problem,Andere leveringsproblemen,Other supply problems,,
ES,reason,Cese de comercialización temporal,temporary_discontinuation,Tijdelijk uit de handel,Temporarily discontinued,,
ES,reason,Problemas de calidad,quality,Kwaliteitsprobleem,Quality problem,,
ES,reason,Problemas de fabricación,production_delay,Productieprobleem,Manufacturing problem,,
ES,reason,Problemas de suministro de materias primas,raw_material,Grondstofproblematiek,Raw material supply problem,,
ES,reason,9,unknown_code,Onbekende code,Unknown code,ES rapporteert hier soms numerieke code zonder labels — bron-check nodig,
ES,reason,10,unknown_code,Onbekende code,Unknown code,Idem,
ES,reason,11,unknown_code,Onbekende code,Unknown code,Idem,
