source_country,source_field,source_value,normalized_field,normalized_value,notes,atc_code
AU,shortage_impact,Critical,severity,critical,TGA classificatie,
AU,shortage_impact,Medium,severity,medium,,
AU,shortage_impact,Low,severity,low,,
AU,availability,Available,supply_status,available,,
AU,availability,Unavailable,supply_status,unavailable,,
AU,availability,Reduction in supply until supply is exhausted,supply_status,reduced,,
AU,availability,Limited Availability,supply_status,limited,,
AU,availability,Emergency Supply Only,supply_status,emergency_only,,
AU,availability,Only available under NIP or government programs,supply_status,restricted_program,National Immunisation Program o.a.,
CH,status_code,1,supply_status,unavailable,"Duits label: ""aktuell keine Lieferungen""",
CH,status_code,2,supply_status,announced_shortage,Duits label: angekündigter Engpass,
CH,status_code,3,supply_status,rationed,Duits label: Lieferungen kontingentiert/eingeschränkt,
CH,status_code,4,supply_status,hospital_only,Duits label: für Spitäler verfügbar; Retail nicht verfügbar,
CH,status_code,8,supply_status,deregistered,Duits label: abregistriert - ausser Handel,
CH,status_code,0,supply_status,unknown,Onverklaarbare 0-waarde; bron-check nodig,
FR,status,supply tension,supply_status,tension,ANSM-specifiek (rupture potentielle),
FR,status,shortage,supply_status,unavailable,,
FR,status,discontinued,supply_status,discontinued,,
FR,status,resolved,supply_status,resolved,,
IT,status,shortage - end date unknown,supply_status,unavailable,,
IT,status,shortage,supply_status,unavailable,,
IT,status,resolved,supply_status,resolved,,
ES,status,shortage,supply_status,unavailable,,
