cc,atc5,n_mahs,n_records,sample_mahs,sample_substance,atc_code
IS,A01AA01,1,3,COLGATE-PALMOLIVE,Sodium fluoride,
SA,A01AA01,1,1,B BRAUN,"IRON CHLORIDE TETRAHYDRATE,ZINC CHLORIDE,SODIUM FLUORIDE,SODIUM SELENITE PENTAHYDRATE,CHROMIUM CHLORIDE HEXAHYDRATE,SODIUM MOLYBDATE",
LT,A01AA04,1,1,UAB NIROMED,Stannous fluoride,
LT,A01AA30,2,2,"UAB LEX ANO, UAB NIROMED",Combinations,
IS,A01AA30,1,2,KARO PHARMA AB*,"Natrii fluoridum, Acidum malicum",
LT,A01AB09,3,3,"UAB IDEAL TRADE LINKS, UAB LEX ANO, UAB LIMEDIKA",Miconazole,
AT,A01AB09,1,1,KENVUE AUSTRIA GMBH LEOPOLD-UNGAR-PLATZ 2 1190 WIEN ÖSTERREICH,"POLYSORBAT 20, MICONAZOL",
BE,A01AB09,1,1,KENVUE BELGIUM,Miconazole,
CH,A01AB09,1,1,JNTL CONSUMER HEALTH II,,
EE,A01AB09,1,1,MCNEIL HEALTHCARE LIMITED,mikonasool,
EE,A01AB12,1,1,MCNEIL HEALTHCARE LIMITED,heksetidiin,
LT,A01AB12,1,1,UAB LEX ANO,Hexetidine,
EE,A01AB81,1,1,SEPTODONT,neomütsiin +bensokaiin,
LT,A01AC02,1,2,UAB LIMEDIKA,Dexamethasone,
DE,A01AC54,1,3,SEPTODONT,Prednisolonacetat,
TR,A01AD02,1,2,TRIPHARMA İLAÇ SAN VE TİC A Ş,benzidamin hcl,
EE,A01AD82,1,1,PERRIGO POLAND SP Z O O,koliinsalitsülaat,
SA,A02AA04,2,2,"GULF PHARMACEUTICAL INDUSTRIES, PROVET VETERINARY PRODUCT","ALUMINUM HYDROXIDE,MAGNESIUM HYDROXIDE",
AT,A02AC10,1,1,MEDICOPHARM GMBH ELISABETHSTRASSE 13/1/10 1010 WIEN ÖSTERREICH,"CITRONENSÄURE, NATRIUMCITRAT, CALCIUMCITRAT",
HU,A02AD01,2,3,"ALKALOID-INT, WAGNER-PHARMA KFT","aluminium oxide, hydrated;magnesium hydroxide",
LT,A02AD01,1,9,UAB BAYER,Ordinary salt combinations,
TR,A02AD01,1,3,AKDENİZ İLAÇ SAN VE TİC A Ş,"dihidroksialuminyum aminoasetat, magnezyum hidroksit",
EE,A02AD81,1,1,OPELLA HEALTHCARE FRANCE S A S,alumiiniumhüdroksiid +magneesiumhüdroksiid,
HU,A02AX17,1,1,MEDITOP GYÓGYSZERIPARI KFT,"citric acid, anhydrous;sodium dihydrogen phosphate dihydrate",
CA,A02BA01,3,18,"AA, APOTEX, MYLAN PHARMACEUTICALS ULC",,
CA,A02BA02,13,118,"APOTEX, JAMP PHARMA CORPORATION, LABORATOIRE RIVA, MANTRA, MARCAN",,
EE,A02BA02,4,6,"ACCORD, BERLIN-CHEMIE, GLAXOSMITHKLINE LIMITED, PRO MED CS PRAHA A S",ranitidiin,
LT,A02BA02,1,4,PB Т PROJECT LTD FILIALAS,Ranitidine,
CA,A02BA03,5,44,"APOTEX, MYLAN PHARMACEUTICALS ULC, OMEGA LABORATORIES LIMITED, SANIS HEALTH, TEVA CANADA LIMITED",,
LT,A02BA03,2,3,"LEX ANO UAB, UAB ADEOFARMA",Famotidine,
HU,A02BA03,1,1,RICHTER GEDEON NYRT,famotidine,
IE,A02BA03,1,1,CLONMEL,Famotidine,
SI,A02BA03,1,1,PHARMASAN,famotidinum,
SK,A02BA03,1,1,ZENTIVA A S,,
FI,A02BA53,1,1,MCNEIL / JNTL CONSUMER HEALTH,,
CA,A02BB01,2,13,"AA, GENMED A DIVISION OF PFIZER CANADA ULC",,
BE,A02BB01,1,1,PFIZER,Misoprostol,
CH,A02BB01,1,1,PFIZER,,
IS,A02BB01,1,1,PFIZER APS,Misoprostolum INN,
CA,A02BC01,12,74,"ACCORD, APOTEX, BIOMED, JAMP PHARMA CORPORATION, MYLAN PHARMACEUTICALS ULC",,
LT,A02BC01,7,20,"INN-FARM, LEX ANO UAB, UAB BIJON MEDICA, UAB IDEAL TRADE LINKS, UAB LEX ANO",Omeprazole,
SA,A02BC01,7,12,"ALRAZI PHARMACEUTICAL INDUSTRIES FACTORY CO, GULF PHARMACEUTICAL INDUSTRIES, HIKMA PHARMACEUTICALS, JAMJOOM PHARMACEUTICALS FACTORY COMPANY, RIYADH",OMEPRAZOLE,
RO,A02BC01,5,5,"DR REDDY'S LABORATORIES ROMÂNIA, GEDEON RICHTER ROMANIA, GEMAX PHARMA S R O, LABORMED, ROMPHARM COMPANY",OMEPRAZOLUM,
CH,A02BC01,4,12,"CHEPLAPHARM SCHWEIZ, HELVEPHARM, SANDOZ, SPIRIG",,
SK,A02BC01,4,7,"MYLAN IRELAND LIMITED, NEURAXPHARM BOHEMIA S R O, SANDOZ PHARMACEUTICALS D D, STADA ARZNEIMITTEL AG",,
IS,A02BC01,3,4,"ACTAVIS GROUP PTC EHF, ALVOGEN EHF, MEDICAL VALLEY INVEST",Omeprazolum INN,
TR,A02BC01,2,2,"DEM İLAÇ SAN VE TİC A Ş, SANOFİ İLAÇ SAN VE TİC A Ş",omeprazol,
BE,A02BC01,1,2,SANDOZ,Omeprazole,
FI,A02BC01,1,1,ORESUND PHARMA APS,,
GR,A02BC01,1,1,INNOVIS PHARMA A E B E,OMEPRAZOLE,
IE,A02BC01,1,1,CHEPLAPHARM ARZNEIMITTEL,Omeprazole magnesium,
SI,A02BC01,1,1,LEK D D,omeprazolum,
US,A02BC01,1,10,SANDOZ,OMEPRAZOLE,
CA,A02BC02,17,130,"ALTIUS, APOTEX, AURO, BIOMED, GENERIC MEDICAL PARTNERS",,
LT,A02BC02,12,38,"AS KALCEKS, LEX ANO UAB, UAB ADEOFARMA, UAB BIJON MEDICA, UAB ELETIS",Pantoprazole,
SA,A02BC02,6,12,"HETERO LABS LIMITED UNIT – V, LEK PHARMACEUTICALS D D, SAUDI PHARMACEUTICAL INDUSTRIES, SOFARIMEX INDÚSTRIA QUÍMICA E FARMACÊUTICA S A, SPIMACO",PANTOPRAZOLE,
AT,A02BC02,3,12,"ACTAVIS GROUP PTC EHF DALSHRAUN 1 220 HAFNARFJÖRDUR REPUBLIC OF ICELAND, KRKA D D NOVO MESTO SMARJESKA CESTA 6 8501 NOVO MESTO SLOWENIEN, SANDOZ GMBH BIOCHEMIESTRASSE 10 6250 KUNDL ÖSTERREICH",PANTOPRAZOL NATRIUM,
BE,A02BC02,2,2,"EUGIA PHARMA, KALCEKS A S",Pantoprazole,
CH,A02BC02,2,2,"MEPHA, TAKEDA",,
HR,A02BC02,2,2,"BELUPO LIJEKOVI I KOZMETIKA D D, SANDOZ",pantoprazolnatrij seskvihidrat,
HU,A02BC02,2,3,"TAKEDA, ZENTIVA K S",pantoprazole,
SK,A02BC02,2,4,"AS KALCEKS, SANDOZ PHARMACEUTICALS D D",,
DE,A02BC02,1,1,DENK PHARMA GMBH CO KG,Pantoprazol-Natrium-Sesquihydrat,
EE,A02BC02,1,1,RATIOPHARM,pantoprasool,
SI,A02BC02,1,1,APTA MEDICA INTERNACIONAL,pantoprazolum,
