atc5,substance,nl_mahs,max_mahs,max_country,ratio_max_to_nl,n_countries,focus_eu,signal,atc_code
A01AA30,Combinations,0,2,LT,,2,,geen_nl_meldingen,
A02AA04,"ALUMINUM HYDROXIDE,MAGNESIUM HYDROXIDE",0,2,SA,,1,,geen_nl_meldingen,
A02AD01,"aluminium oxide, hydrated;magnesium hydroxide",0,2,HU,,3,,geen_nl_meldingen,
A02BB01,,0,2,CA,,4,BE=1,geen_nl_meldingen,
A02BX02,,0,2,CA,,1,,geen_nl_meldingen,
A03AA04,mebeveriin,0,2,EE,,7,AT=1,geen_nl_meldingen,
A03AX13,Simeticonum INN,0,2,IS,,4,,geen_nl_meldingen,
A03FA01,,0,2,CA,,5,AT=1,geen_nl_meldingen,
A04AA02,,0,2,CA,,6,DE=1,geen_nl_meldingen,
A04AA05,palonosetron,0,2,TR,,3,,geen_nl_meldingen,
A04AA55,,0,2,SK,,4,,geen_nl_meldingen,
A04AD01,,0,2,CA,,3,,geen_nl_meldingen,
A05AA02,URSODEOXYCHOLIC ACID,0,2,MY,,9,AT=1,geen_nl_meldingen,
A06AB02,,0,2,CA,,8,,geen_nl_meldingen,
A06AB08,Sodium picosulfate,0,2,LT,,3,,geen_nl_meldingen,
A06AD15,Macrogol,0,2,LT,,1,,geen_nl_meldingen,
A06AD65,,0,2,CH,,4,,geen_nl_meldingen,
A06AG11,"sodium lauryl sulfoacetate, incl. combinations",0,2,LT,,2,,geen_nl_meldingen,
A06AX05,,0,2,CA,,2,BE=1,geen_nl_meldingen,
A07EA06,BUDESONID,0,2,AT,,5,AT=2,geen_nl_meldingen,
A07EC02,mesalazine,0,2,HU,,11,BE=1 · DE=1 · AT=1,geen_nl_meldingen,
A07XA04,Racecadotril,0,2,LT,,4,,geen_nl_meldingen,
A09AA02,PANKREAS(EXTRAKT),0,2,AT,,6,AT=2,geen_nl_meldingen,
A09AB04,"SODIUM BICARBONATE,TARTARIC ACID,CITRIC ACID ANHYDROUS,TRI SODIUM CITRATE",0,2,SA,,1,,geen_nl_meldingen,
A10AB05,Insulin aspart,0,2,DE,,8,BE=1 · DE=2 · AT=1,geen_nl_meldingen,
A10AE04,INSULIN GLARGINE,0,2,SA,,5,,geen_nl_meldingen,
A10BD15,Metformin and dapagliflozin,0,2,LT,,2,,geen_nl_meldingen,
A10BH03,,0,2,CA,,5,,geen_nl_meldingen,
A10BK02,,0,2,CA,,2,BE=1,geen_nl_meldingen,
A10BK03,empagliflozin,0,2,LT,,3,AT=1,geen_nl_meldingen,
A11AA03,multivitamin kompleksi,0,2,TR,,2,,geen_nl_meldingen,
A11CC03,Alfacalcidol,0,2,LT,,3,,geen_nl_meldingen,
A11CC04,,0,2,CA,,4,DE=1,geen_nl_meldingen,
A11DA01,Thiamine (vit B1),0,2,LT,,1,,geen_nl_meldingen,
