file,substance,atc_code
AU_TGA_shortage_2026-03-13.csv,fytic acid,
AU_TGA_shortage_2026-03-13.csv,insulin,
AU_TGA_shortage_2026-03-13.csv,betiatide,
AU_TGA_shortage_2026-03-13.csv,amidotrizoate meglumine,
AU_TGA_shortage_2026-03-13.csv,lincomycin hydrochloride monohydrate,
AU_TGA_shortage_2026-03-13.csv,tiagabine hydrochloride monohydrate,
AU_TGA_shortage_2026-03-13.csv,GluureaLys(ahx)hbedCC,
AU_TGA_shortage_2026-03-13.csv,ibandronate sodium,
AU_TGA_shortage_2026-03-13.csv,drospirenone,
AU_TGA_shortage_2026-03-13.csv,Pancreatic extract,
AU_TGA_shortage_2026-03-13.csv,metaraminol tartrate,
AU_TGA_shortage_2026-03-13.csv,sodium pyrophosphate,
AU_TGA_shortage_2026-03-13.csv,sodium oxidronate,
AU_TGA_shortage_2026-03-13.csv,omega3acid ethyl esters 90,
AU_TGA_shortage_2026-03-13.csv,phentermine hydrochloride,
AU_TGA_shortage_2026-03-13.csv,sodium pertechnetate(99mTc),
AU_TGA_shortage_2026-03-13.csv,ziprasidone hydrochloride monohydrate,
AU_TGA_shortage_2026-03-13.csv,prazosin hydrochloride,
AU_TGA_shortage_2026-03-13.csv,colistimethate sodium,
AU_TGA_shortage_2026-03-13.csv,phenoxybenzamine hydrochloride,
AU_TGA_shortage_2026-03-13.csv,medronic acid,
AU_TGA_shortage_2026-03-13.csv,adefovir dipivoxil,
AU_TGA_shortage_2026-03-13.csv,crisaborole,
AU_TGA_shortage_2026-03-13.csv,live varicella vaccine,
AU_TGA_shortage_2026-03-13.csv,olipudase alfa,
AU_TGA_shortage_2026-03-13.csv,succimer,
AU_TGA_shortage_2026-03-13.csv,pentetic acid,
AU_TGA_shortage_2026-03-13.csv,Meningococcal polysaccharide group C,
AU_TGA_shortage_2026-03-13.csv,hydralazine hydrochloride,
AU_TGA_shortage_2026-03-13.csv,etifenin,
AU_TGA_shortage_2026-03-13.csv,pamidronate disodium,
AU_TGA_shortage_2026-03-13.csv,Peginterferon alfa2a,
AU_TGA_shortage_2026-03-13.csv,bethanechol chloride,
AU_TGA_shortage_2026-03-13.csv,sodium valproate,
AU_TGA_shortage_2026-03-13.csv,nizatidine,
AU_TGA_shortage_2026-03-13.csv,peramivir,
AU_TGA_shortage_2026-03-13.csv,reboxetine mesilate,
AU_TGA_shortage_2026-03-13.csv,Black snake antivenom,
AU_TGA_shortage_2026-03-13.csv,Hepatitis B surface antigen recombinant,
AU_TGA_shortage_2026-03-13.csv,piroxicam,
AU_TGA_shortage_2026-03-13.csv,Mycobacterium bovis (Bacillus Calmette and Guerin (BCG) strain),
AU_TGA_shortage_2026-03-13.csv,antimony trisulfide,
AU_TGA_shortage_2026-03-13.csv,prochlorperazine maleate,
AU_TGA_shortage_2026-03-13.csv,stannous chloride dihydrate,
AU_TGA_shortage_2026-03-13.csv,Hepatitis a virus antigen,
AU_TGA_shortage_2026-03-13.csv,Coxiella burnetii,
AU_TGA_shortage_2026-03-13.csv,toremifene citrate,
AU_TGA_shortage_2026-03-13.csv,glipizide,
AU_TGA_shortage_2026-03-13.csv,mefenamic acid,
AU_TGA_shortage_2026-03-13.csv,thallous(201Tl) chloride,
AU_TGA_shortage_2026-03-13.csv,desferrioxamine mesilate,
BE_FAMHP_shortage_2026-03-12.csv,"Chikungunya Virus, Strain delta5nsP3, Live, Attenuated",
CA_HPSC_shortage_2026-03-13.csv,VARIVAX III,
CA_HPSC_shortage_2026-03-13.csv,ADVAIR 100 DISKUS,
CA_HPSC_shortage_2026-03-13.csv,THYMOGLOBULIN,
CA_HPSC_shortage_2026-03-13.csv,LONITEN 2.5MG,
CA_HPSC_shortage_2026-03-13.csv,STATEX TABLET 25MG,
CA_HPSC_shortage_2026-03-13.csv,PAXIL TAB 20MG,
CA_HPSC_shortage_2026-03-13.csv,NOZINAN,
CA_HPSC_shortage_2026-03-13.csv,DALACIN VAGINAL CREAM 20 MG,
CA_HPSC_shortage_2026-03-13.csv,JAMP-CIPROFLOXACIN,
CA_HPSC_shortage_2026-03-13.csv,ELELYSO,
CA_HPSC_shortage_2026-03-13.csv,STATEX SYRUP 5MG/ML,
CA_HPSC_shortage_2026-03-13.csv,FLAREX,
CA_HPSC_shortage_2026-03-13.csv,NEURONTIN CAP 300MG,
CA_HPSC_shortage_2026-03-13.csv,ANACIN,
CA_HPSC_shortage_2026-03-13.csv,PAXIL TAB 10MG,
CA_HPSC_shortage_2026-03-13.csv,DIANEAL PD 101 CAPD SOLUTION W 1.5% DEXTROSE,
CA_HPSC_shortage_2026-03-13.csv,PMS-DOCUSATE SODIUM DROPS 10MG/ML,
CA_HPSC_shortage_2026-03-13.csv,RHINOCORT AQUA,
CA_HPSC_shortage_2026-03-13.csv,DUOTRAV PQ,
CA_HPSC_shortage_2026-03-13.csv,APO-FLUNISOLIDE NASAL SPRAY,
CA_HPSC_shortage_2026-03-13.csv,DIASTAT,
CA_HPSC_shortage_2026-03-13.csv,LESCOL XL,
CA_HPSC_shortage_2026-03-13.csv,SOLU-MEDROL,
CA_HPSC_shortage_2026-03-13.csv,ZIAGEN,
CA_HPSC_shortage_2026-03-13.csv,BILTRICIDE,
CA_HPSC_shortage_2026-03-13.csv,APO-ACETAMINOPHEN CAPLETS EXTRA STRENGTH,
CA_HPSC_shortage_2026-03-13.csv,EBIXA,
CA_HPSC_shortage_2026-03-13.csv,ERYC DELAYED-RELEASE CAPSULES,
CA_HPSC_shortage_2026-03-13.csv,BUTRANS 5,
